"","mean","sd","X2.5.","X97.5.","Rhat"
"Krestbody_plasma.1.",0.42332137335066,0.0152530533351405,0.394501,0.453318,1.00659129630784
"Tmc.1.",9.08796103358656,0.645571175907864,7.88421,10.3635,1.07714806085244
"Kt.1.",0.0573592027289084,0.00878495639836267,0.0419954,0.0763796,1.00765790941877
"Trc.1.",2.48457635745702,0.183630609447469,2.12949,2.84772,1.08447207983172
"VmaxC.1.",0.480394137045182,0.0286989081720652,0.430581,0.5430578,1.01102363695131
"Km.1.",6.0470268612555,0.473189831840433,5.2417,7.049842,1.01419687112588
"QurineC.1.",13.7328129568173,3.18694966868666,8.51798625,20.5066,1.0049588725057
