"iter"	"Vehrc.1."	"Kehr.1."	"kfeces.1."	"kbile.1."	"kgutabs.1."	"LnPrior"	"LnData"	"LnPosterior"
95067	0.742653	0.0985076	0.0573365	0.0502713	2.00483	8.259972	-172.5012	-164.2412
95068	0.745998	0.105151	0.0573365	0.050154	1.42393	7.26054	-172.1175	-164.8569
95069	0.759133	0.105151	0.0573365	0.0216113	1.42393	7.130981	-171.6647	-164.5337
95070	0.720174	0.0932805	0.0573365	0.0216113	2.77127	8.637435	-172.1574	-163.52
95071	0.712602	0.0932805	0.0573365	0.0216113	3.05509	8.466397	-172.2381	-163.7717
95072	0.72599	0.0932805	0.0573365	0.0216113	3.05509	8.306685	-172.2314	-163.9247
95073	0.748607	0.089299	0.0573365	0.0216113	3.05509	8.047497	-174.2232	-166.1757
95074	0.736518	0.089299	0.0409363	0.0216113	2.07474	8.632021	-173.1535	-164.5215
95075	0.682416	0.089299	0.0409363	0.0216113	2.83159	8.881288	-173.3269	-164.4456
95076	0.70467	0.089299	0.0514476	0.0466688	2.71715	9.106655	-173.0235	-163.9169
95077	0.706704	0.0858618	0.0514476	0.0174079	2.71715	9.057029	-172.4256	-163.3686
95078	0.696629	0.0858618	0.0514476	0.0174079	1.19754	9.094638	-172.276	-163.1813
95079	0.710922	0.0858618	0.05011	0.0432834	1.19754	8.9149	-172.6738	-163.7589
95080	0.710922	0.0858618	0.0614705	0.0432834	0.927851	8.004323	-172.5835	-164.5792
95081	0.695686	0.0858618	0.0614705	0.0359953	0.0419316	6.841815	-172.259	-165.4172
95082	0.695686	0.0866245	0.0614485	0.104993	1.60788	8.168756	-174.5364	-166.3677
95083	0.695686	0.0866245	0.0614485	0.104993	1.60788	8.168756	-174.5364	-166.3677
95084	0.688722	0.0800356	0.0614485	0.104993	1.80186	7.850745	-174.4216	-166.5708
95085	0.681841	0.0800356	0.0614485	0.0277708	0.134497	6.748641	-172.4799	-165.7312
95086	0.693279	0.0867492	0.0469702	0.0277708	0.375485	8.122067	-172.3633	-164.2412
95087	0.693279	0.0867492	0.0469702	0.0341066	0.39963	8.15017	-172.4653	-164.3151
95088	0.687546	0.0865542	0.0469702	0.0341066	2.79587	9.159366	-173.1599	-164.0005
95089	0.687546	0.0865542	0.0469702	0.0341066	2.79587	9.159366	-173.1599	-164.0005
95090	0.662444	0.0865542	0.0469702	0.0341066	1.16704	9.31741	-174.9656	-165.6482
95091	0.655592	0.0666473	0.0469702	0.0341066	1.16704	6.690483	-173.394	-166.7035
95092	0.654413	0.0666473	0.0613304	0.0339848	1.16704	6.101246	-173.3937	-167.2925
95093	0.654413	0.0666473	0.0613304	0.0378148	1.16704	6.091731	-173.4451	-167.3533
95094	0.654413	0.0680541	0.0321279	0.0378148	1.21799	5.496303	-173.4361	-167.9398
95095	0.661244	0.0680541	0.047674	0.1065	1.04925	6.320869	-174.4081	-168.0872
95096	0.67613	0.0767793	0.047674	0.0316854	0.903763	8.177779	-172.8505	-164.6727
95097	0.67613	0.0767793	0.047674	0.0316854	0.941292	8.218216	-172.8596	-164.6414
95098	0.67613	0.0767793	0.0358042	0.0367531	1.02079	7.307407	-172.9613	-165.6539
95099	0.665143	0.077661	0.0358042	0.0367531	1.02079	7.497697	-173.3805	-165.8828
95100	0.665143	0.0834717	0.0358042	0.0367531	2.83564	8.17614	-174.4191	-166.2429
95101	0.665143	0.0806645	0.0413511	0.0189295	0.315955	7.540047	-173.1359	-165.5958
95102	0.663239	0.0773682	0.0444364	0.0189295	2.52438	8.689979	-173.197	-164.5071
95103	0.668537	0.0735755	0.0647953	0.0189295	2.52438	7.16433	-172.9813	-165.817
95104	0.675643	0.0735755	0.0647953	0.0223805	2.11963	7.243076	-173.036	-165.7929
95105	0.663625	0.0796748	0.0576779	0.0223805	2.11963	8.94229	-173.4431	-164.5008
95106	0.668214	0.0788694	0.0576779	0.00774789	2.11963	8.814349	-172.7449	-163.9306
95107	0.668214	0.0788694	0.0576779	0.00774789	2.11963	8.814349	-172.7449	-163.9306
95108	0.667368	0.0802811	0.0576779	0.00774789	2.11963	8.967255	-172.8689	-163.9016
95109	0.682647	0.087393	0.0576779	0.00774789	1.32181	9.068134	-172.5876	-163.5194
95110	0.682647	0.087393	0.0507953	0.00774789	2.73303	9.321027	-172.6375	-163.3165
95111	0.682647	0.086414	0.0507953	0.00296486	2.73303	9.27977	-172.4205	-163.1407
95112	0.682647	0.0853366	0.0507953	0.0547583	2.73303	9.163618	-173.9704	-164.8067
95113	0.682647	0.0706775	0.0507953	0.0547583	2.73303	7.405566	-174.1192	-166.7137
95114	0.682647	0.0750317	0.0507953	0.0547583	2.73303	8.152106	-173.6784	-165.5262
95115	0.668614	0.0789843	0.047643	0.0547583	2.73303	8.747142	-174.1489	-165.4018
