iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
90051	0.366192	0.797132	8.28647	2.84128	0.996442	0.00648113	-1.826303e+02	-1.083586e+03	-1.266217e+03
90052	0.366192	0.769838	8.28647	2.84128	0.978965	0.00648113	-1.745593e+02	-1.091533e+03	-1.266092e+03
90053	0.360164	0.769838	7.9792	2.84128	0.962338	0.00648113	-1.745969e+02	-1.093960e+03	-1.268557e+03
90054	0.360164	0.769838	8.59868	2.84128	0.92776	0.00127225	-1.795998e+02	-1.085215e+03	-1.264815e+03
90055	0.360164	0.769838	8.39497	2.84128	0.903036	0.00127225	-1.796287e+02	-1.084689e+03	-1.264318e+03
90056	0.38968	0.769838	8.39497	2.84618	0.903291	0.00127225	-1.795791e+02	-1.084842e+03	-1.264421e+03
90057	0.363471	0.769838	8.39497	2.84618	0.932993	0.00127225	-1.795990e+02	-1.082676e+03	-1.262275e+03
90058	0.363471	0.769838	8.34418	2.84618	0.932993	0.00127225	-1.796015e+02	-1.082404e+03	-1.262006e+03
90059	0.34904	0.769838	8.24868	3.05506	0.932993	0.00127225	-1.795710e+02	-1.085217e+03	-1.264788e+03
90060	0.349854	0.769838	8.24868	3.04993	0.932993	0.00127225	-1.795711e+02	-1.084938e+03	-1.264509e+03
90061	0.349854	0.795216	8.63306	2.92965	0.95918	0.00127225	-1.870729e+02	-1.076662e+03	-1.263735e+03
90062	0.349854	0.807388	8.63061	2.92965	0.95918	0.00127225	-1.907651e+02	-1.071940e+03	-1.262705e+03
90063	0.382838	0.781129	8.58884	2.92965	0.95918	0.00127225	-1.828224e+02	-1.081193e+03	-1.264015e+03
90064	0.376482	0.781129	8.02673	2.97727	0.99625	0.00127225	-1.828187e+02	-1.078607e+03	-1.261425e+03
90065	0.376482	0.798237	8.05701	2.97727	0.992271	0.00127225	-1.879297e+02	-1.074629e+03	-1.262558e+03
90066	0.360133	0.773099	7.90039	2.97727	1.00588	0.00127225	-1.804863e+02	-1.081835e+03	-1.262321e+03
90067	0.360133	0.773099	7.90039	3.19295	1.00588	0.00077479	-1.809190e+02	-1.083145e+03	-1.264064e+03
90068	0.391001	0.786568	7.90039	2.99064	1.00311	0.00077479	-1.848965e+02	-1.079070e+03	-1.263966e+03
90069	0.395564	0.769452	7.90039	2.90519	0.985555	0.00077479	-1.798945e+02	-1.083583e+03	-1.263477e+03
90070	0.395564	0.769452	7.90039	2.88291	0.985555	0.00077479	-1.799009e+02	-1.083759e+03	-1.263660e+03
90071	0.395564	0.752731	7.84785	2.88291	0.985555	0.00198776	-1.739042e+02	-1.091154e+03	-1.265058e+03
90072	0.398013	0.752731	7.71018	3.082	0.989106	0.00198776	-1.738485e+02	-1.091145e+03	-1.264994e+03
90073	0.398013	0.752731	7.71018	3.09463	0.989106	0.00198776	-1.738450e+02	-1.091139e+03	-1.264984e+03
90074	0.387305	0.752558	7.64073	2.89222	0.970177	0.00148183	-1.743848e+02	-1.089416e+03	-1.263801e+03
90075	0.387305	0.752558	7.76557	2.99193	0.970177	0.00148183	-1.743505e+02	-1.087722e+03	-1.262072e+03
90076	0.387305	0.739098	7.4013	3.26507	0.970177	0.00148183	-1.705094e+02	-1.093572e+03	-1.264082e+03
90077	0.386518	0.739098	7.44775	3.49566	0.957786	0.00148183	-1.704568e+02	-1.094125e+03	-1.264582e+03
90078	0.386518	0.739098	7.44775	3.45956	0.957786	0.00401245	-1.680051e+02	-1.099363e+03	-1.267368e+03
90079	0.386518	0.724537	7.35222	3.45956	0.966665	0.00401245	-1.639910e+02	-1.103665e+03	-1.267656e+03
90080	0.388081	0.716613	7.35222	3.0152	0.966665	0.00401245	-1.619611e+02	-1.104962e+03	-1.266923e+03
90081	0.388081	0.716613	7.44213	3.1331	0.962946	0.00384122	-1.620913e+02	-1.103931e+03	-1.266022e+03
90082	0.388262	0.716613	7.44213	3.1331	0.968234	0.00407385	-1.618636e+02	-1.104581e+03	-1.266445e+03
90083	0.37456	0.716613	7.37036	3.1331	0.968234	0.00263847	-1.632765e+02	-1.102066e+03	-1.265343e+03
90084	0.37456	0.716613	7.27203	3.1331	0.996796	0.00263847	-1.632596e+02	-1.103538e+03	-1.266798e+03
90085	0.403432	0.716613	7.27203	3.1331	0.97977	0.0017751	-1.640704e+02	-1.102706e+03	-1.266777e+03
90086	0.403432	0.716613	7.27203	3.1331	0.97977	0.00188273	-1.639647e+02	-1.102942e+03	-1.266907e+03
90087	0.403432	0.720797	7.27203	3.1331	0.9838	0.00188273	-1.650927e+02	-1.101993e+03	-1.267085e+03
90088	0.390843	0.720797	7.52844	3.08957	0.936699	0.00188273	-1.651481e+02	-1.098322e+03	-1.263470e+03
90089	0.380853	0.72158	7.52844	3.76345	0.936699	0.00188273	-1.651994e+02	-1.102597e+03	-1.267797e+03
90090	0.380853	0.739112	7.52844	3.53252	0.935901	0.00188273	-1.700788e+02	-1.094842e+03	-1.264921e+03
90091	0.380853	0.739112	7.52844	3.53252	0.934852	0.003465	-1.685397e+02	-1.098318e+03	-1.266858e+03
90092	0.391177	0.706534	7.52844	3.29131	0.934852	0.003465	-1.597277e+02	-1.106735e+03	-1.266462e+03
90093	0.391177	0.706534	7.52844	3.29131	0.934852	0.003465	-1.597277e+02	-1.106735e+03	-1.266462e+03
90094	0.409468	0.706534	7.52844	3.29131	0.941186	0.00210153	-1.610191e+02	-1.106482e+03	-1.267502e+03
90095	0.402563	0.727749	7.52844	3.29131	0.941186	0.00210153	-1.667508e+02	-1.097705e+03	-1.264455e+03
90096	0.402563	0.727749	7.52844	3.13954	0.941186	0.00210153	-1.667919e+02	-1.098084e+03	-1.264876e+03
90097	0.410236	0.727749	7.58606	3.12821	0.951716	0.00210153	-1.667720e+02	-1.099623e+03	-1.266395e+03
90098	0.39437	0.727749	7.58606	3.11258	0.951716	0.00210153	-1.668016e+02	-1.096866e+03	-1.263668e+03
90099	0.39437	0.723617	7.58606	3.11258	0.951716	0.0032126	-1.645917e+02	-1.100442e+03	-1.265033e+03
90100	0.380423	0.723617	7.58606	3.11258	0.948037	0.00315168	-1.646760e+02	-1.099655e+03	-1.264331e+03
90101	0.380423	0.723617	7.58606	3.11258	0.950515	0.00180529	-1.659871e+02	-1.097032e+03	-1.263019e+03
90102	0.380423	0.723617	7.43537	3.11258	0.924004	0.00180529	-1.660148e+02	-1.098670e+03	-1.264685e+03
90103	0.379745	0.723617	7.43537	3.14892	0.967631	0.00180529	-1.659726e+02	-1.097641e+03	-1.263613e+03
90104	0.384004	0.723617	7.43537	3.16756	0.973503	0.00180529	-1.659562e+02	-1.097940e+03	-1.263896e+03
90105	0.395469	0.725705	7.43537	3.16756	0.973503	0.00180529	-1.665072e+02	-1.098021e+03	-1.264528e+03
