iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
0	1.84898	2.13795	3.23001	8.3984	1.09655	0.615474	0.570346	7.32519	10.8737	1.09396	0.107025	1.7637	4.82876	8.7229	1.00023	-2.076575e+01	-4.803354e+03	-4.824119e+03
290001	1.58222	0.875183	3.45032	1.78087	0.855171	0.60464	0.0440479	0.00647087	0.0761005	2.06107	0.0140668	3.28384	2.0889	1.50304	0.261529	-2.392808e+01	-3.899527e+03	-3.923456e+03
290002	1.50065	3.27786	2.67849	1.8647	0.855171	0.562852	0.0440479	0.00575306	0.0761005	2.06107	0.0140668	2.38185	1.31013	2.90168	0.104707	-2.561872e+01	-3.902510e+03	-3.928129e+03
290003	1.30154	3.27786	1.7698	1.54712	0.855171	0.582076	0.0440479	0.0100167	0.0761005	1.9149	0.00215364	2.47704	0.401422	0.853129	0.104707	-2.452076e+01	-3.898761e+03	-3.923282e+03
290004	1.30154	3.27786	1.7698	1.69872	0.855171	0.579477	0.0261242	0.0100167	0.386901	1.9149	0.00215364	3.11973	0.401422	4.09049	0.104707	-2.478154e+01	-3.899584e+03	-3.924366e+03
290005	1.26861	3.27786	1.7698	0.665521	0.855171	0.579477	0.014842	0.000799629	0.378096	1.9149	0.00215364	4.5889	0.401422	4.09049	0.104707	-2.489642e+01	-3.900631e+03	-3.925527e+03
290006	1.13722	2.07545	1.7698	0.314175	0.855171	0.579477	0.0128276	0.000799629	0.378096	2.03865	0.0402523	5.52194	0.401422	4.09049	0.104707	-2.568378e+01	-3.901016e+03	-3.926699e+03
290007	1.37067	2.44533	1.65891	2.3787	0.855171	0.579477	0.0128276	0.00156222	0.752055	2.03865	0.0597363	6.33984	0.401422	1.98329	0.104707	-2.599929e+01	-3.900473e+03	-3.926472e+03
290008	1.67545	2.44533	1.02674	2.3787	0.855171	0.579477	0.0128276	0.00103504	0.39396	2.03865	0.0597363	6.6657	0.508584	1.98329	0.104707	-2.572517e+01	-3.901205e+03	-3.926930e+03
290009	1.67545	0.623738	0.984107	0.597165	0.855171	0.506548	0.0128276	0.0172845	0.323896	2.03865	0.0334486	4.9619	0.508584	3.79816	0.104707	-2.465508e+01	-3.898863e+03	-3.923518e+03
290010	1.35451	0.669839	1.73099	0.705072	0.855171	0.506548	0.0128276	0.0172845	0.423202	2.03865	0.0334486	4.21663	0.791009	4.6502	0.104707	-2.484078e+01	-3.900539e+03	-3.925380e+03
290011	1.55394	0.669839	1.73099	0.636665	0.457428	0.559142	0.0227519	0.0172845	0.423202	2.03865	0.0197966	4.16745	0.791009	0.420499	0.104707	-2.457870e+01	-3.900446e+03	-3.925024e+03
290012	1.53393	1.9896	1.73099	2.47581	0.457428	0.570945	0.0227519	0.00218884	0.423202	2.03865	0.0197966	4.16745	0.791009	2.95427	0.104707	-2.547646e+01	-3.899398e+03	-3.924874e+03
290013	1.88072	1.71019	2.56895	1.08666	0.457428	0.570945	0.0227519	0.02737	0.200131	2.22458	0.0197966	4.16745	0.791009	2.95427	0.104707	-2.657352e+01	-3.899296e+03	-3.925870e+03
290014	1.94045	1.71019	0.804748	1.08666	0.457428	0.570945	0.0227519	0.02737	0.0730035	2.22458	0.0197966	4.36822	1.05772	4.19666	0.104707	-2.604941e+01	-3.900201e+03	-3.926251e+03
290015	1.83778	1.71019	0.804748	1.37275	0.93744	0.532164	0.0227519	0.02737	0.0747148	2.2989	0.0197966	2.59342	0.952634	4.03335	0.104707	-2.450693e+01	-3.899815e+03	-3.924322e+03
290016	1.84266	1.71019	0.804748	0.115192	0.93744	0.532164	0.0268549	0.00277418	0.0747148	2.05538	0.0197966	2.61374	0.307248	4.03335	0.104707	-2.313864e+01	-3.898472e+03	-3.921611e+03
290017	1.40473	0.77809	0.957342	1.00568	0.93744	0.532164	0.0268549	0.000969286	0.0648893	2.05538	0.0197966	2.04676	0.307248	5.42347	0.104707	-2.350604e+01	-3.898725e+03	-3.922231e+03
290018	1.59491	2.05742	2.82854	2.57739	0.93744	0.532164	0.013993	0.000969286	0.0648893	2.05538	0.0197966	2.25771	0.515295	3.40226	0.148805	-2.491090e+01	-3.898817e+03	-3.923728e+03
290019	1.70318	0.0242903	2.82854	2.57739	0.93744	0.539209	0.013993	0.00190845	0.445917	2.18348	0.0197966	1.13522	0.515295	4.03366	0.148805	-2.400967e+01	-3.900648e+03	-3.924658e+03
290020	1.75525	0.0242903	4.38466	2.72694	0.93744	0.539209	0.00914702	0.00190845	0.445917	2.18348	0.00391886	0.898909	0.452903	4.03366	0.148805	-2.535089e+01	-3.897785e+03	-3.923136e+03
290021	1.47761	0.0242903	4.38466	3.57812	0.93744	0.539209	0.00914702	0.00190845	0.445917	2.18348	0.00391886	0.898909	0.478486	4.03366	0.148805	-2.578636e+01	-3.897745e+03	-3.923531e+03
290022	1.38647	0.0242903	4.38466	0.653693	1.18089	0.539209	0.013775	0.0239408	0.0951037	2.18348	0.00391886	0.369303	2.19516	3.85741	0.306324	-2.376453e+01	-3.901425e+03	-3.925190e+03
290023	1.18937	0.0242903	2.72832	0.653693	1.18089	0.535228	0.0213692	0.0288323	0.119233	2.18348	0.00391886	1.64257	2.78206	2.54392	0.306324	-2.291329e+01	-3.898659e+03	-3.921572e+03
290024	0.964579	0.0242903	4.97508	0.580967	1.18089	0.514084	0.015952	0.0129342	0.119233	2.19528	0.0022728	2.03522	3.73783	0.972953	0.306324	-2.436760e+01	-3.897692e+03	-3.922060e+03
290025	0.964579	0.0242903	4.43713	0.580967	1.18089	0.504223	0.0173196	0.0106214	0.0110022	2.19528	0.0022728	2.15769	3.73783	0.972953	0.306324	-2.416328e+01	-3.897611e+03	-3.921774e+03
290026	0.765427	2.22692	2.82387	0.477476	1.18089	0.504223	0.0173196	0.0263663	0.0110022	2.19528	0.0022728	3.08972	4.59822	0.785642	0.307712	-2.508950e+01	-3.897906e+03	-3.922996e+03
290027	1.05038	4.37587	2.7489	2.03719	1.13842	0.514652	0.0173196	0.0395385	0.0110022	2.19528	0.0022728	3.23055	1.7451	0.987856	0.307712	-2.737123e+01	-3.899071e+03	-3.926442e+03
290028	1.05038	4.37587	3.33161	1.82785	1.13842	0.514652	0.0179326	0.0211628	0.241373	2.19528	0.0022728	3.40811	2.02433	0.987856	0.307712	-2.745925e+01	-3.899523e+03	-3.926982e+03
290029	0.968851	5.31466	3.33161	0.0733228	1.04179	0.512851	0.0123824	0.0211628	0.275848	2.19528	0.0456507	3.19886	2.33729	0.987856	0.20403	-2.850311e+01	-3.900799e+03	-3.929302e+03
