iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Trc(1)	LnPrior	LnData	LnPosterior
0	1.55397	0.0438081	34.8726	20.6405	0.0830384	-5.882550e+00	-8.184001e+03	-8.189883e+03
90001	0.320057	0.906395	37.8117	36.5365	0.000184536	-1.607132e+02	-4.896760e+03	-5.057473e+03
90002	0.320057	0.906395	37.8117	36.5365	1.85634e-05	-1.607133e+02	-4.895505e+03	-5.056218e+03
90003	0.320057	0.906395	37.8117	36.5365	1.85634e-05	-1.607133e+02	-4.895505e+03	-5.056218e+03
90004	0.320057	0.906395	38.7069	34.5665	1.85634e-05	-1.592932e+02	-4.897130e+03	-5.056424e+03
90005	0.320057	0.899701	38.7069	34.5665	1.85634e-05	-1.569904e+02	-4.900019e+03	-5.057010e+03
90006	0.320057	0.899701	38.7069	42.738	1.56632e-06	-1.630870e+02	-4.896656e+03	-5.059743e+03
90007	0.320057	0.899701	38.7069	36.9081	1.56632e-06	-1.584644e+02	-4.898783e+03	-5.057248e+03
90008	0.320057	0.899701	38.5852	36.9081	1.56632e-06	-1.584904e+02	-4.898497e+03	-5.056988e+03
90009	0.320057	0.899701	38.5852	33.0688	1.56632e-06	-1.561886e+02	-4.900326e+03	-5.056515e+03
90010	0.320057	0.899701	38.5852	33.7274	1.56632e-06	-1.565415e+02	-4.900002e+03	-5.056543e+03
90011	0.320057	0.899701	38.5852	33.7274	1.56632e-06	-1.565415e+02	-4.900002e+03	-5.056543e+03
90012	0.315896	0.899701	38.5852	33.7274	1.56632e-06	-1.565485e+02	-4.899193e+03	-5.055741e+03
90013	0.315896	0.922007	38.5852	36.5136	9.73736e-06	-1.659769e+02	-4.889134e+03	-5.055111e+03
90014	0.315896	0.922007	38.5852	30.2042	9.73736e-06	-1.626055e+02	-4.892519e+03	-5.055125e+03
90015	0.315896	0.922007	38.1077	39.3354	0.00042161	-1.681034e+02	-4.891174e+03	-5.059277e+03
90016	0.315896	0.922007	39.3021	29.1849	0.00042161	-1.620592e+02	-4.896967e+03	-5.059026e+03
90017	0.315896	0.921549	39.3021	29.1849	0.00042161	-1.618983e+02	-4.897148e+03	-5.059046e+03
90018	0.315896	0.921549	39.3021	31.6196	0.000300632	-1.629113e+02	-4.894701e+03	-5.057612e+03
90019	0.315896	0.921549	39.3021	31.6196	0.000300632	-1.629113e+02	-4.894701e+03	-5.057612e+03
90020	0.315896	0.921549	39.3021	31.6196	0.000243827	-1.629113e+02	-4.894301e+03	-5.057212e+03
90021	0.297801	0.921549	39.3021	31.6196	0.000243827	-1.629420e+02	-4.894667e+03	-5.057609e+03
90022	0.297801	0.921549	39.3021	31.6196	0.000128679	-1.629420e+02	-4.893927e+03	-5.056869e+03
90023	0.297801	0.919693	39.3021	31.6196	0.000128679	-1.622904e+02	-4.894842e+03	-5.057133e+03
90024	0.301623	0.952486	39.3021	31.6196	0.000112787	-1.739990e+02	-4.880247e+03	-5.054246e+03
90025	0.301623	0.952486	39.7414	34.1494	0.000112787	-1.752129e+02	-4.879359e+03	-5.054571e+03
