iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
0	0.072585	0.0190226	250.178	10.6251	20.9394	0.0858601	-9.605010e+00	-6.856167e+04	-6.857127e+04
90001	0.3712	0.773603	8.19971	2.7223	0.966028	0.0010933	-1.808807e+02	-1.080597e+03	-1.261478e+03
90002	0.3712	0.773603	8.15968	2.6339	0.966028	0.0010933	-1.809086e+02	-1.081931e+03	-1.262839e+03
90003	0.352809	0.773603	8.15968	2.69993	0.966028	0.0010933	-1.809194e+02	-1.081568e+03	-1.262487e+03
90004	0.352809	0.773603	8.15968	2.69993	0.966028	0.0010933	-1.809194e+02	-1.081568e+03	-1.262487e+03
90005	0.373532	0.760748	8.00623	3.1404	0.936256	0.0010933	-1.770673e+02	-1.083554e+03	-1.260621e+03
90006	0.373532	0.760748	7.806	3.36383	0.936256	0.0010933	-1.770168e+02	-1.085525e+03	-1.262542e+03
90007	0.373532	0.760748	7.7682	3.36383	0.936256	0.0010933	-1.770187e+02	-1.085917e+03	-1.262936e+03
90008	0.373532	0.754481	7.7682	3.13592	0.936256	0.0010933	-1.752886e+02	-1.086507e+03	-1.261795e+03
90009	0.373532	0.749884	7.8134	3.13592	0.936256	0.0017152	-1.733694e+02	-1.088613e+03	-1.261982e+03
90010	0.368594	0.745123	7.93734	2.94902	0.936256	0.0017152	-1.720815e+02	-1.090203e+03	-1.262284e+03
90011	0.373992	0.749926	7.93734	3.17335	0.974972	0.0017152	-1.733346e+02	-1.090315e+03	-1.263650e+03
90012	0.38238	0.749926	8.04764	3.17335	0.971743	0.0017152	-1.733180e+02	-1.091398e+03	-1.264716e+03
90013	0.38238	0.771622	8.04764	3.17335	0.947143	0.0017152	-1.795660e+02	-1.081627e+03	-1.261193e+03
90014	0.38238	0.771622	8.04764	3.17335	0.963415	0.000946072	-1.803125e+02	-1.080321e+03	-1.260633e+03
90015	0.38238	0.771622	8.04764	3.23097	0.963415	0.000946072	-1.802968e+02	-1.080626e+03	-1.260923e+03
90016	0.395465	0.771622	8.04764	3.23097	0.963415	0.000946072	-1.802757e+02	-1.081818e+03	-1.262093e+03
90017	0.392233	0.766383	8.04764	3.3222	0.922735	0.000946072	-1.787658e+02	-1.082247e+03	-1.261013e+03
90018	0.392233	0.764364	8.04764	3.3222	0.922735	0.000946072	-1.781824e+02	-1.082761e+03	-1.260944e+03
90019	0.395332	0.749465	7.89715	3.3222	0.922735	0.000946072	-1.739302e+02	-1.087333e+03	-1.261263e+03
90020	0.395332	0.75294	7.74128	3.28882	0.922735	0.000946072	-1.749313e+02	-1.087541e+03	-1.262473e+03
90021	0.395332	0.756518	8.07633	2.9745	0.922735	0.000946072	-1.760196e+02	-1.086291e+03	-1.262311e+03
90022	0.395332	0.737218	8.07633	3.2446	0.882241	0.000946072	-1.705423e+02	-1.092301e+03	-1.262844e+03
90023	0.395332	0.737218	7.95783	3.2446	0.882241	0.000946072	-1.705481e+02	-1.092084e+03	-1.262632e+03
90024	0.385752	0.737218	8.15611	3.23095	0.882241	0.000946072	-1.705575e+02	-1.092736e+03	-1.263293e+03
90025	0.378224	0.747694	8.15611	3.2775	0.911169	0.000946072	-1.734662e+02	-1.088934e+03	-1.262400e+03
90026	0.374454	0.747694	8.15544	3.2775	0.914336	0.000946072	-1.734699e+02	-1.089397e+03	-1.262867e+03
90027	0.374454	0.747694	8.21108	3.2775	0.879832	0.000946072	-1.734935e+02	-1.089968e+03	-1.263461e+03
90028	0.374454	0.747694	8.21108	3.2775	0.879832	0.000965631	-1.734742e+02	-1.090004e+03	-1.263478e+03
90029	0.396372	0.747694	8.19728	3.2775	0.879832	0.00145977	-1.729513e+02	-1.090232e+03	-1.263183e+03
90030	0.386585	0.770166	8.19728	3.2775	0.879832	0.00145977	-1.794023e+02	-1.084389e+03	-1.263791e+03
90031	0.386585	0.736931	7.93385	3.2775	0.879832	0.00145977	-1.699693e+02	-1.093357e+03	-1.263326e+03
90032	0.386585	0.736931	8.13623	3.57025	0.879832	0.00145977	-1.698823e+02	-1.095020e+03	-1.264903e+03
90033	0.393037	0.729098	8.13623	3.40861	0.879832	0.00145977	-1.677519e+02	-1.097495e+03	-1.265247e+03
90034	0.404148	0.724	7.71718	3.40861	0.9052	0.00145977	-1.663415e+02	-1.097176e+03	-1.263518e+03
90035	0.390406	0.725294	7.71718	3.40861	0.935602	0.00145977	-1.666933e+02	-1.097197e+03	-1.263890e+03
90036	0.385423	0.748071	7.71718	2.93396	0.935602	0.00145977	-1.731508e+02	-1.090397e+03	-1.263547e+03
90037	0.385423	0.748071	7.71718	2.93396	0.935602	0.00145977	-1.731508e+02	-1.090397e+03	-1.263547e+03
90038	0.385423	0.748071	8.16831	2.93396	0.927104	0.00140975	-1.731844e+02	-1.089638e+03	-1.262823e+03
90039	0.368216	0.748071	8.16831	2.81065	0.927104	0.00140975	-1.732475e+02	-1.090154e+03	-1.263401e+03
90040	0.368216	0.748071	8.16831	2.86468	0.927104	0.00311072	-1.715695e+02	-1.093117e+03	-1.264686e+03
90041	0.383167	0.757393	8.16831	2.86468	0.943917	0.00311072	-1.741788e+02	-1.089688e+03	-1.263866e+03
90042	0.383167	0.757393	8.16831	2.86468	0.949069	0.0039466	-1.733685e+02	-1.091265e+03	-1.264633e+03
90043	0.383167	0.759209	8.16831	3.39456	0.949069	0.000819294	-1.767955e+02	-1.086909e+03	-1.263704e+03
90044	0.389809	0.767221	8.16831	3.37627	0.949069	0.000819294	-1.790975e+02	-1.083199e+03	-1.262296e+03
90045	0.389809	0.767221	7.98197	3.37627	0.949069	0.000819294	-1.791067e+02	-1.082207e+03	-1.261314e+03
90046	0.389809	0.767221	7.98711	3.37627	0.949069	0.000819294	-1.791065e+02	-1.082217e+03	-1.261323e+03
90047	0.389809	0.767221	8.04222	3.11351	0.949069	0.000819294	-1.791747e+02	-1.081422e+03	-1.260597e+03
90048	0.389809	0.758731	7.97113	3.3377	0.949069	0.000819294	-1.766725e+02	-1.084721e+03	-1.261393e+03
90049	0.380931	0.758731	7.97113	3.35104	0.949069	0.000819294	-1.766832e+02	-1.084710e+03	-1.261393e+03
90050	0.380931	0.77154	7.97113	3.42695	0.949069	0.000933376	-1.802501e+02	-1.081468e+03	-1.261719e+03
90051	0.380931	0.775389	7.97113	3.42695	0.91762	0.000933376	-1.813987e+02	-1.081440e+03	-1.262838e+03
90052	0.376117	0.775389	7.97113	3.42695	0.96256	0.00245779	-1.798737e+02	-1.084046e+03	-1.263919e+03
90053	0.377416	0.775562	7.95903	3.42695	0.96256	0.00245779	-1.799228e+02	-1.083981e+03	-1.263904e+03
90054	0.377416	0.772025	8.02851	3.1533	0.942433	0.00128197	-1.801283e+02	-1.080681e+03	-1.260809e+03
90055	0.374918	0.772025	8.02851	3.1533	0.97502	0.00128197	-1.801075e+02	-1.081136e+03	-1.261243e+03
90056	0.374918	0.772025	7.83834	3.1533	0.97502	0.000843892	-1.805503e+02	-1.080661e+03	-1.261211e+03
90057	0.374918	0.777453	7.83834	3.1533	0.97502	0.000843892	-1.821390e+02	-1.079591e+03	-1.261730e+03
90058	0.374918	0.77403	7.77478	3.1533	1.0153	0.000843892	-1.811080e+02	-1.082180e+03	-1.263288e+03
90059	0.361738	0.77403	7.77478	3.1533	1.0153	0.000843892	-1.811295e+02	-1.082856e+03	-1.263986e+03
90060	0.361738	0.77403	7.75561	2.69708	1.0153	0.000843892	-1.812596e+02	-1.081686e+03	-1.262945e+03
90061	0.356485	0.775511	7.83641	2.69708	1.0153	0.000843892	-1.816977e+02	-1.080733e+03	-1.262431e+03
90062	0.356485	0.769438	7.83641	2.69708	1.0153	0.000843892	-1.799258e+02	-1.082252e+03	-1.262178e+03
90063	0.356485	0.769438	7.83641	2.69708	1.02836	0.000843892	-1.799159e+02	-1.082589e+03	-1.262505e+03
90064	0.360967	0.769438	7.82535	2.69708	1.02836	0.000843892	-1.799091e+02	-1.082467e+03	-1.262377e+03
90065	0.360967	0.769438	7.82535	2.69708	1.02836	0.000843892	-1.799091e+02	-1.082467e+03	-1.262377e+03
90066	0.361853	0.769438	7.82535	2.85783	0.981793	0.000843892	-1.798966e+02	-1.081629e+03	-1.261526e+03
90067	0.361853	0.766938	7.91679	2.85783	1.03156	0.000843892	-1.791291e+02	-1.084373e+03	-1.263502e+03
90068	0.361853	0.783929	7.91679	2.85783	1.03156	0.000843892	-1.841070e+02	-1.078232e+03	-1.262339e+03
90069	0.371474	0.779591	8.06681	2.85783	1.01027	0.000843892	-1.828181e+02	-1.078554e+03	-1.261372e+03
90070	0.371474	0.779591	8.06681	3.08799	0.995578	0.000843892	-1.827646e+02	-1.078687e+03	-1.261452e+03
90071	0.371474	0.805403	8.32787	3.08799	0.995578	0.000843892	-1.904903e+02	-1.071034e+03	-1.261524e+03
90072	0.371474	0.805403	8.32787	3.08799	0.995578	0.000843892	-1.904903e+02	-1.071034e+03	-1.261524e+03
90073	0.368248	0.805403	8.26645	3.08799	0.992078	0.0013785	-1.899726e+02	-1.071966e+03	-1.261939e+03
90074	0.356513	0.805403	8.26645	3.08799	0.992078	0.0013785	-1.899918e+02	-1.072915e+03	-1.262907e+03
90075	0.358638	0.805403	8.26645	3.08799	0.992078	0.0013785	-1.899883e+02	-1.072634e+03	-1.262622e+03
90076	0.358638	0.782801	8.26645	2.69579	0.992078	0.0010168	-1.836666e+02	-1.077805e+03	-1.261472e+03
90077	0.368418	0.782801	8.26645	2.69579	0.992078	0.00457378	-1.801930e+02	-1.084944e+03	-1.265137e+03
90078	0.368418	0.782801	8.26645	2.69579	1.01186	0.00457378	-1.801780e+02	-1.085418e+03	-1.265596e+03
90079	0.356735	0.798746	8.26645	2.69579	1.01186	0.00457378	-1.849665e+02	-1.080460e+03	-1.265426e+03
90080	0.356709	0.776565	8.26645	2.77461	1.01186	0.00457378	-1.783367e+02	-1.087650e+03	-1.265987e+03
90081	0.356709	0.811706	8.35172	2.79097	1.01186	0.00224599	-1.911345e+02	-1.071843e+03	-1.262977e+03
90082	0.372372	0.807824	8.35172	2.79097	1.01186	0.00224599	-1.899182e+02	-1.073390e+03	-1.263308e+03
90083	0.372372	0.807824	8.35172	2.79097	1.01186	0.00224599	-1.899182e+02	-1.073390e+03	-1.263308e+03
90084	0.350127	0.811305	8.50655	2.65068	1.01186	0.00156881	-1.917194e+02	-1.071127e+03	-1.262847e+03
90085	0.345041	0.811305	8.50655	2.65068	1.01186	0.00156881	-1.917278e+02	-1.071662e+03	-1.263389e+03
90086	0.345041	0.815958	8.50655	2.75858	1.01186	0.00156881	-1.931305e+02	-1.070239e+03	-1.263370e+03
90087	0.345041	0.815958	8.73831	2.80548	0.98113	0.00156881	-1.931289e+02	-1.070558e+03	-1.263687e+03
90088	0.345041	0.833113	8.96391	2.80548	1.00636	0.00156881	-1.984616e+02	-1.066962e+03	-1.265423e+03
90089	0.374671	0.862479	8.96391	2.80548	1.00636	0.00156881	-2.078666e+02	-1.058327e+03	-1.266194e+03
90090	0.374671	0.839351	8.96391	2.85628	1.00636	0.00295645	-1.990216e+02	-1.066995e+03	-1.266016e+03
90091	0.374671	0.846391	8.96391	2.85628	1.01076	0.00295645	-2.012705e+02	-1.065015e+03	-1.266285e+03
90092	0.343968	0.847569	8.96391	2.7122	1.01076	0.00295645	-2.017414e+02	-1.063975e+03	-1.265716e+03
90093	0.343968	0.837851	8.8199	2.82637	0.979087	0.00119597	-2.003548e+02	-1.063504e+03	-1.263859e+03
90094	0.348355	0.838244	8.89383	2.82637	0.979087	0.00119597	-2.004691e+02	-1.062619e+03	-1.263088e+03
90095	0.36616	0.838244	8.99025	2.82637	0.979087	0.00119597	-2.004351e+02	-1.062156e+03	-1.262591e+03
90096	0.351139	0.845096	8.99025	2.82637	0.979087	0.00401362	-1.999043e+02	-1.065791e+03	-1.265695e+03
90097	0.370498	0.845096	8.99025	2.82637	0.99586	0.00401362	-1.998598e+02	-1.066026e+03	-1.265885e+03
90098	0.374297	0.85483	9.15871	2.78421	0.951629	0.00401362	-2.030333e+02	-1.065281e+03	-1.268314e+03
90099	0.374297	0.849557	9.15871	2.78421	0.986606	0.00224462	-2.030134e+02	-1.062684e+03	-1.265697e+03
90100	0.374297	0.849557	9.096	3.14315	0.985969	0.00224462	-2.029160e+02	-1.063160e+03	-1.266076e+03
90101	0.374297	0.84722	8.80626	2.80344	0.985969	0.00224462	-2.022730e+02	-1.063298e+03	-1.265571e+03
