iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
290028	1.59437	5.27477	0.411171	0.3092	0.884595	0.456247	0.00102124	0.000496457	0.510522	2.0171	0.00662381	5.24602	2.82036	2.32586	0.382489	-2.578909e+01	-3.898484e+03	-3.924273e+03
290029	1.35661	2.62247	0.0325875	0.699867	0.884595	0.448782	0.00102124	0.000496457	0.510522	2.0171	0.00662381	5.24602	3.14953	2.17428	0.382489	-2.407130e+01	-3.898795e+03	-3.922867e+03
290030	1.49485	0.690301	0.0325875	0.822071	0.729345	0.442457	0.00102124	0.000496457	0.438193	2.0171	0.00662381	3.49409	3.14953	2.17428	0.276463	-2.322975e+01	-3.897929e+03	-3.921158e+03
290031	1.38883	0.690301	0.202265	1.19134	1.40636	0.451738	0.00102124	0.000496457	0.352688	2.0171	0.00662381	3.49409	3.28604	0.275357	0.276463	-2.353469e+01	-3.896893e+03	-3.920428e+03
290032	1.38401	0.690301	0.202265	2.53046	1.40636	0.437603	0.00102124	0.000496457	0.352688	2.0171	0.00939595	3.29621	2.28684	5.15951	0.207301	-2.444147e+01	-3.897610e+03	-3.922051e+03
290033	1.38401	0.874789	0.372572	4.40509	1.40636	0.422558	0.00102124	0.00215366	0.0612628	2.0171	0.00939595	2.6916	1.94586	5.15951	0.207301	-2.491630e+01	-3.896888e+03	-3.921804e+03
290034	1.61245	0.874789	0.372572	4.40509	1.36683	0.422558	0.00102124	0.00215366	0.0612628	2.0171	0.00427803	3.61473	3.4757	5.13823	0.207301	-2.570196e+01	-3.897001e+03	-3.922703e+03
290035	1.33859	0.874789	2.06958	4.30354	0.489838	0.422558	0.00102124	0.00654356	0.0232945	2.0171	0.00427803	3.61473	3.78329	8.27181	0.451161	-2.742154e+01	-3.898120e+03	-3.925541e+03
290036	1.33859	3.13445	3.60481	4.75961	1.60793	0.422558	0.00102124	0.00654356	0.0919893	2.0171	0.00427803	6.76671	2.20819	8.27181	0.451161	-2.994327e+01	-3.900714e+03	-3.930657e+03
290037	1.02139	3.13445	3.49902	4.84712	1.60793	0.422558	0.00102124	0.00654356	0.0919893	2.0171	0.00427803	6.76671	4.28881	6.10882	0.451161	-2.952712e+01	-3.897938e+03	-3.927465e+03
290038	0.714344	3.13445	4.51317	4.84712	0.731091	0.423274	0.00415399	0.00750862	0.0919893	2.0171	0.00427803	6.5736	4.28881	5.90997	0.451161	-2.990563e+01	-3.899376e+03	-3.929281e+03
290039	0.714344	3.13445	3.14385	2.56405	0.731091	0.443342	0.00415399	0.00750862	0.0177326	2.0171	0.00142517	4.75918	3.96946	3.2214	0.451161	-2.690551e+01	-3.897722e+03	-3.924628e+03
290040	0.77383	0.960806	3.32804	2.5435	0.986338	0.443342	0.00666806	0.00410323	0.0177326	2.0171	0.00142517	4.75918	3.96946	1.39773	0.451161	-2.605889e+01	-3.897988e+03	-3.924047e+03
290041	0.981233	1.4212	3.32804	2.5435	0.986338	0.45245	0.00666806	0.00410323	0.0177326	2.0171	0.00142517	3.20877	3.78035	4.60734	0.451161	-2.483085e+01	-3.897788e+03	-3.922619e+03
290042	1.15328	1.4212	3.32804	2.72792	1.10528	0.482339	0.0109616	0.00410323	0.130878	2.0171	0.00739148	3.20877	4.10607	2.00737	0.451161	-2.431110e+01	-3.898362e+03	-3.922673e+03
290043	1.03797	1.53847	3.32804	1.07874	2.08087	0.49225	0.0109616	0.00410323	0.139629	2.0171	0.00739148	3.91243	4.44805	2.00737	0.451161	-2.788948e+01	-3.898006e+03	-3.925895e+03
290044	1.59272	1.43375	2.33968	5.01666	2.08087	0.486721	0.0109616	0.00410323	0.0885597	2.0171	0.0128948	3.32764	5.13569	3.59421	0.598689	-2.824594e+01	-3.899737e+03	-3.927983e+03
290045	1.44249	1.86707	2.57678	3.27668	1.48505	0.486721	0.0109616	0.00410323	0.0885597	2.0171	0.00798295	0.938357	5.13569	5.78198	0.598689	-2.465570e+01	-3.900696e+03	-3.925352e+03
290046	1.246	1.86707	4.46772	0.935	1.48505	0.479859	0.0109616	0.00410323	0.0885597	2.0171	0.00798295	0.938357	7.89466	1.32829	0.647069	-2.427280e+01	-3.900440e+03	-3.924713e+03
290047	1.57135	1.75853	5.15572	0.935	1.49142	0.479859	0.0109616	0.00410323	0.0885597	1.95192	0.00798295	1.59083	6.93113	0.0430727	0.647069	-2.363719e+01	-3.900353e+03	-3.923990e+03
290048	1.44261	1.36576	5.07952	0.490881	0.977602	0.461846	0.00398322	0.00410323	0.0885597	1.88229	0.00798295	1.36713	7.25304	0.848696	0.647069	-2.283335e+01	-3.901530e+03	-3.924363e+03
290049	1.44261	1.36576	3.54566	2.28133	0.977602	0.456105	0.011495	0.00410323	0.00699679	1.88229	0.00798295	1.76566	7.5708	0.848696	0.820378	-2.368623e+01	-3.902299e+03	-3.925985e+03
290050	1.4431	1.31146	3.28451	1.00109	1.4396	0.456105	0.0151452	0.00410323	0.00699679	1.88229	0.00798295	1.58289	7.36912	0.848696	0.482391	-2.369246e+01	-3.901445e+03	-3.925137e+03
290051	1.06031	1.52813	5.18172	1.37206	1.4396	0.456105	0.0151452	0.00410323	0.00699679	2.07614	0.00839662	2.75702	7.36912	2.36148	0.424073	-2.540625e+01	-3.901529e+03	-3.926935e+03
290052	1.26447	1.93485	4.27132	0.671481	1.31445	0.456105	0.0151452	0.00410323	0.00699679	2.07614	0.00839662	3.65344	7.86214	2.65115	0.424073	-2.531964e+01	-3.901389e+03	-3.926709e+03
290053	1.83864	1.93485	2.88015	2.05357	1.31445	0.468699	0.00314495	0.00410323	0.348006	2.07614	0.00992209	3.43034	5.77245	1.85813	0.562752	-2.410236e+01	-3.898695e+03	-3.922798e+03
290054	1.64952	1.93485	1.89774	0.428477	1.31445	0.467411	0.00314495	0.00410323	0.317324	2.08324	0.0185797	2.66327	5.2845	3.5944	0.562752	-2.336171e+01	-3.899828e+03	-3.923189e+03
290055	1.96882	1.93485	1.60091	0.428477	1.31445	0.467411	0.00314495	0.00987987	0.317324	2.08324	0.0097402	4.20727	6.82149	3.5944	0.562752	-2.478570e+01	-3.898556e+03	-3.923342e+03
290056	1.96882	1.93485	0.729118	0.0210456	0.788317	0.472596	0.00314495	0.0139135	0.317324	2.08324	0.0097402	3.3359	6.76824	3.5944	0.562752	-2.514141e+01	-3.898903e+03	-3.924045e+03
290057	1.96882	0.253286	1.16171	0.0210456	0.788317	0.472596	0.00314495	0.0139135	0.317324	2.08324	0.0097402	3.3359	7.70213	3.5944	0.433594	-2.550673e+01	-3.898623e+03	-3.924130e+03
290058	1.71471	1.7711	1.35962	0.256939	0.788317	0.472596	0.00314495	0.0139135	0.275002	2.08324	0.00680738	3.06279	5.78305	0.691669	0.433594	-2.388225e+01	-3.898082e+03	-3.921965e+03
290059	1.98853	1.7711	4.16155	0.256939	0.788317	0.472596	0.00314495	0.0139135	0.278532	2.08324	0.00680738	3.87436	5.78305	0.691669	0.433594	-2.462387e+01	-3.897989e+03	-3.922613e+03
290060	1.98853	1.99811	1.89106	1.20082	0.788317	0.472596	0.00194485	0.0139135	0.227474	2.08324	0.00680738	3.87436	4.96958	0.875166	0.433594	-2.449988e+01	-3.898486e+03	-3.922986e+03
290061	1.98853	1.99811	1.50872	0.903483	0.788317	0.45546	0.0025278	0.0139135	0.227474	2.30142	0.00680738	4.13697	5.55412	0.095854	0.299357	-2.627687e+01	-3.897963e+03	-3.924240e+03
290062	1.98853	2.40987	1.35811	0.903483	1.85965	0.45546	0.0025278	0.0376692	0.130685	2.30142	0.00680738	5.01656	5.52167	1.0941	0.299357	-2.801784e+01	-3.898104e+03	-3.926122e+03
290063	1.71535	2.40987	2.95791	0.903483	1.85965	0.468081	0.0025278	0.00909518	0.225088	2.30142	0.00680738	4.95692	5.2379	1.0941	0.322709	-2.775636e+01	-3.897430e+03	-3.925187e+03
290064	1.71031	0.369555	4.69787	0.903483	1.85965	0.482842	0.00224623	0.0252823	0.25441	2.30142	0.00680738	5.65712	6.76605	1.0941	0.380182	-2.915467e+01	-3.898342e+03	-3.927497e+03
290065	1.82717	0.505821	5.28931	1.17895	1.85965	0.482842	0.00224623	0.0112974	0.22488	2.32974	0.00680738	5.65712	7.35251	1.68626	0.302029	-3.002474e+01	-3.898394e+03	-3.928419e+03
290066	1.90236	0.423381	5.8071	1.97172	1.85965	0.482842	0.00224623	0.0220034	0.368111	2.32974	0.00598728	5.65712	7.36768	2.72821	0.302029	-3.057570e+01	-3.898068e+03	-3.928643e+03
290067	1.67634	1.01962	4.91969	2.29244	1.71854	0.470306	0.00224623	0.0220034	0.120757	2.32974	0.0171899	5.65712	6.50845	2.72821	0.659329	-2.759887e+01	-3.900153e+03	-3.927752e+03
290068	1.5163	4.00443	3.32606	1.66439	1.71854	0.446886	0.00224623	0.0220034	0.182338	2.13459	0.0171899	3.57351	7.25139	5.24299	0.659329	-2.761739e+01	-3.900036e+03	-3.927653e+03
290069	1.50541	4.00443	3.26393	1.19846	1.71854	0.456417	0.00224623	0.0220034	0.182338	2.12802	0.0171899	5.09572	7.53381	4.50073	0.659329	-2.749219e+01	-3.899644e+03	-3.927136e+03
290070	1.70575	1.83238	2.43308	1.80475	1.60059	0.456417	0.00224623	0.0170316	0.182338	2.12802	0.0171899	4.3518	7.69711	6.49624	0.659329	-2.685065e+01	-3.899474e+03	-3.926324e+03
290071	1.70089	2.17282	3.75348	2.50154	1.2292	0.456417	0.00224623	0.0170316	0.182338	2.12802	0.0171899	4.3518	7.92074	6.84024	0.659329	-2.669181e+01	-3.899424e+03	-3.926116e+03
290072	1.49941	2.17282	3.70565	3.70187	1.2292	0.456417	0.00224623	0.0170316	0.313781	2.12802	0.0171899	4.0406	7.1645	6.84024	0.659329	-2.631228e+01	-3.899865e+03	-3.926177e+03
290073	1.83339	2.08915	1.09026	5.45438	1.57001	0.471299	0.00224623	0.0170316	0.313781	2.12802	0.0148631	5.60853	7.01492	9.21083	0.659329	-2.890929e+01	-3.899482e+03	-3.928391e+03
290074	1.60268	0.840307	0.879769	5.45438	1.6227	0.471299	0.00224623	0.0170316	0.237576	2.12802	0.0148631	4.67373	6.92856	9.21083	0.473649	-2.919664e+01	-3.898725e+03	-3.927922e+03
290075	1.87206	0.424803	2.55428	5.74311	1.27752	0.489376	0.00224623	0.0170316	0.665995	2.19487	0.00200779	4.67373	6.88898	5.53823	0.66664	-2.719182e+01	-3.899827e+03	-3.927019e+03
290076	1.78098	0.514129	1.95839	5.74311	1.27752	0.489376	0.00224623	0.0170316	0.665995	2.19487	0.00200779	4.92741	7.39192	6.32771	1.0252	-2.714614e+01	-3.904294e+03	-3.931440e+03
290077	1.78098	3.59048	1.41068	4.51798	1.27752	0.489376	0.00159098	0.0170316	0.665995	2.19487	0.00447102	4.92741	6.94357	4.97663	0.599379	-2.733670e+01	-3.899135e+03	-3.926472e+03
290078	1.432	2.02119	3.07456	6.0068	1.27752	0.489376	0.00159098	0.0170316	0.470023	2.11161	0.00447102	4.92741	7.47657	4.97663	0.599379	-2.776279e+01	-3.899215e+03	-3.926977e+03
290079	1.86872	0.944974	2.28873	2.54972	1.06319	0.489376	0.00159098	0.0170316	0.507761	2.02133	0.0208161	4.8944	6.29691	5.86573	0.599379	-2.556403e+01	-3.901516e+03	-3.927080e+03
290080	1.85994	0.944974	1.14857	0.946586	1.06319	0.500315	0.00159098	0.0170316	0.507761	2.02133	0.0061234	5.83701	6.29691	5.86573	0.444792	-2.704122e+01	-3.900615e+03	-3.927656e+03
290081	1.9045	1.79551	1.69545	2.23937	1.06319	0.500315	0.00159098	0.015018	0.604354	2.55924	0.0061234	5.37811	6.31857	1.97241	0.444792	-2.815097e+01	-3.899377e+03	-3.927528e+03
290082	1.96451	1.79551	0.166708	2.23937	1.71179	0.52595	0.00159098	0.015018	0.604354	2.55924	0.0061234	5.37811	6.32485	1.97241	0.444792	-2.819294e+01	-3.899603e+03	-3.927796e+03
290083	1.94018	0.18646	1.89371	2.69115	1.04126	0.52595	0.00159098	0.00838023	0.604354	2.55924	0.0421759	5.15337	7.14201	1.75831	0.444792	-2.872870e+01	-3.901746e+03	-3.930475e+03
290084	1.82755	0.18646	3.40344	1.77108	1.28812	0.564384	0.00159098	0.00838023	0.810982	2.28798	0.0421759	6.36647	4.349	1.75831	0.444792	-2.725245e+01	-3.902560e+03	-3.929813e+03
290085	1.7161	0.679928	3.40344	0.1221	1.28812	0.564384	0.00749932	0.00838023	0.761729	2.28798	0.0421759	6.72976	4.29925	1.75831	0.223037	-2.777032e+01	-3.900857e+03	-3.928628e+03
290086	1.63558	3.81428	3.23013	0.1221	1.28812	0.584991	0.00749932	0.00838023	0.761729	2.34211	0.0421759	6.36774	4.16164	1.41089	0.223037	-2.667193e+01	-3.901877e+03	-3.928549e+03
290087	1.72567	3.81428	3.31319	0.1221	0.804261	0.590751	0.00749932	0.00838023	0.761729	2.34211	0.0421759	6.34071	3.14827	1.41089	0.223037	-2.711018e+01	-3.901716e+03	-3.928826e+03
290088	1.72567	3.81428	4.03155	0.242398	0.757052	0.590751	0.00749932	0.00838023	0.910785	2.34211	0.0421759	5.21899	2.76246	1.41089	0.223037	-2.716656e+01	-3.901649e+03	-3.928816e+03
290089	1.72567	4.16819	4.03155	0.259718	0.757052	0.568038	0.00749932	0.00838023	0.790878	2.34211	0.0469334	5.21899	4.85458	3.19406	0.223037	-2.785093e+01	-3.902313e+03	-3.930164e+03
290090	1.75052	4.98047	2.69931	0.572392	0.543042	0.560534	0.00749932	0.020972	0.790878	2.34211	0.0809951	6.00329	5.01889	3.19406	0.496059	-2.896440e+01	-3.903550e+03	-3.932514e+03
290091	1.98715	4.98047	2.84117	3.06379	0.543042	0.549026	0.00749932	0.0169714	0.401434	2.34211	0.0413758	6.86359	5.5934	5.40942	0.35882	-3.089062e+01	-3.901214e+03	-3.932105e+03
290092	1.69876	5.1105	1.69093	4.49816	0.917223	0.488511	0.00749932	0.0214631	0.33379	1.93741	0.0573642	6.86359	5.5934	5.86227	0.35882	-2.818234e+01	-3.902187e+03	-3.930369e+03
