iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Trc(1)	LnPrior	LnData	LnPosterior
0	1.34537	0.0683564	49.287	14.1379	0.00251832	-3.885397e+00	-6.803920e+03	-6.807806e+03
90001	0.302973	0.910911	37.7526	33.7926	0.000136102	-1.606548e+02	-4.893227e+03	-5.053882e+03
90002	0.301444	0.910911	37.5669	33.7926	0.000136102	-1.606989e+02	-4.893150e+03	-5.053848e+03
90003	0.301444	0.910911	37.5113	33.7926	0.000136102	-1.607114e+02	-4.893181e+03	-5.053892e+03
90004	0.295426	0.910911	37.5113	32.8404	0.000136102	-1.602144e+02	-4.894307e+03	-5.054521e+03
90005	0.295426	0.910911	37.5113	29.5349	0.000136102	-1.587352e+02	-4.896123e+03	-5.054858e+03
90006	0.295426	0.90441	37.3168	29.5349	0.000111312	-1.565305e+02	-4.898356e+03	-5.054887e+03
90007	0.295426	0.931019	37.525	29.5349	0.000111312	-1.657937e+02	-4.889159e+03	-5.054953e+03
90008	0.295426	0.923421	37.525	29.5349	0.000111312	-1.631063e+02	-4.891475e+03	-5.054581e+03
90009	0.295426	0.923421	37.8106	34.5963	0.000111312	-1.654853e+02	-4.888829e+03	-5.054315e+03
90010	0.295426	0.923421	38.8445	34.5963	0.000229662	-1.652612e+02	-4.891375e+03	-5.056636e+03
90011	0.295426	0.90862	38.0847	34.5963	0.000331926	-1.602563e+02	-4.896824e+03	-5.057080e+03
90012	0.302519	0.910825	38.0847	34.5963	0.000186951	-1.610085e+02	-4.893704e+03	-5.054712e+03
90013	0.321235	0.910825	37.2004	33.3047	0.000186951	-1.604539e+02	-4.898611e+03	-5.059065e+03
90014	0.281418	0.917249	37.2004	33.3047	0.000186951	-1.627596e+02	-4.896735e+03	-5.059495e+03
90015	0.281418	0.917249	37.2004	33.3047	0.000186951	-1.627596e+02	-4.896735e+03	-5.059495e+03
90016	0.281418	0.940951	38.0467	32.0276	0.000278775	-1.703243e+02	-4.889205e+03	-5.059529e+03
90017	0.29049	0.940951	38.0467	32.0276	0.000350897	-1.703087e+02	-4.886694e+03	-5.057003e+03
90018	0.29049	0.940951	38.5548	38.6142	0.000224595	-1.742350e+02	-4.883065e+03	-5.057300e+03
90019	0.29049	0.940951	38.5548	33.8914	0.000190058	-1.711646e+02	-4.884716e+03	-5.055881e+03
90020	0.29049	0.955326	38.5548	33.8914	1.96848e-05	-1.763691e+02	-4.878646e+03	-5.055015e+03
90021	0.289461	0.955326	38.9943	27.5138	4.06439e-05	-1.735473e+02	-4.882545e+03	-5.056092e+03
90022	0.307747	0.955326	38.9805	27.5138	4.06439e-05	-1.735191e+02	-4.882560e+03	-5.056079e+03
90023	0.307747	0.955326	40.2921	27.5138	4.06439e-05	-1.732520e+02	-4.882866e+03	-5.056118e+03
90024	0.307747	0.955326	39.5738	27.5138	7.44995e-05	-1.733961e+02	-4.882438e+03	-5.055835e+03
90025	0.307747	0.955326	39.1734	27.5138	1.24082e-05	-1.734787e+02	-4.882171e+03	-5.055650e+03
90026	0.307747	0.931345	39.1734	32.4006	1.24082e-05	-1.667889e+02	-4.886958e+03	-5.053747e+03
90027	0.307747	0.931345	39.1734	30.2505	4.07268e-05	-1.658149e+02	-4.888425e+03	-5.054240e+03
90028	0.307747	0.937965	39.1734	30.2505	6.23703e-05	-1.681760e+02	-4.886073e+03	-5.054249e+03
90029	0.307747	0.937965	38.786	38.5223	0.000117404	-1.730175e+02	-4.882325e+03	-5.055342e+03
90030	0.307747	0.937965	38.786	38.5223	0.000110423	-1.730175e+02	-4.882245e+03	-5.055263e+03
