"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"LnPrior"	"LnData"	"LnPosterior"
95079	0.266918	3.20039	127.707	27.09	-46.88624	-4649.732	-4696.618
95080	0.266918	3.20039	127.707	27.09	-46.88624	-4649.732	-4696.618
95081	0.266918	3.20039	127.707	27.7603	-47.48756	-4649.248	-4696.735
95082	0.266918	3.20039	127.707	27.7603	-47.48756	-4649.248	-4696.735
95083	0.266918	3.20039	127.707	27.7603	-47.48756	-4649.248	-4696.735
95084	0.266918	3.20039	127.707	27.7603	-47.48756	-4649.248	-4696.735
95085	0.247866	3.20039	127.707	23.7986	-44.19421	-4652.929	-4697.123
95086	0.247866	3.21829	127.707	28.7387	-48.36655	-4648.671	-4697.038
95087	0.247866	3.21829	122.784	28.7387	-45.15489	-4651.559	-4696.714
95088	0.252783	3.11724	122.784	21.5626	-39.54353	-4657.126	-4696.669
95089	0.252783	3.11724	122.784	22.785	-40.38321	-4655.859	-4696.243
95090	0.252783	3.0987	122.784	22.785	-40.41515	-4656.349	-4696.764
95091	0.252783	3.0987	122.784	22.785	-40.41515	-4656.349	-4696.764
95092	0.252344	3.14887	122.784	22.785	-40.3289	-4655.39	-4695.719
95093	0.252344	3.14887	122.784	22.785	-40.3289	-4655.39	-4695.719
95094	0.252344	3.14887	122.784	24.5906	-41.67866	-4653.735	-4695.414
95095	0.252344	3.14887	122.784	24.5906	-41.67866	-4653.735	-4695.414
95096	0.252344	3.14887	122.784	24.5906	-41.67866	-4653.735	-4695.414
95097	0.252344	3.14887	122.784	24.5906	-41.67866	-4653.735	-4695.414
95098	0.252344	3.14887	122.784	24.5906	-41.67866	-4653.735	-4695.414
95099	0.252344	3.11546	122.784	27.4267	-44.1193	-4652.177	-4696.296
95100	0.252344	3.11546	122.431	27.2996	-43.78472	-4652.418	-4696.202
95101	0.252344	3.11546	121.665	27.2996	-43.30929	-4652.801	-4696.11
95102	0.252344	3.11546	121.665	27.2996	-43.30929	-4652.801	-4696.11
95103	0.252344	3.12401	121.665	27.2996	-43.29458	-4652.696	-4695.991
95104	0.252344	3.12401	121.665	27.2996	-43.29458	-4652.696	-4695.991
95105	0.252344	3.12401	121.665	27.2996	-43.29458	-4652.696	-4695.991
95106	0.252452	3.05042	121.665	27.2996	-43.42175	-4654.57	-4697.992
95107	0.252452	3.05042	121.665	27.2996	-43.42175	-4654.57	-4697.992
95108	0.252452	3.17946	121.665	26.1958	-42.23944	-4653.795	-4696.034
95109	0.247086	3.16824	126.28	26.1958	-45.21099	-4652.44	-4697.651
95110	0.247086	3.16824	123.752	27.9081	-45.07733	-4651.444	-4696.521
95111	0.255136	3.16824	123.752	23.5262	-41.44635	-4653.74	-4695.187
95112	0.255136	3.14969	123.752	26.4673	-43.83053	-4651.521	-4695.351
95113	0.255136	3.14969	123.752	26.4673	-43.83053	-4651.521	-4695.351
95114	0.255136	3.14969	123.752	26.4673	-43.83053	-4651.521	-4695.351
95115	0.255136	3.14969	123.752	30.767	-47.89245	-4648.863	-4696.755
95116	0.255136	3.14969	122.233	26.4162	-42.83026	-4652.65	-4695.481
95117	0.255136	3.14969	122.233	20.8778	-38.69927	-4657.924	-4696.623
95118	0.255136	3.14969	122.233	27.2132	-43.52576	-4652.1	-4695.625
95119	0.248539	3.14969	122.233	27.2132	-43.52561	-4652.69	-4696.215
95120	0.248539	3.14969	122.233	27.2132	-43.52561	-4652.69	-4696.215
95121	0.248539	3.14969	120.429	27.2132	-42.41878	-4654.465	-4696.884
95122	0.248498	3.14969	120.429	27.2132	-42.41878	-4654.494	-4696.913
95123	0.248498	3.17569	120.429	27.4219	-42.56059	-4654.847	-4697.408
95124	0.248498	3.17569	120.429	27.4219	-42.56059	-4654.847	-4697.408
95125	0.248498	3.17569	119.758	26.9211	-41.7132	-4656.35	-4698.064
95126	0.248498	3.17569	120.348	22.3294	-38.46335	-4659.179	-4697.642
95127	0.248498	3.17569	120.78	22.3294	-38.72497	-4658.489	-4697.214
95128	0.248498	3.17569	123.71	22.3294	-40.54851	-4655.42	-4695.969
95129	0.248498	3.17569	123.71	22.1957	-40.45623	-4655.591	-4696.047
95130	0.247767	3.17569	123.71	22.1957	-40.45621	-4655.713	-4696.169
95131	0.248448	3.17569	123.71	21.4692	-39.96705	-4656.36	-4696.327
95132	0.248448	3.17569	123.71	25.2385	-42.73429	-4652.899	-4695.633
95133	0.248448	3.17569	123.71	25.2385	-42.73429	-4652.899	-4695.633
95134	0.248448	3.17569	123.71	27.5554	-44.71723	-4651.26	-4695.977
95135	0.248448	3.17569	123.71	27.5554	-44.71723	-4651.26	-4695.977
95136	0.250319	3.17569	123.71	26.6613	-43.9266	-4651.492	-4695.419
95137	0.250319	3.17569	123.71	29.3835	-46.43348	-4649.807	-4696.24
95138	0.253375	3.17569	123.71	22.7846	-40.86827	-4654.499	-4695.367
95139	0.253375	3.17569	123.71	26.227	-43.55414	-4651.531	-4695.085
95140	0.253375	3.17569	123.71	26.227	-43.55414	-4651.531	-4695.085
95141	0.246784	3.17918	123.71	26.227	-43.54803	-4652.476	-4696.024
95142	0.249648	3.15132	123.71	26.227	-43.5957	-4652.344	-4695.94
95143	0.249648	3.15132	123.71	30.6942	-47.78785	-4649.639	-4697.427
95144	0.249648	3.15132	123.71	30.6942	-47.78785	-4649.639	-4697.427
95145	0.249648	3.15132	123.71	30.0108	-47.09484	-4650	-4697.094
95146	0.249648	3.15132	122.406	30.0108	-46.27282	-4650.673	-4696.946
95147	0.249648	3.15132	122.406	20.2419	-38.40833	-4658.753	-4697.162
95148	0.249648	3.15132	122.406	20.2419	-38.40833	-4658.753	-4697.162
95149	0.249648	3.15132	122.406	19.6169	-38.0351	-4659.53	-4697.565
95150	0.249648	3.15132	122.406	26.0622	-42.63428	-4653.136	-4695.77
95151	0.249648	3.15132	122.406	23.0932	-40.30924	-4655.605	-4695.915
95152	0.249648	3.15132	122.406	23.0932	-40.30924	-4655.605	-4695.915
95153	0.249648	3.15132	122.406	30.0366	-46.29861	-4650.669	-4696.968
95154	0.252731	3.15132	122.406	20.5701	-38.61061	-4658.131	-4696.742
95155	0.252731	3.15132	122.406	28.3614	-44.67716	-4651.253	-4695.93
95156	0.252731	3.15132	122.406	28.3614	-44.67716	-4651.253	-4695.93
95157	0.252731	3.15132	122.406	28.3614	-44.67716	-4651.253	-4695.93
95158	0.252731	3.15132	122.406	28.3614	-44.67716	-4651.253	-4695.93
95159	0.252731	3.15132	122.406	28.3614	-44.67716	-4651.253	-4695.93
95160	0.252731	3.15132	122.406	28.0212	-44.36156	-4651.473	-4695.835
95161	0.252427	3.15132	122.406	28.0212	-44.36156	-4651.496	-4695.858
95162	0.252427	3.15132	122.406	24.7568	-41.56871	-4653.869	-4695.437
95163	0.252427	3.15132	122.406	24.7568	-41.56871	-4653.869	-4695.437
95164	0.250281	3.15132	122.406	24.7568	-41.56866	-4654.065	-4695.633
95165	0.250281	3.15132	122.406	23.3865	-40.52327	-4655.243	-4695.766
95166	0.250281	3.15132	123.612	23.3865	-41.28314	-4654.585	-4695.868
95167	0.250281	3.15132	123.612	23.3865	-41.28314	-4654.585	-4695.868
95168	0.250281	3.15132	123.612	23.3865	-41.28314	-4654.585	-4695.868
95169	0.250281	3.15132	123.612	26.9183	-44.1301	-4651.765	-4695.896
95170	0.250281	3.15132	123.612	23.6329	-41.46559	-4654.336	-4695.802
95171	0.250281	3.15132	123.612	25.0068	-42.52729	-4653.122	-4695.649
95172	0.250281	3.15132	123.612	24.0075	-41.74755	-4653.981	-4695.729
95173	0.250281	3.15132	123.612	24.0075	-41.74755	-4653.981	-4695.729
95174	0.250281	3.15132	123.612	26.4177	-43.69621	-4652.127	-4695.823
95175	0.255291	3.15132	123.612	27.8936	-45.00434	-4650.572	-4695.576
95176	0.255291	3.15132	123.612	29.5989	-46.6241	-4649.54	-4696.164
95177	0.255291	3.15132	122.569	28.0921	-44.52876	-4651.184	-4695.713
95178	0.255291	3.15132	122.569	24.5769	-41.52901	-4653.809	-4695.338
95179	0.255291	3.15132	122.569	25.9293	-42.62457	-4652.712	-4695.337
95180	0.255291	3.15132	122.569	25.9293	-42.62457	-4652.712	-4695.337
95181	0.255291	3.15132	124.184	21.6555	-40.43535	-4655.61	-4696.045
95182	0.259891	3.15132	124.184	21.6555	-40.43546	-4655.871	-4696.307
95183	0.259891	3.19665	124.184	21.6555	-40.3581	-4655.825	-4696.183
95184	0.245348	3.23863	124.184	21.6555	-40.2866	-4656.148	-4696.435
95185	0.259147	3.24377	128.498	21.6555	-43.14006	-4652.39	-4695.531
95186	0.259147	3.24377	128.498	23.0801	-44.12975	-4650.866	-4694.996
95187	0.259147	3.24377	125.348	27.7745	-45.85766	-4649.475	-4695.332
95188	0.259147	3.24377	125.348	27.7745	-45.85766	-4649.475	-4695.332
95189	0.259147	3.24377	125.348	28.2425	-46.28835	-4649.13	-4695.418
95190	0.259147	3.24377	125.348	28.2699	-46.31389	-4649.131	-4695.445
95191	0.259147	3.24377	125.348	28.2699	-46.31389	-4649.131	-4695.445
95192	0.259147	3.24377	125.348	24.6182	-43.18155	-4651.912	-4695.093
95193	0.259147	3.24377	125.348	30.5623	-48.5527	-4647.79	-4696.343
95194	0.259147	3.24377	125.348	23.9497	-42.66588	-4652.529	-4695.195
95195	0.259147	3.24377	125.348	23.6133	-42.41321	-4652.869	-4695.283
95196	0.259147	3.24377	125.348	23.6133	-42.41321	-4652.869	-4695.283
95197	0.259147	3.24377	125.348	23.6133	-42.41321	-4652.869	-4695.283
95198	0.259147	3.24377	125.348	23.6133	-42.41321	-4652.869	-4695.283
95199	0.259147	3.24377	125.348	23.6133	-42.41321	-4652.869	-4695.283
95200	0.259147	3.24377	125.348	27.4117	-45.52977	-4649.686	-4695.216
95201	0.259147	3.24377	125.348	28.9857	-46.99033	-4648.701	-4695.691
95202	0.259147	3.24377	125.348	28.9857	-46.99033	-4648.701	-4695.691
95203	0.259147	3.24377	125.348	28.9909	-46.99537	-4648.68	-4695.675
