"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Tmc.1."	"Kt.1."	"LnPrior"	"LnData"	"LnPosterior"
95061	0.357905	0.819713	8.71854	2.67082	0.998144	0.0014786	-194.3876	-1068.198	-1262.585
95062	0.357905	0.819713	8.71854	2.83763	0.96735	0.0014786	-194.3627	-1067.413	-1261.776
95063	0.357905	0.803685	8.47513	2.83763	0.96735	0.0014786	-189.4463	-1072	-1261.446
95064	0.357905	0.807993	8.73198	2.83763	0.96735	0.0014786	-190.7483	-1071.361	-1262.11
95065	0.357905	0.828423	8.73198	2.83763	0.96735	0.0014786	-197.0832	-1065.184	-1262.267
95066	0.357905	0.80533	8.59695	2.83763	0.96735	0.0014786	-189.9416	-1071.577	-1261.518
95067	0.374752	0.80533	8.59695	3.07407	0.96735	0.0014786	-189.8474	-1071.802	-1261.65
95068	0.368515	0.80533	8.59695	2.97513	0.954511	0.0014786	-189.8949	-1071.06	-1260.955
95069	0.368515	0.807828	8.59695	2.97513	0.954511	0.0014786	-190.6578	-1070.314	-1260.972
95070	0.368515	0.807828	8.59695	2.97513	0.954511	0.00304284	-189.1289	-1073.361	-1262.49
95071	0.35689	0.815382	8.59695	2.95973	0.954511	0.00304284	-191.4746	-1072.362	-1263.836
95072	0.35689	0.786821	8.59695	2.95973	0.954511	0.00304284	-182.814	-1081.594	-1264.408
95073	0.35689	0.785037	8.42636	2.95973	0.954511	0.00304284	-182.2922	-1081.1	-1263.393
95074	0.35148	0.785971	8.42636	2.95973	0.954511	0.00304284	-182.5783	-1081.769	-1264.347
95075	0.35148	0.785971	8.41781	2.80525	0.954511	0.00304284	-182.6227	-1081.673	-1264.295
95076	0.35786	0.785971	8.32966	2.80525	0.954511	0.00304284	-182.6166	-1081.019	-1263.636
95077	0.35786	0.785971	8.54133	3.17356	0.954511	0.00304284	-182.5029	-1083.041	-1265.544
