iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	0.415183	3.43736	0.0915157	77.6279	0.0285166	55.9153	6.64258	-7.303773e+00	-1.137938e+04	-1.138669e+04
90001	0.404714	7.61898	0.0678791	1.29686	0.464494	6.2284	10.1135	-7.566250e+01	-3.767725e+02	-4.524350e+02
90002	0.404714	7.61898	0.0678791	1.29686	0.464494	6.01508	10.1135	-7.577743e+01	-3.750841e+02	-4.508615e+02
90003	0.404714	7.61898	0.0607014	1.29686	0.464494	5.80453	10.1135	-7.651982e+01	-3.737480e+02	-4.502678e+02
90004	0.404714	7.82637	0.0607014	1.29686	0.464494	5.80453	14.651	-7.904649e+01	-3.699440e+02	-4.489905e+02
90005	0.404714	7.82637	0.0607014	1.29686	0.464494	5.80453	11.1481	-7.793966e+01	-3.707071e+02	-4.486468e+02
90006	0.398822	7.82637	0.0605736	1.31428	0.464494	5.80453	11.1481	-7.795360e+01	-3.716440e+02	-4.495976e+02
90007	0.398822	7.82637	0.0589153	1.31428	0.464494	5.80453	11.1481	-7.816972e+01	-3.714092e+02	-4.495790e+02
90008	0.411756	7.82637	0.0589153	1.31132	0.464494	5.8799	11.1481	-7.812923e+01	-3.704038e+02	-4.485330e+02
90009	0.436617	7.82637	0.0589153	1.31132	0.464494	5.8799	11.7216	-7.827745e+01	-3.705502e+02	-4.488276e+02
90010	0.425444	7.82637	0.0661556	1.31132	0.464494	5.72429	11.7216	-7.761269e+01	-3.710413e+02	-4.486540e+02
90011	0.418363	7.82637	0.0661556	1.31132	0.464494	5.72429	11.7216	-7.761254e+01	-3.710516e+02	-4.486642e+02
90012	0.418363	8.10373	0.0632342	1.36764	0.464494	5.72429	11.7216	-7.950576e+01	-3.689162e+02	-4.484219e+02
90013	0.418363	8.10373	0.0632342	1.36764	0.439696	5.72429	11.7216	-7.544781e+01	-3.755177e+02	-4.509655e+02
90014	0.415683	8.10373	0.0733194	1.36764	0.439696	5.72429	11.7216	-7.487816e+01	-3.763361e+02	-4.512143e+02
90015	0.415683	8.10373	0.0733194	1.36764	0.439696	5.58423	12.9357	-7.531017e+01	-3.750677e+02	-4.503778e+02
90016	0.420137	8.10373	0.0733194	1.36764	0.439696	5.58423	12.7273	-7.524497e+01	-3.749501e+02	-4.501951e+02
90017	0.41999	8.10373	0.0701613	1.36764	0.439696	5.44137	16.7861	-7.700746e+01	-3.732124e+02	-4.502198e+02
90018	0.41999	8.01599	0.0723963	1.36764	0.439696	5.35825	11.8292	-7.459804e+01	-3.777144e+02	-4.523125e+02
90019	0.41999	8.03432	0.0616401	1.36764	0.439696	5.35825	17.9088	-7.781998e+01	-3.721124e+02	-4.499324e+02
90020	0.42107	8.03432	0.0551014	1.33431	0.439696	5.35825	17.9088	-7.877942e+01	-3.710898e+02	-4.498692e+02
90021	0.431354	8.03432	0.0618785	1.33431	0.439696	5.42453	17.9088	-7.776080e+01	-3.722042e+02	-4.499650e+02
90022	0.431354	8.03432	0.0673575	1.33431	0.439696	5.42453	17.9088	-7.729834e+01	-3.729453e+02	-4.502437e+02
90023	0.430528	8.03432	0.0673575	1.33431	0.439696	5.51674	10.9724	-7.462867e+01	-3.750388e+02	-4.496675e+02
90024	0.439573	8.03432	0.0590138	1.33431	0.439696	5.49364	10.9724	-7.545670e+01	-3.744079e+02	-4.498645e+02
