iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	2.05769	9.10793	60.1616	5.64047	-8.755806e+00	-1.195343e+04	-1.196219e+04
90001	0.255368	3.36816	129.28	27.1219	-4.771008e+01	-4.646624e+03	-4.694334e+03
90002	0.255368	3.36816	131.68	27.1219	-4.940204e+01	-4.644283e+03	-4.693685e+03
90003	0.255368	3.35663	131.125	27.1219	-4.902485e+01	-4.644712e+03	-4.693737e+03
90004	0.255368	3.35663	131.01	27.124	-4.894504e+01	-4.644791e+03	-4.693736e+03
90005	0.25793	3.35663	131.01	27.124	-4.894510e+01	-4.644938e+03	-4.693883e+03
90006	0.253111	3.35663	131.01	27.124	-4.894499e+01	-4.644767e+03	-4.693712e+03
90007	0.252102	3.35663	131.01	27.124	-4.894496e+01	-4.644863e+03	-4.693808e+03
90008	0.250672	3.35663	129.466	27.124	-4.785986e+01	-4.646179e+03	-4.694039e+03
90009	0.250672	3.35663	128.283	25.7701	-4.588377e+01	-4.648542e+03	-4.694426e+03
90010	0.250672	3.35663	128.283	27.931	-4.777244e+01	-4.647036e+03	-4.694809e+03
90011	0.249601	3.35663	128.283	21.0058	-4.237952e+01	-4.653065e+03	-4.695445e+03
90012	0.245401	3.35663	125.771	24.9451	-4.352835e+01	-4.653534e+03	-4.697062e+03
90013	0.252788	3.35663	126.349	25.6921	-4.451720e+01	-4.651841e+03	-4.696358e+03
90014	0.253462	3.21977	126.349	27.4319	-4.624736e+01	-4.648595e+03	-4.694842e+03
90015	0.253462	3.15116	126.349	21.123	-4.149946e+01	-4.656236e+03	-4.697735e+03
90016	0.253462	3.34878	126.197	21.123	-4.106572e+01	-4.656350e+03	-4.697416e+03
90017	0.253462	3.34878	132.322	22.2117	-4.603367e+01	-4.648449e+03	-4.694482e+03
90018	0.258923	3.34878	132.322	28.889	-5.152266e+01	-4.643124e+03	-4.694647e+03
90019	0.251599	3.34878	131.957	19.402	-4.399336e+01	-4.652100e+03	-4.696093e+03
90020	0.252008	3.34878	129.894	19.402	-4.253063e+01	-4.653286e+03	-4.695817e+03
