iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Trc(1)	LnPrior	LnData	LnPosterior
90055	0.295091	0.912606	37.2063	29.5589	0.000316375	-1.594029e+02	-4.896754e+03	-5.056157e+03
90056	0.295091	0.912606	37.6503	29.5589	0.000316375	-1.593027e+02	-4.896886e+03	-5.056189e+03
90057	0.295091	0.921793	37.6503	41.7488	0.000379857	-1.701479e+02	-4.888717e+03	-5.058865e+03
90058	0.308458	0.921793	37.9379	42.2199	0.000262673	-1.704757e+02	-4.887492e+03	-5.057968e+03
90059	0.308458	0.921793	37.8436	43.1355	4.78431e-05	-1.713271e+02	-4.885725e+03	-5.057052e+03
90060	0.308458	0.921793	38.0585	43.1355	4.78431e-05	-1.712797e+02	-4.885613e+03	-5.056892e+03
90061	0.308458	0.930303	38.0585	30.4544	3.78709e-05	-1.657662e+02	-4.888478e+03	-5.054244e+03
90062	0.308458	0.930303	37.9034	31.3599	3.78709e-05	-1.661954e+02	-4.888140e+03	-5.054335e+03
90063	0.306334	0.903804	37.9034	31.3599	0.000100982	-1.569346e+02	-4.897204e+03	-5.054139e+03
90064	0.306334	0.903804	37.9034	31.3599	0.000100982	-1.569346e+02	-4.897204e+03	-5.054139e+03
90065	0.306334	0.903804	37.0937	31.3599	0.000100982	-1.571168e+02	-4.896834e+03	-5.053951e+03
90066	0.306334	0.903804	37.0937	32.2317	0.000100982	-1.575281e+02	-4.896345e+03	-5.053873e+03
90067	0.306334	0.911319	38.3978	39.7544	7.86471e-05	-1.646490e+02	-4.891040e+03	-5.055689e+03
90068	0.308369	0.911319	39.0379	38.0457	7.86471e-05	-1.632176e+02	-4.893332e+03	-5.056550e+03
90069	0.308369	0.9113	39.0379	25.4147	7.86471e-05	-1.572846e+02	-4.900697e+03	-5.057982e+03
90070	0.308369	0.9113	38.0146	25.4147	0.000100641	-1.575043e+02	-4.898774e+03	-5.056278e+03
90071	0.298889	0.929722	38.0146	25.4147	0.000100641	-1.639866e+02	-4.891970e+03	-5.055956e+03
90072	0.298889	0.929722	37.5573	25.4147	0.000100641	-1.640882e+02	-4.892357e+03	-5.056445e+03
90073	0.298889	0.929722	37.5573	33.3848	0.000100641	-1.670848e+02	-4.887137e+03	-5.054222e+03
90074	0.298889	0.929722	37.5573	33.3848	0.000214276	-1.670848e+02	-4.888022e+03	-5.055107e+03
90075	0.298889	0.929722	37.5573	31.8675	0.000214276	-1.663185e+02	-4.888776e+03	-5.055094e+03
90076	0.298889	0.930798	37.5573	31.8675	0.000149527	-1.667005e+02	-4.887989e+03	-5.054689e+03
90077	0.298889	0.930798	37.5573	34.3104	0.000149527	-1.679795e+02	-4.886784e+03	-5.054764e+03
90078	0.298889	0.930798	37.5573	34.9988	0.000149527	-1.683830e+02	-4.886470e+03	-5.054853e+03
90079	0.291236	0.930798	37.5573	34.9988	0.000149527	-1.683961e+02	-4.887274e+03	-5.055670e+03
90080	0.291236	0.930798	37.5573	29.6688	0.000263942	-1.657665e+02	-4.890754e+03	-5.056520e+03
90081	0.302433	0.930798	38.3575	29.6271	0.000263942	-1.655549e+02	-4.889610e+03	-5.055164e+03
90082	0.302433	0.930798	38.3575	29.6271	0.000263942	-1.655549e+02	-4.889610e+03	-5.055164e+03
90083	0.302433	0.930798	38.3575	29.6271	0.000263942	-1.655549e+02	-4.889610e+03	-5.055164e+03
90084	0.302433	0.930798	38.332	29.6271	0.000263942	-1.655604e+02	-4.889635e+03	-5.055195e+03
90085	0.302433	0.927459	38.332	29.6271	0.000286303	-1.643769e+02	-4.890937e+03	-5.055314e+03
90086	0.302433	0.927459	38.332	32.5331	0.000301129	-1.656648e+02	-4.889338e+03	-5.055003e+03
90087	0.302433	0.927459	38.332	32.5331	7.88745e-06	-1.656649e+02	-4.887244e+03	-5.052909e+03
90088	0.302433	0.927459	38.332	32.5331	7.88745e-06	-1.656649e+02	-4.887244e+03	-5.052909e+03
90089	0.302433	0.927459	38.332	26.6081	1.89018e-05	-1.633966e+02	-4.891170e+03	-5.054567e+03
90090	0.301614	0.927459	38.5213	26.6081	1.89018e-05	-1.633572e+02	-4.891301e+03	-5.054658e+03
90091	0.301614	0.956336	39.8747	26.6081	1.89018e-05	-1.734587e+02	-4.882075e+03	-5.055534e+03
90092	0.301614	0.956336	39.7398	36.9487	1.89018e-05	-1.783578e+02	-4.876088e+03	-5.054446e+03
90093	0.301614	0.956336	39.0059	36.9487	0.000180138	-1.785092e+02	-4.877135e+03	-5.055644e+03
90094	0.301614	0.956336	39.0059	36.9487	0.000180138	-1.785092e+02	-4.877135e+03	-5.055644e+03
90095	0.301614	0.956336	40.0791	36.9487	0.000172297	-1.782896e+02	-4.877639e+03	-5.055929e+03
90096	0.301614	0.956336	40.0791	36.9487	0.000172297	-1.782896e+02	-4.877639e+03	-5.055929e+03
90097	0.301614	0.956336	40.0791	36.9487	5.77148e-05	-1.782896e+02	-4.876892e+03	-5.055182e+03
90098	0.301614	0.947778	40.0791	32.6018	0.000188295	-1.726085e+02	-4.883238e+03	-5.055847e+03
90099	0.301614	0.947778	40.0791	32.6018	0.000188295	-1.726085e+02	-4.883238e+03	-5.055847e+03
90100	0.301614	0.947778	40.0305	32.6018	0.000188295	-1.726182e+02	-4.883108e+03	-5.055726e+03
90101	0.301614	0.947778	40.2402	32.6018	0.000134934	-1.725766e+02	-4.883325e+03	-5.055901e+03
90102	0.30969	0.956467	40.2402	32.6018	2.43585e-05	-1.757226e+02	-4.879230e+03	-5.054953e+03
90103	0.308033	0.956467	40.1767	31.2335	2.43585e-05	-1.750858e+02	-4.879685e+03	-5.054771e+03
90104	0.308033	0.956467	40.1767	31.2335	2.43585e-05	-1.750858e+02	-4.879685e+03	-5.054771e+03
90105	0.312917	0.956467	40.1767	29.6568	2.43585e-05	-1.744187e+02	-4.881525e+03	-5.055944e+03
90106	0.312917	0.956467	40.1767	34.5266	0.00017228	-1.767741e+02	-4.879833e+03	-5.056607e+03
90107	0.312721	0.956467	40.1767	34.5266	0.00017228	-1.767744e+02	-4.879778e+03	-5.056552e+03
90108	0.312721	0.956467	39.625	34.5266	0.000146242	-1.768853e+02	-4.879465e+03	-5.056350e+03
90109	0.312721	0.956467	39.8546	34.5266	0.000146242	-1.768388e+02	-4.879435e+03	-5.056274e+03
90110	0.294155	0.956467	39.8546	34.5266	0.000219349	-1.768702e+02	-4.879469e+03	-5.056339e+03
90111	0.294155	0.956739	39.56	29.2429	0.000364275	-1.745178e+02	-4.882665e+03	-5.057183e+03
90112	0.294155	0.956739	38.2374	29.2429	0.000364275	-1.747969e+02	-4.883314e+03	-5.058111e+03
90113	0.294155	0.956739	38.2374	28.4655	0.000328519	-1.745216e+02	-4.883560e+03	-5.058082e+03
90114	0.294155	0.956739	38.2374	28.4655	0.00023814	-1.745216e+02	-4.882888e+03	-5.057409e+03
90115	0.279163	0.956739	37.9605	28.4655	0.000244516	-1.746079e+02	-4.886817e+03	-5.061425e+03
90116	0.279163	0.932935	37.6943	30.2267	0.000337259	-1.667382e+02	-4.894635e+03	-5.061373e+03
90117	0.291314	0.932935	37.6943	33.1764	0.000110779	-1.680980e+02	-4.886963e+03	-5.055061e+03
90118	0.291314	0.932935	37.7944	33.1764	0.000110779	-1.680757e+02	-4.886930e+03	-5.055006e+03
90119	0.291314	0.932935	37.7944	33.1764	1.10299e-05	-1.680758e+02	-4.886239e+03	-5.054314e+03
90120	0.291314	0.932935	37.7944	27.9158	1.10299e-05	-1.658566e+02	-4.889197e+03	-5.055054e+03
90121	0.295433	0.932935	37.7944	27.9158	0.000243859	-1.658496e+02	-4.890344e+03	-5.056194e+03
90122	0.295433	0.932935	37.7944	27.9158	0.000243859	-1.658496e+02	-4.890344e+03	-5.056194e+03
90123	0.295433	0.932935	 39.1	27.9158	0.000243859	-1.655682e+02	-4.891370e+03	-5.056938e+03
90124	0.295433	0.932935	 39.1	27.9158	0.000238489	-1.655682e+02	-4.891326e+03	-5.056894e+03
90125	0.295433	0.932935	 39.1	27.9158	0.000398697	-1.655682e+02	-4.892419e+03	-5.057987e+03
90126	0.295433	0.932935	39.2427	34.9566	0.00014968	-1.687592e+02	-4.887292e+03	-5.056051e+03
90127	0.295433	0.94537	39.2427	34.9566	0.00034736	-1.732165e+02	-4.883308e+03	-5.056524e+03
90128	0.295433	0.94537	38.9459	30.5758	8.65487e-06	-1.710416e+02	-4.882762e+03	-5.053804e+03
90129	0.295433	0.94537	38.9459	35.5149	8.65487e-06	-1.736189e+02	-4.880333e+03	-5.053951e+03
90130	0.295433	0.94537	38.9459	35.5149	8.65487e-06	-1.736189e+02	-4.880333e+03	-5.053951e+03
90131	0.293841	0.94537	38.9459	35.5149	8.65487e-06	-1.736216e+02	-4.880657e+03	-5.054279e+03
90132	0.293841	0.94537	39.7617	35.5149	8.65487e-06	-1.734532e+02	-4.882303e+03	-5.055756e+03
90133	0.304461	0.94537	39.7617	35.5149	8.65487e-06	-1.734351e+02	-4.880792e+03	-5.054227e+03
90134	0.304461	0.94537	39.7617	35.5149	0.000176228	-1.734351e+02	-4.881967e+03	-5.055402e+03
90135	0.305623	0.94537	39.7617	35.5149	4.8874e-05	-1.734331e+02	-4.881105e+03	-5.054538e+03
90136	0.305623	0.94537	39.7617	32.911	0.000326294	-1.719527e+02	-4.884250e+03	-5.056202e+03
90137	0.305623	0.94537	38.1679	34.3574	0.000185858	-1.730768e+02	-4.882885e+03	-5.055962e+03
90138	0.305623	0.912619	38.1679	31.9801	0.000185858	-1.602181e+02	-4.894250e+03	-5.054468e+03
90139	0.305623	0.900502	37.877	31.9801	0.00016688	-1.560962e+02	-4.898667e+03	-5.054763e+03
90140	0.305623	0.900502	36.5841	35.0977	0.00016688	-1.580789e+02	-4.896907e+03	-5.054986e+03
90141	0.288364	0.900502	36.5841	35.0977	0.00016688	-1.581083e+02	-4.899029e+03	-5.057137e+03
90142	0.288364	0.900502	36.5841	35.0977	0.00016688	-1.581083e+02	-4.899029e+03	-5.057137e+03
90143	0.288364	0.900502	36.5841	35.0977	0.00021906	-1.581083e+02	-4.899431e+03	-5.057539e+03
90144	0.288364	0.900502	36.5841	35.0977	0.00021906	-1.581083e+02	-4.899431e+03	-5.057539e+03
90145	0.288364	0.904103	35.499	35.0977	7.97591e-05	-1.596063e+02	-4.898894e+03	-5.058500e+03
90146	0.288364	0.904103	36.7188	35.0977	1.48154e-05	-1.593148e+02	-4.896610e+03	-5.055924e+03
90147	0.288364	0.904103	36.7188	35.0977	1.48154e-05	-1.593148e+02	-4.896610e+03	-5.055924e+03
90148	0.288364	0.904103	36.3393	35.0977	1.48154e-05	-1.594039e+02	-4.896695e+03	-5.056099e+03
90149	0.288364	0.904103	36.8293	35.0977	0.000208257	-1.592892e+02	-4.897987e+03	-5.057276e+03
90150	0.288364	0.904103	37.6899	35.0977	0.000208257	-1.590934e+02	-4.899519e+03	-5.058612e+03
90151	0.288364	0.904103	37.6899	29.7504	0.000100906	-1.564360e+02	-4.901351e+03	-5.057787e+03
90152	0.288364	0.904103	37.5649	30.0209	0.000100906	-1.565710e+02	-4.900858e+03	-5.057429e+03
90153	0.288364	0.904103	37.5649	34.5849	0.000100906	-1.588170e+02	-4.898687e+03	-5.057504e+03
90154	0.312635	0.904103	37.5649	34.5849	0.00010916	-1.587757e+02	-4.895862e+03	-5.054638e+03
90155	0.306897	0.89745	36.8267	34.5849	0.00010916	-1.566708e+02	-4.897499e+03	-5.054169e+03
90156	0.298847	0.89745	36.0653	34.5849	0.000133039	-1.568638e+02	-4.898425e+03	-5.055289e+03
90157	0.298847	0.89745	36.0653	39.914	0.000157422	-1.605408e+02	-4.896580e+03	-5.057121e+03
90158	0.302847	0.89745	37.4739	39.914	0.000157422	-1.602068e+02	-4.895982e+03	-5.056189e+03
90159	0.302847	0.89745	37.9303	39.914	0.000157422	-1.601050e+02	-4.896970e+03	-5.057075e+03
90160	0.295688	0.944793	37.6744	34.8438	0.000157422	-1.732787e+02	-4.882857e+03	-5.056135e+03
90161	0.295688	0.944793	37.4835	34.8438	0.000406966	-1.733215e+02	-4.885282e+03	-5.058603e+03
90162	0.295688	0.944793	37.4835	34.8438	0.000178446	-1.733215e+02	-4.883573e+03	-5.056895e+03
90163	0.299281	0.944793	38.7698	34.8438	0.000178446	-1.730340e+02	-4.881577e+03	-5.054611e+03
90164	0.299281	0.944793	38.7698	34.8438	0.000178446	-1.730340e+02	-4.881577e+03	-5.054611e+03
90165	0.299281	0.944793	38.7698	34.8438	0.000231132	-1.730340e+02	-4.882000e+03	-5.055034e+03
90166	0.299281	0.944793	38.7698	34.8438	9.57862e-05	-1.730340e+02	-4.881003e+03	-5.054037e+03
90167	0.299281	0.944793	38.7698	34.8438	2.00475e-05	-1.730340e+02	-4.880482e+03	-5.053516e+03
90168	0.299281	0.944793	38.7698	34.8438	4.18577e-05	-1.730340e+02	-4.880647e+03	-5.053681e+03
90169	0.299281	0.948266	38.9292	31.1656	0.000154504	-1.723420e+02	-4.882174e+03	-5.054516e+03
90170	0.299281	0.948266	38.9292	31.1656	0.000154504	-1.723420e+02	-4.882174e+03	-5.054516e+03
90171	0.299281	0.948266	39.7877	37.9419	0.000145025	-1.761097e+02	-4.879960e+03	-5.056070e+03
90172	0.299281	0.948266	39.7877	37.9419	3.12891e-06	-1.761097e+02	-4.879006e+03	-5.055116e+03
90173	0.299281	0.938991	39.7076	37.9419	3.12891e-06	-1.727848e+02	-4.882894e+03	-5.055679e+03
90174	0.299281	0.938991	39.6153	36.3477	3.12891e-06	-1.717103e+02	-4.883207e+03	-5.054918e+03
90175	0.317186	0.938991	39.6153	36.3477	3.12891e-06	-1.716800e+02	-4.884365e+03	-5.056045e+03
90176	0.317186	0.938991	39.9056	40.5398	3.12891e-06	-1.747139e+02	-4.883071e+03	-5.057784e+03
90177	0.317186	0.938991	39.4133	40.5398	4.72277e-06	-1.748140e+02	-4.882576e+03	-5.057390e+03
90178	0.317186	0.938991	39.3246	39.2147	2.15891e-05	-1.737788e+02	-4.883171e+03	-5.056950e+03
90179	0.310718	0.938991	39.6747	28.9511	0.000122826	-1.679363e+02	-4.887999e+03	-5.055935e+03
90180	0.310718	0.938991	39.6692	37.5632	0.000165493	-1.725042e+02	-4.883737e+03	-5.056241e+03
90181	0.310718	0.938991	39.8081	31.6797	0.000165493	-1.690351e+02	-4.886807e+03	-5.055842e+03
90182	0.310718	0.938991	39.4367	31.6797	0.000165493	-1.691107e+02	-4.886254e+03	-5.055364e+03
90183	0.310718	0.938991	39.2071	31.6797	5.17409e-05	-1.691582e+02	-4.885200e+03	-5.054358e+03
90184	0.310718	0.935037	38.5837	31.6797	5.17409e-05	-1.678758e+02	-4.886498e+03	-5.054374e+03
90185	0.310718	0.931244	38.5837	31.6797	5.17409e-05	-1.665254e+02	-4.887654e+03	-5.054179e+03
90186	0.294769	0.931244	38.7918	31.6797	9.59376e-05	-1.665081e+02	-4.888282e+03	-5.054790e+03
90187	0.294769	0.931244	38.6218	31.6797	0.000120532	-1.665443e+02	-4.888170e+03	-5.054714e+03
90188	0.294769	0.931244	38.6218	31.0256	0.000120532	-1.662473e+02	-4.888466e+03	-5.054713e+03
90189	0.294769	0.931244	38.6218	35.6134	0.000120532	-1.686916e+02	-4.886308e+03	-5.054999e+03
90190	0.294769	0.952345	37.9229	35.6134	0.000120532	-1.764296e+02	-4.879928e+03	-5.056357e+03
90191	0.294769	0.952345	37.9229	35.6134	8.25783e-05	-1.764296e+02	-4.879647e+03	-5.056076e+03
90192	0.294769	0.952345	36.6613	33.7096	8.25783e-05	-1.755996e+02	-4.885897e+03	-5.061497e+03
90193	0.294769	0.952345	37.5601	31.1125	8.25783e-05	-1.741045e+02	-4.882877e+03	-5.056981e+03
90194	0.294769	0.956602	38.1879	31.1125	0.000102685	-1.755175e+02	-4.880364e+03	-5.055882e+03
90195	0.294769	0.959335	38.1879	31.1125	0.000102685	-1.765177e+02	-4.879722e+03	-5.056240e+03
90196	0.294769	0.959335	38.1879	31.1125	0.000608938	-1.765176e+02	-4.883577e+03	-5.060095e+03
90197	0.294769	0.959335	39.932	35.5283	0.000611939	-1.785052e+02	-4.880621e+03	-5.059126e+03
90198	0.294769	0.959335	39.932	33.2026	0.000300427	-1.771688e+02	-4.879515e+03	-5.056684e+03
90199	0.294769	0.959335	39.932	33.2026	0.000289777	-1.771688e+02	-4.879421e+03	-5.056590e+03
90200	0.294769	0.973775	39.1929	31.827	0.000289777	-1.819658e+02	-4.875361e+03	-5.057327e+03
90201	0.294769	0.973775	39.1929	31.4721	6.03686e-05	-1.818005e+02	-4.873828e+03	-5.055628e+03
90202	0.294769	0.973775	39.798	31.4721	6.03686e-05	-1.816764e+02	-4.873396e+03	-5.055073e+03
90203	0.294769	0.973775	39.798	31.4721	6.03686e-05	-1.816764e+02	-4.873396e+03	-5.055073e+03
90204	0.294769	0.98036	39.798	31.4721	6.03686e-05	-1.841369e+02	-4.871460e+03	-5.055596e+03
90205	0.294769	0.98036	40.0347	31.4721	6.03686e-05	-1.840893e+02	-4.871389e+03	-5.055478e+03
90206	0.294769	0.981868	39.9893	34.6994	0.000142663	-1.863533e+02	-4.869938e+03	-5.056291e+03
90207	0.294769	0.981868	39.9893	35.3512	0.000142663	-1.867450e+02	-4.869629e+03	-5.056374e+03
90208	0.294769	0.987877	39.9893	36.8665	0.000142663	-1.899855e+02	-4.867334e+03	-5.057319e+03
90209	0.294769	0.987877	39.9893	36.8665	0.000142663	-1.899855e+02	-4.867334e+03	-5.057319e+03
90210	0.294769	0.987877	39.9893	28.0292	0.000142663	-1.855853e+02	-4.871945e+03	-5.057530e+03
90211	0.294769	0.97364	39.9893	28.0292	0.000142663	-1.802449e+02	-4.876213e+03	-5.056458e+03
90212	0.294769	0.97364	39.9893	28.0292	0.000103035	-1.802450e+02	-4.875918e+03	-5.056163e+03
90213	0.294769	0.97364	39.9893	28.0292	0.000135478	-1.802449e+02	-4.876192e+03	-5.056437e+03
90214	0.308296	0.97364	39.9893	28.0292	0.000135478	-1.802220e+02	-4.877188e+03	-5.057410e+03
90215	0.303809	0.935428	40.3914	28.0292	0.000135478	-1.662174e+02	-4.892398e+03	-5.058616e+03
90216	0.303809	0.935428	40.3914	28.0292	0.000135478	-1.662174e+02	-4.892398e+03	-5.058616e+03
90217	0.303809	0.935428	40.3914	39.8551	0.000135478	-1.728125e+02	-4.886597e+03	-5.059409e+03
90218	0.303809	0.936069	40.3914	39.8551	0.000135478	-1.730413e+02	-4.886271e+03	-5.059312e+03
90219	0.303809	0.936069	39.9747	33.4023	0.00019606	-1.688318e+02	-4.887687e+03	-5.056519e+03
90220	0.303809	0.936069	39.3556	36.3372	0.00019606	-1.707033e+02	-4.884731e+03	-5.055434e+03
90221	0.303809	0.936069	39.3325	36.3372	7.88046e-05	-1.707081e+02	-4.883875e+03	-5.054583e+03
90222	0.303809	0.936069	39.3325	36.3372	0.000106903	-1.707081e+02	-4.884075e+03	-5.054783e+03
90223	0.303809	0.936069	39.3325	35.1564	0.000133007	-1.699643e+02	-4.884761e+03	-5.054725e+03
90224	0.303523	0.936069	39.6126	35.1564	3.56972e-05	-1.699073e+02	-4.884750e+03	-5.054658e+03
90225	0.307008	0.95526	39.6126	35.1564	8.22443e-05	-1.768308e+02	-4.877912e+03	-5.054743e+03
90226	0.307008	0.95526	39.238	35.1564	8.22443e-05	-1.769079e+02	-4.877925e+03	-5.054833e+03
90227	0.307008	0.95526	39.8525	33.9589	8.22443e-05	-1.760849e+02	-4.878576e+03	-5.054661e+03
90228	0.30753	0.95526	39.8225	35.2953	8.22443e-05	-1.768720e+02	-4.878001e+03	-5.054873e+03
90229	0.30753	0.95526	39.3317	35.2953	8.22443e-05	-1.769722e+02	-4.877995e+03	-5.054967e+03
90230	0.303525	0.953844	39.3317	35.2953	8.22443e-05	-1.764625e+02	-4.877858e+03	-5.054320e+03
90231	0.303525	0.953844	39.481	35.2953	9.24109e-05	-1.764318e+02	-4.878022e+03	-5.054453e+03
90232	0.303525	0.953844	39.481	30.8013	9.24109e-05	-1.740862e+02	-4.880277e+03	-5.054363e+03
90233	0.303525	0.953844	39.438	30.8013	9.24109e-05	-1.740951e+02	-4.880297e+03	-5.054392e+03
90234	0.298831	0.953844	39.438	30.8013	0.000210942	-1.741030e+02	-4.881081e+03	-5.055184e+03
90235	0.298831	0.953844	39.438	30.8013	0.000210942	-1.741030e+02	-4.881081e+03	-5.055184e+03
90236	0.298831	0.953844	39.3509	30.8013	0.000210942	-1.741210e+02	-4.881020e+03	-5.055141e+03
90237	0.298831	0.953844	39.3509	30.8013	0.000141992	-1.741210e+02	-4.880571e+03	-5.054692e+03
90238	0.298831	0.947011	37.7581	30.8013	0.000141992	-1.719825e+02	-4.884160e+03	-5.056143e+03
90239	0.298831	0.947011	37.7581	30.8013	1.90655e-05	-1.719825e+02	-4.883307e+03	-5.055290e+03
90240	0.297781	0.93643	37.7581	30.8013	1.90655e-05	-1.681805e+02	-4.885802e+03	-5.053983e+03
90241	0.297781	0.93643	36.7617	30.8013	3.82072e-05	-1.684071e+02	-4.888825e+03	-5.057232e+03
90242	0.297781	0.93643	37.5053	30.8013	3.82072e-05	-1.682370e+02	-4.886438e+03	-5.054675e+03
90243	0.297781	0.93643	37.5053	28.4519	3.82072e-05	-1.673324e+02	-4.887877e+03	-5.055209e+03
90244	0.291532	0.93643	37.5053	25.2335	3.82072e-05	-1.664621e+02	-4.890675e+03	-5.057137e+03
