"","mean","sd","X2.5.","X97.5.","Rhat"
"Krestbody_plasma.1.",0.375786807838432,0.0136462190762755,0.349516525,0.403359,1.0012915271793
"VmaxC.1.",0.782641731203759,0.0279592994690383,0.7291216,0.838296,1.01801576130996
"Km.1.",8.28775784293141,0.372894658593389,7.56757,9.0208,1.01546113743606
"QurineC.1.",3.09113289392122,0.258864685201172,2.65155,3.65926,1.00256339244788
"Tmc.1.",0.948730653869226,0.0369115635052609,0.876874,1.021735,1.00499043922123
"Kt.1.",0.00177057162207558,0.00113933603790802,0.000725868,0.0049658,1.00455303574778
