iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
0	1.83448	7.26176	2.04275	5.572	0.438597	0.432154	9.17434	2.15117	8.49913	0.810608	0.659288	6.31495	2.03427	5.26574	0.184289	-1.752996e+01	-4.806968e+03	-4.824498e+03
290001	1.47181	4.4476	0.545482	4.78465	0.873119	0.48056	0.00660992	0.00413994	0.127104	2.09256	0.00212075	3.82032	3.66381	9.64237	0.249331	-2.914473e+01	-3.896536e+03	-3.925681e+03
290002	1.46354	4.4476	0.545482	3.76316	0.873119	0.48056	0.00660992	0.00413994	0.127104	2.09256	0.0137252	6.25521	4.02597	10.4719	0.249331	-3.018416e+01	-3.897092e+03	-3.927276e+03
290003	1.00669	4.16957	0.713876	3.53545	0.873119	0.488144	0.0117373	0.00413994	0.132048	1.98485	0.0137252	4.98265	3.24548	10.4719	0.230915	-2.932312e+01	-3.897564e+03	-3.926887e+03
290004	1.23663	2.05841	1.81614	2.60332	0.873119	0.488144	0.0117373	0.0137231	0.132048	1.98485	0.0137252	4.98265	2.86102	10.4719	0.230915	-2.862945e+01	-3.897987e+03	-3.926616e+03
290005	1.60218	1.09327	1.81614	2.12878	0.873119	0.488144	0.0117373	0.0137231	0.132048	1.98485	0.0137252	3.28225	0.877626	10.4719	0.230915	-2.737025e+01	-3.898956e+03	-3.926327e+03
290006	1.37056	1.09327	1.81614	1.30061	0.873119	0.488144	0.00862381	0.0137231	0.132048	1.98485	0.0137252	3.50014	1.37251	10.4719	0.230915	-2.797305e+01	-3.898264e+03	-3.926237e+03
290007	1.41056	0.0751472	1.98948	0.885249	0.873119	0.477423	0.00862381	0.0230919	0.132048	2.32762	0.00828112	1.15323	1.75578	10.4719	0.188704	-2.882453e+01	-3.898837e+03	-3.927662e+03
290008	1.45817	1.5416	1.9921	2.57912	0.873119	0.477423	0.00862381	0.0118323	0.132048	2.26391	0.00828112	1.68814	0.517098	9.75786	0.0667958	-2.849534e+01	-3.898532e+03	-3.927027e+03
290009	1.77003	0.807824	1.84128	3.3103	0.909972	0.477423	0.00862381	0.0118323	0.132048	2.26391	0.00828112	1.68814	0.809771	9.41355	0.0667958	-2.736047e+01	-3.898971e+03	-3.926331e+03
290010	1.89677	0.807824	0.910814	2.94691	0.739752	0.482979	0.00378844	0.0118323	0.172592	2.26391	0.00828112	2.21084	0.467106	8.2194	0.154941	-2.639517e+01	-3.897126e+03	-3.923522e+03
290011	1.50522	0.807824	1.83777	1.69739	0.784151	0.482979	0.00378844	0.0118323	0.0610902	2.26391	0.00828112	2.21084	1.6068	9.11175	0.154941	-2.765216e+01	-3.898114e+03	-3.925766e+03
290012	1.63388	1.8172	2.9703	0.77138	0.784151	0.482979	0.00378844	0.0118323	0.0610902	2.04284	0.00828112	2.65288	1.23056	5.42511	0.154941	-2.538265e+01	-3.899037e+03	-3.924420e+03
290013	1.50541	1.34864	2.24547	0.542138	0.777192	0.468638	0.00258987	0.0118323	0.0610902	2.04284	0.00828112	0.985769	0.577711	3.89962	0.154941	-2.402596e+01	-3.899166e+03	-3.923192e+03
290014	1.50541	0.0283249	2.24547	0.163059	1.20274	0.468638	0.0138911	0.0118323	0.0362338	2.04284	0.00828112	0.985769	3.27967	0.571651	0.154941	-2.214717e+01	-3.900752e+03	-3.922899e+03
290015	1.36847	0.0283249	1.62351	0.312942	1.26563	0.468638	0.00492968	0.0118323	0.0362338	2.04284	0.00828112	1.13091	3.74868	0.389539	0.31059	-2.169841e+01	-3.899108e+03	-3.920807e+03
290016	1.47937	0.917051	1.49539	0.312942	1.26563	0.468638	0.00492968	0.0164382	0.0362338	2.04284	0.00828112	2.53562	2.8575	0.389539	0.31059	-2.229439e+01	-3.898450e+03	-3.920744e+03
290017	1.51472	0.917051	1.49539	0.965249	1.26563	0.468638	0.00658292	0.0164382	0.310254	2.04284	0.00828112	2.63577	2.8575	1.3879	0.33729	-2.254135e+01	-3.899025e+03	-3.921566e+03
290018	1.83299	0.917051	4.25151	0.965249	1.26563	0.468638	0.00658292	0.0316114	0.239742	2.09727	0.00828112	1.30665	3.12055	1.3879	0.234976	-2.396300e+01	-3.899627e+03	-3.923590e+03
290019	1.5644	1.53641	1.91618	0.633601	0.205711	0.514789	0.00658292	0.0316114	0.239742	2.09727	0.00828112	1.36217	2.04283	1.3879	0.234976	-2.554479e+01	-3.901242e+03	-3.926787e+03
290020	1.55324	1.53641	0.618133	0.524656	0.123964	0.514789	0.00511016	0.0316114	0.239742	2.09727	0.00361748	0.853731	2.04283	1.38385	0.234976	-2.556566e+01	-3.901921e+03	-3.927487e+03
290021	1.46074	1.7218	0.0417047	0.524656	0.880011	0.514789	0.0125999	0.0316114	0.290406	2.09727	0.00361748	0.447975	1.72431	1.38385	0.234976	-2.258548e+01	-3.899763e+03	-3.922349e+03
290022	1.55198	1.7218	0.0402592	0.524656	1.05976	0.514789	0.0131134	0.0316114	0.290406	2.09727	0.00361748	1.49692	1.72431	1.38385	0.234976	-2.218785e+01	-3.898788e+03	-3.920976e+03
290023	1.55198	0.00256959	0.0402592	0.0882354	1.05976	0.514789	0.0131134	0.00651326	0.290406	2.09727	0.00361748	2.21724	1.25289	0.190064	0.26312	-2.105607e+01	-3.898494e+03	-3.919550e+03
290024	1.64663	0.569759	0.0402592	0.0882354	1.05976	0.514789	0.00830495	0.00651326	0.290406	2.09727	0.00361748	2.94755	0.978842	0.190064	0.26312	-2.152464e+01	-3.898928e+03	-3.920452e+03
290025	1.31605	1.81022	0.0402592	0.0882354	1.05976	0.514789	0.0126758	0.00450285	0.188135	2.00993	0.00361748	5.14654	2.62438	0.190064	0.26312	-2.331654e+01	-3.896949e+03	-3.920266e+03
290026	1.39447	1.81022	0.182301	2.15822	1.05976	0.532448	0.0150845	0.00450285	0.0673351	2.00993	0.00361748	5.38192	2.36487	3.46782	0.26312	-2.449932e+01	-3.897996e+03	-3.922495e+03
290027	1.68564	1.81022	0.182301	2.15822	0.995826	0.532448	0.0150845	0.00450285	0.0673351	2.00993	0.00361748	4.68464	2.36487	5.29581	0.26312	-2.424045e+01	-3.898011e+03	-3.922251e+03
290028	1.76252	1.6315	1.90821	2.6144	1.76248	0.532448	0.0150845	0.00450285	0.18704	2.00993	0.0189868	6.69033	2.36487	5.87288	0.26312	-2.916919e+01	-3.897886e+03	-3.927055e+03
290029	1.44437	1.6315	0.543339	4.27162	1.76248	0.532448	0.0150845	0.00450285	0.18704	2.00993	0.0154143	6.01698	2.0158	1.22364	0.26312	-2.879170e+01	-3.897853e+03	-3.926645e+03
290030	0.949953	1.6315	1.27512	4.27162	1.8624	0.532448	0.0121324	0.00450285	0.132978	2.00993	0.0154143	6.04693	4.84897	1.22364	0.348928	-3.053872e+01	-3.899654e+03	-3.930193e+03
290031	1.37771	5.65544	1.27512	4.13675	1.2143	0.519805	0.0121324	0.00450285	0.132978	2.02335	0.0154143	6.32888	3.49908	5.53544	0.293788	-2.852321e+01	-3.898006e+03	-3.926529e+03
290032	1.69337	5.65544	0.812597	4.20804	1.2143	0.519805	0.0121324	0.00450285	0.559226	2.02335	0.0154143	7.28955	3.49908	5.53544	0.293788	-2.837476e+01	-3.899956e+03	-3.928330e+03
290033	1.80958	5.65544	0.812597	2.75303	1.2143	0.519805	0.00776916	0.00450285	0.222982	2.02335	0.0154143	5.98709	2.65761	2.825	0.293788	-2.711992e+01	-3.898974e+03	-3.926094e+03
290034	1.69491	3.72455	0.812597	4.53849	1.2143	0.476749	0.00776916	0.00450285	0.222982	2.02335	0.0154143	5.98709	2.65761	2.825	0.293788	-2.678306e+01	-3.897409e+03	-3.924192e+03
290035	1.52557	0.863055	0.812597	4.20414	1.21825	0.476749	0.00776916	0.00450285	0.222982	2.02335	0.0267813	3.17851	2.13743	2.30149	0.237314	-2.438438e+01	-3.898455e+03	-3.922840e+03
290036	1.85575	0.863055	1.84296	0.878448	1.21825	0.469265	0.00776916	0.00450285	0.168915	2.02335	0.028624	3.17851	3.83311	0.580441	0.336111	-2.275996e+01	-3.899196e+03	-3.921956e+03
290037	1.64686	1.30674	1.4125	0.878448	1.21825	0.469265	0.00776916	0.0149762	0.168915	2.02335	0.028624	3.76331	4.912	0.479608	0.336111	-2.344348e+01	-3.899650e+03	-3.923094e+03
290038	1.51029	1.30674	1.4125	0.997181	1.21825	0.469265	0.00728212	0.0149762	0.288016	2.02335	0.028624	3.76331	4.84992	0.639877	0.435633	-2.317849e+01	-3.900644e+03	-3.923822e+03
290039	1.36214	0.304928	0.608458	1.27675	1.21825	0.469265	0.00169849	0.0149762	0.288016	2.06726	0.0608123	3.76331	4.50299	0.639877	0.435633	-2.316013e+01	-3.901838e+03	-3.924998e+03
