iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
90047	0.445762	8.39523	0.0712236	1.40145	0.477767	6.08382	14.2736	-8.371035e+01	-3.672015e+02	-4.509118e+02
90048	0.445762	8.39523	0.0684187	1.45484	0.485778	6.10667	16.7438	-8.626238e+01	-3.654792e+02	-4.517416e+02
90049	0.445762	8.39523	0.0684187	1.45484	0.49523	6.22822	17.386	-8.819875e+01	-3.641870e+02	-4.523858e+02
90050	0.445762	8.39523	0.0528306	1.45484	0.490717	6.22822	9.87867	-8.675766e+01	-3.653685e+02	-4.521262e+02
90051	0.445762	8.40588	0.0528306	1.45484	0.491282	6.25382	9.87867	-8.691321e+01	-3.652437e+02	-4.521569e+02
90052	0.429668	8.40588	0.0528306	1.45484	0.491282	6.25382	11.8231	-8.736766e+01	-3.625796e+02	-4.499473e+02
90053	0.429668	8.40588	0.0528306	1.40518	0.491282	6.25382	11.8231	-8.737199e+01	-3.626843e+02	-4.500563e+02
90054	0.429668	8.40588	0.0528306	1.40518	0.491282	6.25382	11.8231	-8.737199e+01	-3.626843e+02	-4.500563e+02
90055	0.429668	8.40588	0.0528306	1.43611	0.491282	6.27796	11.8231	-8.735632e+01	-3.624482e+02	-4.498045e+02
90056	0.429668	8.40588	0.0528306	1.43611	0.492125	6.27796	11.8231	-8.750771e+01	-3.622414e+02	-4.497491e+02
90057	0.430818	8.40588	0.0528306	1.43611	0.500619	6.15426	15.679	-9.046427e+01	-3.594336e+02	-4.498979e+02
90058	0.430818	8.40588	0.0528306	1.43611	0.473548	6.00883	15.679	-8.573397e+01	-3.637888e+02	-4.495228e+02
90059	0.418533	8.40588	0.0528306	1.43611	0.473548	6.00883	15.4938	-8.565524e+01	-3.638103e+02	-4.494655e+02
90060	0.418533	8.40588	0.0479162	1.43611	0.4741	6.00883	15.4938	-8.701491e+01	-3.635769e+02	-4.505918e+02
90061	0.432905	8.40588	0.0478818	1.43221	0.47975	6.00883	15.4938	-8.800674e+01	-3.621131e+02	-4.501198e+02
90062	0.414022	8.40588	0.0478818	1.46626	0.476718	6.00883	15.4938	-8.747537e+01	-3.634264e+02	-4.509018e+02
90063	0.414022	8.40588	0.0478818	1.4632	0.48823	5.83837	15.4938	-8.959149e+01	-3.626704e+02	-4.522619e+02
90064	0.411212	9.04816	0.0664502	1.4632	0.47443	5.83837	15.4938	-8.837523e+01	-3.623693e+02	-4.507446e+02
90065	0.411212	8.72904	0.0664502	1.4632	0.47443	5.83837	15.4938	-8.617690e+01	-3.632582e+02	-4.494351e+02
90066	0.411212	8.74197	0.0664502	1.42817	0.47443	5.83837	15.4938	-8.626703e+01	-3.632689e+02	-4.495359e+02
90067	0.411212	8.51069	0.0509909	1.42817	0.468919	5.83837	15.4938	-8.605786e+01	-3.637581e+02	-4.498160e+02
90068	0.411212	8.51069	0.0509909	1.42817	0.468919	5.83837	15.4938	-8.605786e+01	-3.637581e+02	-4.498160e+02
90069	0.411212	8.45935	0.0509909	1.42817	0.48059	5.83837	18.4491	-8.915576e+01	-3.611553e+02	-4.503111e+02
90070	0.411212	8.45935	0.0509909	1.44255	0.48059	5.94077	18.4491	-8.909910e+01	-3.614316e+02	-4.505307e+02
90071	0.411212	8.45935	0.0509909	1.44255	0.486863	5.94077	18.4491	-9.020496e+01	-3.604873e+02	-4.506923e+02
90072	0.411212	8.39155	0.0560777	1.43192	0.485831	5.91097	18.4491	-8.854599e+01	-3.619982e+02	-4.505442e+02
90073	0.411212	8.39155	0.0560777	1.43192	0.485899	5.99273	11.8583	-8.583712e+01	-3.633190e+02	-4.491561e+02
90074	0.411212	8.29295	0.0560777	1.43192	0.485899	6.10889	15.8279	-8.655323e+01	-3.631016e+02	-4.496548e+02
90075	0.419517	8.37923	0.0560777	1.43192	0.485899	6.10889	15.8279	-8.710007e+01	-3.618040e+02	-4.489041e+02
90076	0.419517	8.37923	0.0560777	1.43554	0.485899	5.97627	15.8279	-8.717131e+01	-3.619874e+02	-4.491587e+02
90077	0.419517	8.37923	0.0560777	1.36787	0.488821	5.97627	15.8279	-8.769653e+01	-3.615563e+02	-4.492529e+02
90078	0.419517	8.15347	0.0560777	1.42416	0.48192	5.97627	15.8279	-8.505579e+01	-3.650201e+02	-4.500759e+02
90079	0.419517	8.15347	0.0560777	1.35206	0.48192	6.33647	8.86703	-8.282238e+01	-3.694370e+02	-4.522593e+02
90080	0.419517	8.01685	0.0560777	1.35206	0.48192	6.33647	11.1496	-8.244829e+01	-3.682986e+02	-4.507469e+02
90081	0.419517	8.01685	0.0560777	1.3838	0.48192	6.31293	11.1496	-8.245815e+01	-3.677581e+02	-4.502163e+02
90082	0.419517	7.97338	0.0560777	1.3838	0.48192	6.02499	11.1496	-8.235253e+01	-3.674658e+02	-4.498183e+02
90083	0.419517	8.33451	0.0560777	1.3838	0.48192	5.92945	11.0201	-8.459502e+01	-3.633892e+02	-4.479843e+02
90084	0.419517	8.33451	0.0560777	1.3838	0.48192	5.90762	11.0201	-8.460683e+01	-3.633703e+02	-4.479771e+02
90085	0.419517	8.33451	0.0560777	1.4058	0.4851	5.90762	11.0201	-8.516528e+01	-3.635206e+02	-4.486859e+02
90086	0.419517	8.33451	0.0560777	1.41293	0.495054	5.90762	17.8922	-8.954411e+01	-3.614318e+02	-4.509759e+02
90087	0.419517	8.33451	0.0560777	1.41293	0.495054	5.90762	13.0001	-8.749995e+01	-3.627688e+02	-4.502688e+02
90088	0.419517	8.33451	0.0558697	1.3199	0.495054	6.01598	8.45296	-8.644418e+01	-3.636677e+02	-4.501119e+02
90089	0.419517	8.33451	0.0558697	1.3199	0.508887	6.06867	8.45296	-8.895517e+01	-3.615392e+02	-4.504944e+02
90090	0.419517	8.33451	0.061931	1.3199	0.508887	5.80603	8.45296	-8.824735e+01	-3.657328e+02	-4.539802e+02
90091	0.419517	8.33451	0.061931	1.3199	0.505615	5.80603	8.45296	-8.763973e+01	-3.654320e+02	-4.530718e+02
90092	0.419517	8.33451	0.061931	1.3199	0.495733	5.85393	8.45296	-8.580476e+01	-3.647441e+02	-4.505489e+02
90093	0.419517	8.33451	0.061931	1.3199	0.495733	5.72954	8.45296	-8.587219e+01	-3.660028e+02	-4.518750e+02
90094	0.419517	8.33451	0.0514048	1.3199	0.478692	5.81541	16.8703	-8.714770e+01	-3.661548e+02	-4.533025e+02
90095	0.419517	8.33451	0.0603043	1.45775	0.478692	5.81541	16.8703	-8.555428e+01	-3.665320e+02	-4.520863e+02
90096	0.419517	8.61136	0.0603043	1.44334	0.486147	5.81541	16.8703	-8.865794e+01	-3.613928e+02	-4.500508e+02
90097	0.419517	8.61136	0.0603043	1.42129	0.486147	5.81541	16.8703	-8.865987e+01	-3.610196e+02	-4.496795e+02
90098	0.419517	8.75892	0.0603043	1.46642	0.486147	5.81541	16.8703	-8.964240e+01	-3.605468e+02	-4.501892e+02
90099	0.419517	8.75892	0.0603043	1.41209	0.478858	5.81541	16.8703	-8.836567e+01	-3.622786e+02	-4.506443e+02
90100	0.419517	8.75892	0.0603043	1.41209	0.478858	5.66985	16.8703	-8.844465e+01	-3.620730e+02	-4.505176e+02
90101	0.422324	8.74587	0.0603043	1.41209	0.478858	5.66985	16.8703	-8.835660e+01	-3.621493e+02	-4.505059e+02
90102	0.422324	8.55233	0.0495796	1.41209	0.478858	5.92256	16.8703	-8.897867e+01	-3.619383e+02	-4.509170e+02
90103	0.422324	8.55233	0.0495796	1.44244	0.478858	5.92256	12.1892	-8.719163e+01	-3.617204e+02	-4.489121e+02
90104	0.422324	8.84354	0.0495796	1.44244	0.475839	5.88254	12.5579	-8.874799e+01	-3.623840e+02	-4.511320e+02
90105	0.408283	8.84354	0.0495796	1.44326	0.497641	5.88254	12.5579	-9.261745e+01	-3.575352e+02	-4.501527e+02
90106	0.408283	8.84354	0.0711382	1.42301	0.465641	5.88254	12.5579	-8.412977e+01	-3.671302e+02	-4.512600e+02
90107	0.388395	8.97369	0.0711382	1.42301	0.465641	5.88254	12.5579	-8.502896e+01	-3.696094e+02	-4.546383e+02
90108	0.388395	8.27756	0.0711382	1.35529	0.465641	5.88254	12.7167	-8.047113e+01	-3.711408e+02	-4.516119e+02
90109	0.403883	8.27756	0.0653546	1.35109	0.465641	5.88254	12.7167	-8.079428e+01	-3.688189e+02	-4.496132e+02
90110	0.403883	8.27756	0.0653546	1.35109	0.478784	5.88254	12.7167	-8.305073e+01	-3.655735e+02	-4.486242e+02
90111	0.401166	8.27756	0.0653546	1.35109	0.474182	6.07995	12.7167	-8.214623e+01	-3.682475e+02	-4.503937e+02
90112	0.401166	8.11134	0.0653546	1.35109	0.474182	5.80279	12.7167	-8.126639e+01	-3.681001e+02	-4.493665e+02
90113	0.401166	8.11134	0.0653546	1.30704	0.474182	5.63104	12.7167	-8.136347e+01	-3.683488e+02	-4.497123e+02
90114	0.401166	8.11134	0.0653546	1.28397	0.469991	5.63104	6.83353	-7.952241e+01	-3.717937e+02	-4.513161e+02
90115	0.401166	8.11134	0.0653546	1.28397	0.469991	5.63104	6.83353	-7.952241e+01	-3.717937e+02	-4.513161e+02
90116	0.401166	8.2235	0.0653546	1.28397	0.488596	6.21401	6.83353	-8.314583e+01	-3.695929e+02	-4.527387e+02
90117	0.401166	8.2235	0.0875781	1.28397	0.482285	6.21401	9.92838	-8.224842e+01	-3.719350e+02	-4.541834e+02
90118	0.401166	8.2235	0.0875781	1.28397	0.482285	6.21401	9.92838	-8.224842e+01	-3.719350e+02	-4.541834e+02
90119	0.385755	8.2235	0.0875781	1.28397	0.482285	6.21401	9.92838	-8.224852e+01	-3.729715e+02	-4.552200e+02
90120	0.385755	8.36161	0.0875781	1.28094	0.487245	6.10139	9.35054	-8.394764e+01	-3.715100e+02	-4.554576e+02
90121	0.385755	8.36161	0.0875781	1.31174	0.497889	6.19439	9.35054	-8.580900e+01	-3.684218e+02	-4.542308e+02
90122	0.382095	8.36161	0.0875781	1.29683	0.497889	6.19439	9.35054	-8.581037e+01	-3.690728e+02	-4.548832e+02
90123	0.400913	8.36161	0.0875781	1.32345	0.492855	6.19439	9.35054	-8.489703e+01	-3.679716e+02	-4.528687e+02
90124	0.400913	8.36161	0.0797496	1.29071	0.494195	5.99027	9.75327	-8.510807e+01	-3.674574e+02	-4.525655e+02
90125	0.400913	8.25044	0.0594018	1.29071	0.494767	5.99027	7.91259	-8.526638e+01	-3.647813e+02	-4.500477e+02
90126	0.400913	8.22341	0.0594018	1.29071	0.499425	5.99027	7.91259	-8.594380e+01	-3.639869e+02	-4.499307e+02
90127	0.400913	8.20859	0.0517724	1.30947	0.499425	6.21921	7.91259	-8.710457e+01	-3.638538e+02	-4.509583e+02
90128	0.400913	8.18343	0.0517724	1.30086	0.499425	6.35703	12.227	-8.775036e+01	-3.666162e+02	-4.543666e+02
90129	0.402185	8.18343	0.0517724	1.30086	0.499425	6.09113	12.227	-8.789335e+01	-3.626947e+02	-4.505880e+02
90130	0.419376	8.18343	0.0517724	1.30086	0.502809	5.72366	12.227	-8.871240e+01	-3.626775e+02	-4.513899e+02
90131	0.391797	8.18343	0.0403084	1.31263	0.491979	5.72366	12.227	-9.071162e+01	-3.625263e+02	-4.532379e+02
90132	0.391797	8.18343	0.0403084	1.31263	0.491979	5.46017	12.227	-9.085498e+01	-3.643169e+02	-4.551718e+02
90133	0.391423	8.18343	0.0403084	1.31263	0.461736	5.46017	9.9922	-8.506030e+01	-3.684040e+02	-4.534643e+02
90134	0.432103	8.01149	0.0403084	1.31985	0.460935	5.46017	9.9922	-8.387783e+01	-3.668758e+02	-4.507537e+02
90135	0.432103	7.71847	0.0403084	1.31985	0.460935	5.57126	9.9922	-8.209872e+01	-3.691403e+02	-4.512390e+02
90136	0.432103	7.71847	0.0476099	1.30162	0.460935	5.57126	14.339	-8.049658e+01	-3.681329e+02	-4.486295e+02
90137	0.432103	7.70065	0.0476099	1.28615	0.460935	5.57126	14.6618	-8.051885e+01	-3.682604e+02	-4.487793e+02
90138	0.432103	7.70065	0.0476099	1.27785	0.470725	5.58231	14.6618	-8.216931e+01	-3.668544e+02	-4.490237e+02
90139	0.432103	7.86329	0.0504167	1.27978	0.482288	5.78901	11.1105	-8.309443e+01	-3.659125e+02	-4.490069e+02
90140	0.420144	7.43494	0.0504167	1.27978	0.477114	5.78901	11.1105	-7.977047e+01	-3.707414e+02	-4.505119e+02
90141	0.420144	7.71135	0.0504167	1.27978	0.477546	5.78901	11.1105	-8.138594e+01	-3.667838e+02	-4.481697e+02
90142	0.420144	7.71135	0.0504167	1.26129	0.477546	5.78901	11.1105	-8.138756e+01	-3.668920e+02	-4.482795e+02
90143	0.420144	7.71135	0.0448241	1.26129	0.477546	5.78901	11.1105	-8.311102e+01	-3.663699e+02	-4.494809e+02
90144	0.420144	7.71135	0.0510438	1.25812	0.477982	5.78901	14.4113	-8.233142e+01	-3.663945e+02	-4.487259e+02
90145	0.420144	7.71135	0.0510438	1.25812	0.477982	5.78901	10.8351	-8.124094e+01	-3.670400e+02	-4.482810e+02
90146	0.420144	7.71135	0.0510438	1.25812	0.465895	5.78901	14.5435	-8.030761e+01	-3.697954e+02	-4.501030e+02
90147	0.431816	7.72542	0.0626626	1.25812	0.465895	5.65811	14.5435	-7.852495e+01	-3.703716e+02	-4.488966e+02
90148	0.431816	7.72542	0.0573903	1.25812	0.466792	5.53225	14.5435	-7.941941e+01	-3.695334e+02	-4.489529e+02
90149	0.39668	7.72542	0.0539516	1.25812	0.466792	5.47198	12.8417	-7.947311e+01	-3.707429e+02	-4.502160e+02
90150	0.39668	7.78385	0.0508873	1.25812	0.466792	5.51933	12.8417	-8.046944e+01	-3.695468e+02	-4.500162e+02
90151	0.39668	7.78385	0.0508873	1.25812	0.468185	5.51933	12.8417	-8.070601e+01	-3.693195e+02	-4.500256e+02
90152	0.39668	7.78385	0.0508873	1.25812	0.466676	5.51933	12.8417	-8.044978e+01	-3.695596e+02	-4.500094e+02
90153	0.39668	7.78385	0.0508873	1.25812	0.466676	5.65133	12.8417	-8.037795e+01	-3.698954e+02	-4.502734e+02
90154	0.39668	7.78385	0.0508873	1.25812	0.466676	5.43492	11.4068	-8.008688e+01	-3.700978e+02	-4.501847e+02
90155	0.39668	7.78385	0.0508873	1.23592	0.466151	5.45427	11.4068	-7.998940e+01	-3.703013e+02	-4.502907e+02
90156	0.43459	7.78385	0.0508873	1.23592	0.475719	5.45427	11.4068	-8.162775e+01	-3.692297e+02	-4.508575e+02
90157	0.430731	7.78385	0.0645341	1.23592	0.488886	5.45427	11.4068	-8.179446e+01	-3.742129e+02	-4.560074e+02
90158	0.430731	7.72647	0.0645341	1.21524	0.481821	5.45427	11.4068	-8.021598e+01	-3.734906e+02	-4.537066e+02
90159	0.430731	7.72647	0.0645341	1.21524	0.478117	5.49244	12.1104	-7.973801e+01	-3.725298e+02	-4.522678e+02
90160	0.430731	7.72647	0.0641931	1.21524	0.478117	5.54356	12.1104	-7.973953e+01	-3.718613e+02	-4.516009e+02
90161	0.430731	7.79821	0.0641931	1.21524	0.478117	5.54356	12.1104	-8.015291e+01	-3.718744e+02	-4.520273e+02
