iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
0	0.345218	0.0855397	0.0501616	0.0302475	2.82038	6.290069e+00	-3.789791e+02	-3.726890e+02
90001	0.682641	0.0842397	0.0636651	0.0244529	2.45581	8.433605e+00	-1.729030e+02	-1.644694e+02
90002	0.704503	0.0842397	0.0537234	0.00579123	4.70969	5.511855e+00	-1.723517e+02	-1.668398e+02
90003	0.715833	0.0842397	0.0537234	0.00579123	4.70969	5.387036e+00	-1.728168e+02	-1.674297e+02
90004	0.677921	0.0842397	0.0537234	0.00579123	4.73954	5.672965e+00	-1.726109e+02	-1.669380e+02
90005	0.704212	0.0842397	0.0537234	0.0116377	3.23441	8.434527e+00	-1.724371e+02	-1.640026e+02
90006	0.702157	0.0842397	0.0516545	0.0589227	2.95188	8.707303e+00	-1.734314e+02	-1.647241e+02
90007	0.702157	0.0842397	0.0516545	0.0843989	2.95188	8.501659e+00	-1.740775e+02	-1.655758e+02
90008	0.702157	0.0906186	0.0443443	0.0843989	2.6704	8.747719e+00	-1.743546e+02	-1.656068e+02
90009	0.728503	0.0906186	0.0443443	0.0843989	2.40912	8.584903e+00	-1.736684e+02	-1.650835e+02
90010	0.728503	0.0906186	0.0443443	0.057501	0.780123	8.138676e+00	-1.725588e+02	-1.644201e+02
90011	0.714748	0.098552	0.0328419	0.057501	1.14643	7.009898e+00	-1.730797e+02	-1.660698e+02
90012	0.71476	0.0821849	0.0328419	0.0207991	2.60725	7.359790e+00	-1.732814e+02	-1.659216e+02
90013	0.71476	0.0821849	0.0418949	0.0336495	1.64922	8.611671e+00	-1.732676e+02	-1.646559e+02
90014	0.695905	0.0937287	0.0453984	0.0336495	0.962027	8.791572e+00	-1.730422e+02	-1.642506e+02
90015	0.695905	0.0937287	0.0453984	0.0336495	1.06981	8.897635e+00	-1.730682e+02	-1.641706e+02
90016	0.695905	0.0890598	0.0560718	0.0442356	1.47966	9.150190e+00	-1.730108e+02	-1.638606e+02
90017	0.715967	0.0890598	0.0560718	0.0735495	1.47966	8.759520e+00	-1.731304e+02	-1.643709e+02
90018	0.715967	0.0938302	0.0560718	0.0358868	0.920475	8.447590e+00	-1.721889e+02	-1.637413e+02
90019	0.715967	0.0938302	0.0560718	0.0358868	1.84792	9.018713e+00	-1.724015e+02	-1.633828e+02
90020	0.715967	0.0938302	0.0560718	0.0358868	1.45137	8.879780e+00	-1.723219e+02	-1.634422e+02
90021	0.715967	0.0938302	0.0560718	0.0281539	0.788947	8.311476e+00	-1.720243e+02	-1.637128e+02
