iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
0	0.607705	0.111055	0.0422136	0.12621	2.22525	6.550677e+00	-2.090876e+02	-2.025369e+02
90001	0.688103	0.0734716	0.0505689	0.0279419	2.31267	8.170622e+00	-1.735088e+02	-1.653382e+02
90002	0.688103	0.0771311	0.0505689	0.0279419	1.00266	8.260049e+00	-1.728280e+02	-1.645680e+02
90003	0.678265	0.0937508	0.0505689	0.0279419	0.695451	8.746009e+00	-1.744162e+02	-1.656702e+02
90004	0.678265	0.0879808	0.0505689	0.019739	2.58813	9.478863e+00	-1.733783e+02	-1.638995e+02
90005	0.678265	0.0701137	0.042667	0.019739	1.22243	7.125324e+00	-1.734232e+02	-1.662979e+02
90006	0.678265	0.0816366	0.042667	0.019739	2.18878	9.037402e+00	-1.728060e+02	-1.637686e+02
90007	0.678265	0.0816366	0.0471219	0.00234961	2.18878	9.240515e+00	-1.723718e+02	-1.631312e+02
90008	0.675733	0.0816366	0.0471219	0.00234961	2.18878	9.260011e+00	-1.724467e+02	-1.631867e+02
90009	0.675733	0.0816366	0.0418079	0.00234961	2.18878	8.965877e+00	-1.724470e+02	-1.634812e+02
90010	0.675733	0.0809006	0.0322646	0.0330412	2.2927	7.650485e+00	-1.732386e+02	-1.655882e+02
90011	0.679507	0.0831357	0.0676536	0.0121995	1.58961	7.781212e+00	-1.725879e+02	-1.648067e+02
90012	0.700747	0.0831357	0.0676536	0.0121995	1.95532	7.672994e+00	-1.724243e+02	-1.647514e+02
90013	0.661877	0.0773987	0.0676536	0.0243264	1.8392	7.422047e+00	-1.733552e+02	-1.659332e+02
90014	0.661877	0.0773987	0.0541996	0.0243264	1.94354	8.903454e+00	-1.733704e+02	-1.644670e+02
90015	0.661877	0.0773987	0.0228186	0.0254395	1.94354	5.296653e+00	-1.734088e+02	-1.681122e+02
90016	0.661877	0.0751365	0.0564164	0.000882629	2.22032	8.425362e+00	-1.726738e+02	-1.642484e+02
90017	0.677015	0.0746637	0.0639275	0.000882629	2.36362	7.442974e+00	-1.726334e+02	-1.651904e+02
90018	0.677015	0.0746637	0.0479307	0.000882629	1.3678	8.257708e+00	-1.726264e+02	-1.643687e+02
90019	0.677015	0.0699881	0.0479307	0.0275777	1.3678	7.455405e+00	-1.734566e+02	-1.660012e+02
90020	0.676415	0.0765773	0.0480379	0.0275777	2.90669	8.352500e+00	-1.730604e+02	-1.647079e+02
90021	0.664442	0.0765773	0.0480379	0.0283598	2.90669	8.435852e+00	-1.733895e+02	-1.649537e+02
90022	0.664442	0.0765773	0.049614	0.0283598	1.88837	8.859173e+00	-1.732845e+02	-1.644253e+02
90023	0.67672	0.085442	0.049614	0.0250804	0.625243	8.634182e+00	-1.730958e+02	-1.644617e+02
90024	0.712183	0.085442	0.049614	0.0250804	0.625243	8.299227e+00	-1.724171e+02	-1.641179e+02
90025	0.688173	0.085442	0.049614	0.0250804	0.625243	8.539759e+00	-1.725080e+02	-1.639683e+02
90026	0.71923	0.085442	0.049614	0.00432861	0.117133	7.372906e+00	-1.726478e+02	-1.652749e+02
90027	0.712552	0.0983134	0.0521931	0.0961594	2.77768	8.221549e+00	-1.750730e+02	-1.668514e+02
90028	0.754141	0.0983134	0.0580266	0.051403	2.89771	7.644451e+00	-1.730366e+02	-1.653922e+02
90029	0.754141	0.110739	0.0518706	0.0460309	2.96032	6.109990e+00	-1.722623e+02	-1.661523e+02
90030	0.751759	0.110739	0.0518706	0.00944485	2.96032	6.190661e+00	-1.711987e+02	-1.650081e+02
90031	0.751759	0.107817	0.0585928	0.0325433	3.30234	6.011844e+00	-1.719250e+02	-1.659131e+02
90032	0.734835	0.104508	0.0585928	0.0325433	2.84725	7.278211e+00	-1.721887e+02	-1.649104e+02
90033	0.734835	0.103876	0.0585928	0.00743056	0.894611	7.115869e+00	-1.713538e+02	-1.642379e+02
