"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Conditions"	"Chemicals"	"Times"	"variables"	"Dose_condition"
1.555165	0.8626822	2.4343315	1.5697946995	"Simu1"	200	"1.NormalGFR"	"NFT"	3.1	"cplasma"	"200_1.NormalGFR"
1.506865	0.82563485	2.382618	1.524379643	"Simu1"	200	"1.NormalGFR"	"NFT"	3.2	"cplasma"	"200_1.NormalGFR"
1.45946	0.785419275	2.33623825	1.478867164	"Simu1"	200	"1.NormalGFR"	"NFT"	3.3	"cplasma"	"200_1.NormalGFR"
1.411	0.748957075	2.28688925	1.433408101	"Simu1"	200	"1.NormalGFR"	"NFT"	3.4	"cplasma"	"200_1.NormalGFR"
1.36204	0.71434205	2.2243215	1.388137138	"Simu1"	200	"1.NormalGFR"	"NFT"	3.5	"cplasma"	"200_1.NormalGFR"
1.317205	0.6802673	2.174002	1.343174162	"Simu1"	200	"1.NormalGFR"	"NFT"	3.6	"cplasma"	"200_1.NormalGFR"
1.270925	0.64791905	2.11767075	1.2986253585	"Simu1"	200	"1.NormalGFR"	"NFT"	3.7	"cplasma"	"200_1.NormalGFR"
1.223075	0.6194798	2.06995825	1.2545840795	"Simu1"	200	"1.NormalGFR"	"NFT"	3.8	"cplasma"	"200_1.NormalGFR"
1.17843	0.584639625	2.025581	1.2111327505	"Simu1"	200	"1.NormalGFR"	"NFT"	3.9	"cplasma"	"200_1.NormalGFR"
1.134665	0.550799825	1.9820395	1.168343023	"Simu1"	200	"1.NormalGFR"	"NFT"	4	"cplasma"	"200_1.NormalGFR"
1.09082	0.517809825	1.929032	1.1262770125	"Simu1"	200	"1.NormalGFR"	"NFT"	4.1	"cplasma"	"200_1.NormalGFR"
1.04894	0.48720625	1.86672575	1.0849882935	"Simu1"	200	"1.NormalGFR"	"NFT"	4.2	"cplasma"	"200_1.NormalGFR"
1.009765	0.460272025	1.813129	1.0445224985	"Simu1"	200	"1.NormalGFR"	"NFT"	4.3	"cplasma"	"200_1.NormalGFR"
0.9684765	0.434747025	1.755568	1.004917903	"Simu1"	200	"1.NormalGFR"	"NFT"	4.4	"cplasma"	"200_1.NormalGFR"
0.9277715	0.410374375	1.71205375	0.9662065585	"Simu1"	200	"1.NormalGFR"	"NFT"	4.5	"cplasma"	"200_1.NormalGFR"
0.8879635	0.3846368	1.66540275	0.928414418	"Simu1"	200	"1.NormalGFR"	"NFT"	4.6	"cplasma"	"200_1.NormalGFR"
0.850874	0.3622257	1.6204465	0.8915621225	"Simu1"	200	"1.NormalGFR"	"NFT"	4.7	"cplasma"	"200_1.NormalGFR"
0.815841	0.3406025	1.57234625	0.8556657325	"Simu1"	200	"1.NormalGFR"	"NFT"	4.8	"cplasma"	"200_1.NormalGFR"
0.7811135	0.31854035	1.52084025	0.820736674	"Simu1"	200	"1.NormalGFR"	"NFT"	4.9	"cplasma"	"200_1.NormalGFR"
0.7464575	0.296051825	1.47448825	0.7867827135	"Simu1"	200	"1.NormalGFR"	"NFT"	5	"cplasma"	"200_1.NormalGFR"
0.711977	0.277286125	1.4329815	0.753808109	"Simu1"	200	"1.NormalGFR"	"NFT"	5.1	"cplasma"	"200_1.NormalGFR"
0.676781	0.2597871	1.39131225	0.721813903	"Simu1"	200	"1.NormalGFR"	"NFT"	5.2	"cplasma"	"200_1.NormalGFR"
0.64711	0.243425075	1.3508305	0.690798458	"Simu1"	200	"1.NormalGFR"	"NFT"	5.3	"cplasma"	"200_1.NormalGFR"
0.6163945	0.2277534	1.3092175	0.6607577605	"Simu1"	200	"1.NormalGFR"	"NFT"	5.4	"cplasma"	"200_1.NormalGFR"
0.5866555	0.212975725	1.2678435	0.6316853275	"Simu1"	200	"1.NormalGFR"	"NFT"	5.5	"cplasma"	"200_1.NormalGFR"
0.5593175	0.199653025	1.23081775	0.60357296085	"Simu1"	200	"1.NormalGFR"	"NFT"	5.6	"cplasma"	"200_1.NormalGFR"
0.533124	0.1867272	1.18709625	0.57641066965	"Simu1"	200	"1.NormalGFR"	"NFT"	5.7	"cplasma"	"200_1.NormalGFR"
0.5059265	0.174585025	1.14478125	0.5501868615	"Simu1"	200	"1.NormalGFR"	"NFT"	5.8	"cplasma"	"200_1.NormalGFR"
0.4806485	0.1624569	1.1096335	0.5248887148	"Simu1"	200	"1.NormalGFR"	"NFT"	5.9	"cplasma"	"200_1.NormalGFR"
0.457042	0.150786075	1.07366875	0.500502123	"Simu1"	200	"1.NormalGFR"	"NFT"	6	"cplasma"	"200_1.NormalGFR"
0.4335685	0.14112535	1.03912125	0.47701194505	"Simu1"	200	"1.NormalGFR"	"NFT"	6.1	"cplasma"	"200_1.NormalGFR"
0.412232	0.13084895	1.0020525	0.454402119	"Simu1"	200	"1.NormalGFR"	"NFT"	6.2	"cplasma"	"200_1.NormalGFR"
0.390958	0.12131185	0.965844399999999	0.43265577545	"Simu1"	200	"1.NormalGFR"	"NFT"	6.3	"cplasma"	"200_1.NormalGFR"
0.3692725	0.11225275	0.930488574999998	0.41175529565	"Simu1"	200	"1.NormalGFR"	"NFT"	6.4	"cplasma"	"200_1.NormalGFR"
0.34863	0.10388815	0.897025299999999	0.3916824563	"Simu1"	200	"1.NormalGFR"	"NFT"	6.5	"cplasma"	"200_1.NormalGFR"
0.3301925	0.0958824175	0.864370324999999	0.37241846915	"Simu1"	200	"1.NormalGFR"	"NFT"	6.6	"cplasma"	"200_1.NormalGFR"
0.312918	0.0885793975	0.832694	0.35394407505	"Simu1"	200	"1.NormalGFR"	"NFT"	6.7	"cplasma"	"200_1.NormalGFR"
0.2961035	0.081884315	0.8014173	0.33623962245	"Simu1"	200	"1.NormalGFR"	"NFT"	6.8	"cplasma"	"200_1.NormalGFR"
0.279687	0.07585763	0.772715925	0.3192850408	"Simu1"	200	"1.NormalGFR"	"NFT"	6.9	"cplasma"	"200_1.NormalGFR"
0.2633125	0.070284415	0.74191455	0.30306002635	"Simu1"	200	"1.NormalGFR"	"NFT"	7	"cplasma"	"200_1.NormalGFR"
0.24855	0.0650038675	0.7159362	0.2875440297	"Simu1"	200	"1.NormalGFR"	"NFT"	7.1	"cplasma"	"200_1.NormalGFR"
0.234555	0.060567235	0.686700575	0.2727163168	"Simu1"	200	"1.NormalGFR"	"NFT"	7.2	"cplasma"	"200_1.NormalGFR"
0.220732	0.056151815	0.658706125	0.2585560285	"Simu1"	200	"1.NormalGFR"	"NFT"	7.3	"cplasma"	"200_1.NormalGFR"
0.2079135	0.0522339	0.6323889	0.2450422332	"Simu1"	200	"1.NormalGFR"	"NFT"	7.4	"cplasma"	"200_1.NormalGFR"
0.195935	0.04861011	0.6081783	0.23215395445	"Simu1"	200	"1.NormalGFR"	"NFT"	7.5	"cplasma"	"200_1.NormalGFR"
0.185359	0.0452536575	0.58308655	0.2198702583	"Simu1"	200	"1.NormalGFR"	"NFT"	7.6	"cplasma"	"200_1.NormalGFR"
0.174112	0.0421516175	0.558737399999999	0.2081702858	"Simu1"	200	"1.NormalGFR"	"NFT"	7.7	"cplasma"	"200_1.NormalGFR"
0.16375	0.03930768	0.535168974999999	0.1970332435	"Simu1"	200	"1.NormalGFR"	"NFT"	7.8	"cplasma"	"200_1.NormalGFR"
0.1542705	0.03659508	0.512621074999999	0.1864385851	"Simu1"	200	"1.NormalGFR"	"NFT"	7.9	"cplasma"	"200_1.NormalGFR"
0.145245	0.03412559	0.490872174999999	0.17636591415	"Simu1"	200	"1.NormalGFR"	"NFT"	8	"cplasma"	"200_1.NormalGFR"
0.1361235	0.0318324825	0.469818225	0.16679505605	"Simu1"	200	"1.NormalGFR"	"NFT"	8.1	"cplasma"	"200_1.NormalGFR"
0.127744	0.0296578275	0.449450275	0.15770616465	"Simu1"	200	"1.NormalGFR"	"NFT"	8.2	"cplasma"	"200_1.NormalGFR"
0.12002	0.0276116175	0.429771675	0.14907970495	"Simu1"	200	"1.NormalGFR"	"NFT"	8.3	"cplasma"	"200_1.NormalGFR"
0.1125975	0.025715165	0.4103326	0.140896473355	"Simu1"	200	"1.NormalGFR"	"NFT"	8.4	"cplasma"	"200_1.NormalGFR"
0.105642	0.0239558225	0.390979475	0.13313766304	"Simu1"	200	"1.NormalGFR"	"NFT"	8.5	"cplasma"	"200_1.NormalGFR"
0.0992233	0.022211785	0.373347975	0.12578486413	"Simu1"	200	"1.NormalGFR"	"NFT"	8.6	"cplasma"	"200_1.NormalGFR"
0.09316175	0.0205457025	0.35736855	0.118820135825	"Simu1"	200	"1.NormalGFR"	"NFT"	8.7	"cplasma"	"200_1.NormalGFR"
0.08779605	0.01912053	0.341119175	0.112225950075	"Simu1"	200	"1.NormalGFR"	"NFT"	8.8	"cplasma"	"200_1.NormalGFR"
0.08228335	0.0176733425	0.324522525	0.10598532942	"Simu1"	200	"1.NormalGFR"	"NFT"	8.9	"cplasma"	"200_1.NormalGFR"
0.07746445	0.01647976	0.3085571	0.100081695545	"Simu1"	200	"1.NormalGFR"	"NFT"	9	"cplasma"	"200_1.NormalGFR"
0.0726193	0.0153128225	0.2932314	0.09449902631	"Simu1"	200	"1.NormalGFR"	"NFT"	9.1	"cplasma"	"200_1.NormalGFR"
0.06827595	0.01430181	0.27962765	0.08922182928	"Simu1"	200	"1.NormalGFR"	"NFT"	9.2	"cplasma"	"200_1.NormalGFR"
0.06434325	0.0132745925	0.2671639	0.08423510473	"Simu1"	200	"1.NormalGFR"	"NFT"	9.3	"cplasma"	"200_1.NormalGFR"
0.060241	0.012448315	0.254725925	0.079524411995	"Simu1"	200	"1.NormalGFR"	"NFT"	9.4	"cplasma"	"200_1.NormalGFR"
0.05648345	0.01155772	0.24327385	0.07507583285	"Simu1"	200	"1.NormalGFR"	"NFT"	9.5	"cplasma"	"200_1.NormalGFR"
0.0530011	0.01077926	0.2312418	0.070875975935	"Simu1"	200	"1.NormalGFR"	"NFT"	9.6	"cplasma"	"200_1.NormalGFR"
0.0495642	0.0100554725	0.220164925	0.066911989165	"Simu1"	200	"1.NormalGFR"	"NFT"	9.7	"cplasma"	"200_1.NormalGFR"
0.0465256	0.0094346535	0.209542825	0.063171555055	"Simu1"	200	"1.NormalGFR"	"NFT"	9.8	"cplasma"	"200_1.NormalGFR"
0.043766	0.00884530725	0.1990715	0.059642852575	"Simu1"	200	"1.NormalGFR"	"NFT"	9.9	"cplasma"	"200_1.NormalGFR"
0.0411371	0.00829041925	0.189077125	0.0563145865	"Simu1"	200	"1.NormalGFR"	"NFT"	10	"cplasma"	"200_1.NormalGFR"
0.0387832	0.00774127075	0.179583125	0.05317595003	"Simu1"	200	"1.NormalGFR"	"NFT"	10.1	"cplasma"	"200_1.NormalGFR"
0.03654815	0.00721349275	0.17053775	0.05021665177	"Simu1"	200	"1.NormalGFR"	"NFT"	10.2	"cplasma"	"200_1.NormalGFR"
0.0344901	0.0068316455	0.161907975	0.04742685996	"Simu1"	200	"1.NormalGFR"	"NFT"	10.3	"cplasma"	"200_1.NormalGFR"
0.0324273	0.0064527065	0.1536778	0.044797229185	"Simu1"	200	"1.NormalGFR"	"NFT"	10.4	"cplasma"	"200_1.NormalGFR"
0.03039825	0.00599854875	0.1458332	0.04231886074	"Simu1"	200	"1.NormalGFR"	"NFT"	10.5	"cplasma"	"200_1.NormalGFR"
0.0285633	0.005581357	0.138359175	0.03998329812	"Simu1"	200	"1.NormalGFR"	"NFT"	10.6	"cplasma"	"200_1.NormalGFR"
0.02688245	0.0052239405	0.131597575	0.037782494635	"Simu1"	200	"1.NormalGFR"	"NFT"	10.7	"cplasma"	"200_1.NormalGFR"
0.0253927	0.0049361005	0.125203075	0.03570883155	"Simu1"	200	"1.NormalGFR"	"NFT"	10.8	"cplasma"	"200_1.NormalGFR"
0.0239636	0.004667358	0.119016175	0.033755075595	"Simu1"	200	"1.NormalGFR"	"NFT"	10.9	"cplasma"	"200_1.NormalGFR"
0.02269015	0.00440628975	0.113599175	0.031914378615	"Simu1"	200	"1.NormalGFR"	"NFT"	11	"cplasma"	"200_1.NormalGFR"
0.02142695	0.00413934025	0.107738825	0.03018024344	"Simu1"	200	"1.NormalGFR"	"NFT"	11.1	"cplasma"	"200_1.NormalGFR"
0.02021795	0.0038906215	0.10270015	0.028546538815	"Simu1"	200	"1.NormalGFR"	"NFT"	11.2	"cplasma"	"200_1.NormalGFR"
0.01915875	0.00368182825	0.0978875674999999	0.027007455695	"Simu1"	200	"1.NormalGFR"	"NFT"	11.3	"cplasma"	"200_1.NormalGFR"
0.01814675	0.0034884705	0.0932933249999999	0.025557499115	"Simu1"	200	"1.NormalGFR"	"NFT"	11.4	"cplasma"	"200_1.NormalGFR"
0.01711675	0.00332367875	0.0889080375	0.02419148427	"Simu1"	200	"1.NormalGFR"	"NFT"	11.5	"cplasma"	"200_1.NormalGFR"
0.01613745	0.003178346	0.0847234025	0.022904516995	"Simu1"	200	"1.NormalGFR"	"NFT"	11.6	"cplasma"	"200_1.NormalGFR"
0.0152435	0.003033773	0.0807510025	0.02169197243	"Simu1"	200	"1.NormalGFR"	"NFT"	11.7	"cplasma"	"200_1.NormalGFR"
0.01443885	0.00286545325	0.0769511425	0.020549490835	"Simu1"	200	"1.NormalGFR"	"NFT"	11.8	"cplasma"	"200_1.NormalGFR"
0.01361075	0.00270824575	0.0732442525	0.019472957455	"Simu1"	200	"1.NormalGFR"	"NFT"	11.9	"cplasma"	"200_1.NormalGFR"
0.0128862	0.002580181	0.0697145325	0.0184584951585	"Simu1"	200	"1.NormalGFR"	"NFT"	12	"cplasma"	"200_1.NormalGFR"
0.01221525	0.00246222425	0.0660893	0.017502447089	"Simu1"	200	"1.NormalGFR"	"NFT"	12.1	"cplasma"	"200_1.NormalGFR"
0.01157915	0.002351761	0.0622503599999999	0.016601372145	"Simu1"	200	"1.NormalGFR"	"NFT"	12.2	"cplasma"	"200_1.NormalGFR"
0.01096695	0.0022482815	0.0589428174999998	0.01575202728	"Simu1"	200	"1.NormalGFR"	"NFT"	12.3	"cplasma"	"200_1.NormalGFR"
0.01037675	0.00215131525	0.0562985199999999	0.0149513604375	"Simu1"	200	"1.NormalGFR"	"NFT"	12.4	"cplasma"	"200_1.NormalGFR"
0.00983286	0.00206043225	0.0537785599999999	0.0141964946135	"Simu1"	200	"1.NormalGFR"	"NFT"	12.5	"cplasma"	"200_1.NormalGFR"
0.009370095	0.00197313575	0.0509335224999999	0.013484725561	"Simu1"	200	"1.NormalGFR"	"NFT"	12.6	"cplasma"	"200_1.NormalGFR"
0.008940965	0.001887096	0.0475814849999998	0.0128135087235	"Simu1"	200	"1.NormalGFR"	"NFT"	12.7	"cplasma"	"200_1.NormalGFR"
0.008519455	0.00180636475	0.0451554974999999	0.0121804455865	"Simu1"	200	"1.NormalGFR"	"NFT"	12.8	"cplasma"	"200_1.NormalGFR"
0.00810376	0.001730457	0.0429269224999999	0.0115832867815	"Simu1"	200	"1.NormalGFR"	"NFT"	12.9	"cplasma"	"200_1.NormalGFR"
0.007690765	0.00165904875	0.040809665	0.0110199111935	"Simu1"	200	"1.NormalGFR"	"NFT"	13	"cplasma"	"200_1.NormalGFR"
0.007301165	0.001599801	0.0388126075	0.0104883304065	"Simu1"	200	"1.NormalGFR"	"NFT"	13.1	"cplasma"	"200_1.NormalGFR"
0.00695493	0.00154749375	0.0369228525	0.0099866675085	"Simu1"	200	"1.NormalGFR"	"NFT"	13.2	"cplasma"	"200_1.NormalGFR"
0.006631045	0.00149919775	0.0351246175	0.009513161175	"Simu1"	200	"1.NormalGFR"	"NFT"	13.3	"cplasma"	"200_1.NormalGFR"
0.00631775	0.00145415675	0.0334262125	0.009066156883	"Simu1"	200	"1.NormalGFR"	"NFT"	13.4	"cplasma"	"200_1.NormalGFR"
0.006026325	0.00141072525	0.0318102075	0.0086440971975	"Simu1"	200	"1.NormalGFR"	"NFT"	13.5	"cplasma"	"200_1.NormalGFR"
0.005763545	0.0013651025	0.0302791675	0.00824551807	"Simu1"	200	"1.NormalGFR"	"NFT"	13.6	"cplasma"	"200_1.NormalGFR"
0.005526	0.00132222575	0.028830635	0.0078690449995	"Simu1"	200	"1.NormalGFR"	"NFT"	13.7	"cplasma"	"200_1.NormalGFR"
0.00526592	0.00128359375	0.0274865975	0.0075133830805	"Simu1"	200	"1.NormalGFR"	"NFT"	13.8	"cplasma"	"200_1.NormalGFR"
0.00505407	0.00124751575	0.0261523425	0.0071773184755	"Simu1"	200	"1.NormalGFR"	"NFT"	13.9	"cplasma"	"200_1.NormalGFR"
0.00481655	0.001208948	0.0249175025	0.006859708119	"Simu1"	200	"1.NormalGFR"	"NFT"	14	"cplasma"	"200_1.NormalGFR"
0.004610445	0.0011734885	0.0237426025	0.006559479204	"Simu1"	200	"1.NormalGFR"	"NFT"	14.1	"cplasma"	"200_1.NormalGFR"
0.00440888	0.00113843975	0.022509935	0.006275620064	"Simu1"	200	"1.NormalGFR"	"NFT"	14.2	"cplasma"	"200_1.NormalGFR"
0.00422226	0.00110623175	0.0213368375	0.006007183507	"Simu1"	200	"1.NormalGFR"	"NFT"	14.3	"cplasma"	"200_1.NormalGFR"
0.00404673	0.00107602025	0.02050451	0.005753278182	"Simu1"	200	"1.NormalGFR"	"NFT"	14.4	"cplasma"	"200_1.NormalGFR"
0.00388369	0.00105578525	0.0196396225	0.0055130643775	"Simu1"	200	"1.NormalGFR"	"NFT"	14.5	"cplasma"	"200_1.NormalGFR"
0.003735	0.0010325205	0.0187471875	0.005285752497	"Simu1"	200	"1.NormalGFR"	"NFT"	14.6	"cplasma"	"200_1.NormalGFR"
0.00359654	0.0010087285	0.0179006625	0.005070601629	"Simu1"	200	"1.NormalGFR"	"NFT"	14.7	"cplasma"	"200_1.NormalGFR"
0.00345533	0.00098815495	0.0170943775	0.0048669154505	"Simu1"	200	"1.NormalGFR"	"NFT"	14.8	"cplasma"	"200_1.NormalGFR"
0.00332804	0.00096504785	0.0163279925	0.004674036999	"Simu1"	200	"1.NormalGFR"	"NFT"	14.9	"cplasma"	"200_1.NormalGFR"
0.003211685	0.000951805325	0.0156014175	0.0044913507365	"Simu1"	200	"1.NormalGFR"	"NFT"	15	"cplasma"	"200_1.NormalGFR"
0.003091235	0.000927130875	0.014830175	0.004318275189	"Simu1"	200	"1.NormalGFR"	"NFT"	15.1	"cplasma"	"200_1.NormalGFR"
0.00298004	0.0009070102	0.01422531	0.004154266155	"Simu1"	200	"1.NormalGFR"	"NFT"	15.2	"cplasma"	"200_1.NormalGFR"
0.00287038	0.000887272525	0.0136489025	0.0039988091405	"Simu1"	200	"1.NormalGFR"	"NFT"	15.3	"cplasma"	"200_1.NormalGFR"
0.00276522	0.000865892175	0.01306482	0.0038514208645	"Simu1"	200	"1.NormalGFR"	"NFT"	15.4	"cplasma"	"200_1.NormalGFR"
0.00266609	0.00084561975	0.01250968	0.003711648021	"Simu1"	200	"1.NormalGFR"	"NFT"	15.5	"cplasma"	"200_1.NormalGFR"
0.002580025	0.000826281825	0.01198313	0.003579061749	"Simu1"	200	"1.NormalGFR"	"NFT"	15.6	"cplasma"	"200_1.NormalGFR"
0.00249798	0.0008079836	0.0114017975	0.003453259375	"Simu1"	200	"1.NormalGFR"	"NFT"	15.7	"cplasma"	"200_1.NormalGFR"
0.00241826	0.00079362135	0.01083627	0.0033338624735	"Simu1"	200	"1.NormalGFR"	"NFT"	15.8	"cplasma"	"200_1.NormalGFR"
0.002345405	0.00077712655	0.010402315	0.0032205132035	"Simu1"	200	"1.NormalGFR"	"NFT"	15.9	"cplasma"	"200_1.NormalGFR"
0.00228038	0.000764842525	0.010047575	0.003112876478	"Simu1"	200	"1.NormalGFR"	"NFT"	16	"cplasma"	"200_1.NormalGFR"
0.002213585	0.000748833825	0.00970257475	0.0030106353615	"Simu1"	200	"1.NormalGFR"	"NFT"	16.1	"cplasma"	"200_1.NormalGFR"
0.002146985	0.0007384379	0.009314787	0.0029134914695	"Simu1"	200	"1.NormalGFR"	"NFT"	16.2	"cplasma"	"200_1.NormalGFR"
0.00208443	0.0007264816	0.0089270285	0.0028211643275	"Simu1"	200	"1.NormalGFR"	"NFT"	16.3	"cplasma"	"200_1.NormalGFR"
0.00202565	0.000713957125	0.00854116225	0.0027333894215	"Simu1"	200	"1.NormalGFR"	"NFT"	16.4	"cplasma"	"200_1.NormalGFR"
0.00196733	0.000702045775	0.00819883625	0.002649917467	"Simu1"	200	"1.NormalGFR"	"NFT"	16.5	"cplasma"	"200_1.NormalGFR"
0.00191542	0.0006915165	0.0079197195	0.0025705132845	"Simu1"	200	"1.NormalGFR"	"NFT"	16.6	"cplasma"	"200_1.NormalGFR"
0.001864425	0.000681724125	0.00763041449999999	0.0024949551925	"Simu1"	200	"1.NormalGFR"	"NFT"	16.7	"cplasma"	"200_1.NormalGFR"
0.00182389	0.00066934435	0.00735196975	0.0024230347235	"Simu1"	200	"1.NormalGFR"	"NFT"	16.8	"cplasma"	"200_1.NormalGFR"
0.00177977	0.000658020025	0.00708664775	0.0023545546515	"Simu1"	200	"1.NormalGFR"	"NFT"	16.9	"cplasma"	"200_1.NormalGFR"
0.0017401	0.000647734125	0.0068332255	0.00228932953	"Simu1"	200	"1.NormalGFR"	"NFT"	17	"cplasma"	"200_1.NormalGFR"
0.001701355	0.000638020525	0.00659081274999999	0.0022271839865	"Simu1"	200	"1.NormalGFR"	"NFT"	17.1	"cplasma"	"200_1.NormalGFR"
0.001666985	0.000631415125	0.00635888199999999	0.0021679531495	"Simu1"	200	"1.NormalGFR"	"NFT"	17.2	"cplasma"	"200_1.NormalGFR"
0.001632125	0.00062286935	0.00613696574999999	0.0021114808385	"Simu1"	200	"1.NormalGFR"	"NFT"	17.3	"cplasma"	"200_1.NormalGFR"
0.00159642	0.000615185975	0.00592454949999999	0.002057620259	"Simu1"	200	"1.NormalGFR"	"NFT"	17.4	"cplasma"	"200_1.NormalGFR"
0.00156887	0.000609015375	0.00575957499999999	0.0020062324535	"Simu1"	200	"1.NormalGFR"	"NFT"	17.5	"cplasma"	"200_1.NormalGFR"
0.00153561	0.00060302635	0.005605408	0.001957186968	"Simu1"	200	"1.NormalGFR"	"NFT"	17.6	"cplasma"	"200_1.NormalGFR"
0.00150714	0.000598370025	0.00541429025	0.001910359361	"Simu1"	200	"1.NormalGFR"	"NFT"	17.7	"cplasma"	"200_1.NormalGFR"
0.00147629	0.00059257895	0.00525321175	0.001865633131	"Simu1"	200	"1.NormalGFR"	"NFT"	17.8	"cplasma"	"200_1.NormalGFR"
0.00144815	0.000585809675	0.0050927365	0.0018228981915	"Simu1"	200	"1.NormalGFR"	"NFT"	17.9	"cplasma"	"200_1.NormalGFR"
0.001423895	0.000579476525	0.00493728225	0.001782050016	"Simu1"	200	"1.NormalGFR"	"NFT"	18	"cplasma"	"200_1.NormalGFR"
0.001397555	0.000571463175	0.004787511	0.001742990566	"Simu1"	200	"1.NormalGFR"	"NFT"	18.1	"cplasma"	"200_1.NormalGFR"
0.001372715	0.0005639011	0.0046404905	0.00170562663	"Simu1"	200	"1.NormalGFR"	"NFT"	18.2	"cplasma"	"200_1.NormalGFR"
0.00134752	0.000557762525	0.004499103	0.0016698707045	"Simu1"	200	"1.NormalGFR"	"NFT"	18.3	"cplasma"	"200_1.NormalGFR"
