"median"	"LCL"	"UCL"	"mean"	"Simulations"	"dose_uM"	"Conditions"	"Chemicals"	"Times"	"variables"	"Dose_condition"
0	0	0	0	"Simu1"	200	"1.NormalGFR"	"NFT"	0	"cplasma"	"200_1.NormalGFR"
0.7198395	0.493381925	1.00325625	0.7259592315	"Simu1"	200	"1.NormalGFR"	"NFT"	0.1	"cplasma"	"200_1.NormalGFR"
1.0453	0.708053675	1.497053	1.059939837	"Simu1"	200	"1.NormalGFR"	"NFT"	0.2	"cplasma"	"200_1.NormalGFR"
1.2425	0.8420804	1.76899775	1.257231914	"Simu1"	200	"1.NormalGFR"	"NFT"	0.3	"cplasma"	"200_1.NormalGFR"
1.402795	0.947675725	1.97313325	1.4158806765	"Simu1"	200	"1.NormalGFR"	"NFT"	0.4	"cplasma"	"200_1.NormalGFR"
1.53592	1.044566	2.1525005	1.55067596	"Simu1"	200	"1.NormalGFR"	"NFT"	0.5	"cplasma"	"200_1.NormalGFR"
1.64665	1.121754	2.299769	1.665510627	"Simu1"	200	"1.NormalGFR"	"NFT"	0.6	"cplasma"	"200_1.NormalGFR"
1.744745	1.1855755	2.431026	1.7625194675	"Simu1"	200	"1.NormalGFR"	"NFT"	0.7	"cplasma"	"200_1.NormalGFR"
1.825695	1.24538275	2.55139	1.8434102085	"Simu1"	200	"1.NormalGFR"	"NFT"	0.8	"cplasma"	"200_1.NormalGFR"
1.891275	1.28540075	2.6375585	1.9096979125	"Simu1"	200	"1.NormalGFR"	"NFT"	0.9	"cplasma"	"200_1.NormalGFR"
1.946385	1.320781	2.718623	1.962759703	"Simu1"	200	"1.NormalGFR"	"NFT"	1	"cplasma"	"200_1.NormalGFR"
1.989655	1.35287	2.77728925	2.00385674	"Simu1"	200	"1.NormalGFR"	"NFT"	1.1	"cplasma"	"200_1.NormalGFR"
2.020055	1.36894975	2.83039525	2.034146505	"Simu1"	200	"1.NormalGFR"	"NFT"	1.2	"cplasma"	"200_1.NormalGFR"
2.03909	1.3726465	2.85665125	2.054693345	"Simu1"	200	"1.NormalGFR"	"NFT"	1.3	"cplasma"	"200_1.NormalGFR"
2.051635	1.3793855	2.883622	2.066475205	"Simu1"	200	"1.NormalGFR"	"NFT"	1.4	"cplasma"	"200_1.NormalGFR"
2.05557	1.36769725	2.898544	2.070391184	"Simu1"	200	"1.NormalGFR"	"NFT"	1.5	"cplasma"	"200_1.NormalGFR"
2.053385	1.35263925	2.8986255	2.067269057	"Simu1"	200	"1.NormalGFR"	"NFT"	1.6	"cplasma"	"200_1.NormalGFR"
2.04501	1.34453625	2.88283375	2.0578684325	"Simu1"	200	"1.NormalGFR"	"NFT"	1.7	"cplasma"	"200_1.NormalGFR"
2.026055	1.33047425	2.88780775	2.042887261	"Simu1"	200	"1.NormalGFR"	"NFT"	1.8	"cplasma"	"200_1.NormalGFR"
2.010735	1.30100825	2.8774485	2.022966155	"Simu1"	200	"1.NormalGFR"	"NFT"	1.9	"cplasma"	"200_1.NormalGFR"
1.985515	1.26909525	2.8563705	1.998693239	"Simu1"	200	"1.NormalGFR"	"NFT"	2	"cplasma"	"200_1.NormalGFR"
1.961225	1.24113	2.828866	1.970606429	"Simu1"	200	"1.NormalGFR"	"NFT"	2.1	"cplasma"	"200_1.NormalGFR"
1.92749	1.20839675	2.7959405	1.9391990625	"Simu1"	200	"1.NormalGFR"	"NFT"	2.2	"cplasma"	"200_1.NormalGFR"
1.89558	1.176449	2.7496905	1.9049214875	"Simu1"	200	"1.NormalGFR"	"NFT"	2.3	"cplasma"	"200_1.NormalGFR"
1.85938	1.145909	2.70922425	1.868185427	"Simu1"	200	"1.NormalGFR"	"NFT"	2.4	"cplasma"	"200_1.NormalGFR"
1.823905	1.1057895	2.67372225	1.829365822	"Simu1"	200	"1.NormalGFR"	"NFT"	2.5	"cplasma"	"200_1.NormalGFR"
1.783	1.06526375	2.63726925	1.788805097	"Simu1"	200	"1.NormalGFR"	"NFT"	2.6	"cplasma"	"200_1.NormalGFR"
1.73783	1.02416825	2.6111235	1.7468134125	"Simu1"	200	"1.NormalGFR"	"NFT"	2.7	"cplasma"	"200_1.NormalGFR"
1.69426	0.98229325	2.56931075	1.7036730475	"Simu1"	200	"1.NormalGFR"	"NFT"	2.8	"cplasma"	"200_1.NormalGFR"
1.648365	0.942904975	2.5246965	1.6596393685	"Simu1"	200	"1.NormalGFR"	"NFT"	2.9	"cplasma"	"200_1.NormalGFR"
1.601265	0.900588325	2.4845535	1.6149438325	"Simu1"	200	"1.NormalGFR"	"NFT"	3	"cplasma"	"200_1.NormalGFR"
