iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
0	1.49452	9.32584	6.7061	6.79009	0.984709	0.494412	9.22323	4.59318	9.31233	0.273345	0.192795	9.94657	5.22481	6.67577	0.747418	-2.014846e+01	-4.893504e+03	-4.913653e+03
290001	1.84971	1.90244	0.823694	2.66092	0.937665	0.467467	0.00433449	0.00769701	0.343816	2.01404	0.415529	3.77259	0.0765062	4.0764	0.224722	-2.133857e+01	-3.902794e+03	-3.924132e+03
290002	1.84792	1.38405	0.823694	2.66092	1.16548	0.472829	0.00433449	0.00769701	0.343816	2.01404	0.338722	3.0707	0.0765062	2.21871	0.224722	-2.122659e+01	-3.903861e+03	-3.925088e+03
290003	1.96094	1.38405	0.239893	2.66092	1.16548	0.477517	0.00433449	0.00769701	0.343816	2.17028	0.303688	3.0707	0.0765062	2.21871	0.224722	-2.157015e+01	-3.903520e+03	-3.925090e+03
290004	1.81907	1.38405	0.239893	2.66092	1.16548	0.477517	0.00433449	0.00769701	0.579534	2.11723	0.336356	4.68463	0.0765062	2.46704	0.224722	-2.223725e+01	-3.904381e+03	-3.926618e+03
290005	1.86874	0.106928	0.239893	3.08864	1.16548	0.478398	0.00108507	0.00901217	0.383959	2.11723	0.362302	4.7702	0.0765062	1.27601	0.224722	-2.282885e+01	-3.902454e+03	-3.925282e+03
290006	1.9775	0.0228219	0.239893	3.08864	1.23947	0.478398	0.00108507	0.00901217	0.435745	2.11723	0.378867	4.7702	0.0765062	1.48033	0.224722	-2.265711e+01	-3.902185e+03	-3.924842e+03
290007	1.9775	1.62197	0.239893	2.49876	1.23947	0.478398	0.00108507	0.00933129	0.286092	2.11723	0.356153	5.14229	0.0765062	1.48033	0.224722	-2.243539e+01	-3.902853e+03	-3.925288e+03
290008	1.99734	0.204553	0.239893	3.61496	1.23947	0.436239	0.00108507	0.00933129	0.286092	2.11723	0.394219	4.62332	0.0765062	4.562	0.224722	-2.278114e+01	-3.902299e+03	-3.925080e+03
290009	1.99734	0.339398	0.239893	5.47773	1.23947	0.436239	0.00108507	0.00933129	0.286092	2.11723	0.366382	4.60606	0.128901	4.562	0.224722	-2.395242e+01	-3.902868e+03	-3.926820e+03
290010	1.96409	2.00719	0.239893	5.47773	1.52151	0.446411	0.00108507	0.00933129	0.328449	2.11723	0.318258	3.87642	0.128901	4.562	0.224722	-2.437657e+01	-3.903098e+03	-3.927475e+03
290011	1.96409	2.00719	0.239893	4.81036	0.720564	0.446411	0.00108507	0.00933129	0.183431	2.11723	0.320677	5.81208	0.128901	1.65317	0.224722	-2.558616e+01	-3.901913e+03	-3.927499e+03
290012	1.8536	1.64753	0.239893	3.51587	0.631726	0.446411	0.00461337	0.0104127	0.183431	2.11723	0.350464	3.71412	0.128901	3.30189	0.224722	-2.294517e+01	-3.903870e+03	-3.926815e+03
290013	1.96537	3.57134	0.115341	3.12141	0.631726	0.453875	0.00461337	0.0566541	0.183431	2.11723	0.350464	3.71412	0.0681237	4.86794	0.224722	-2.379606e+01	-3.905846e+03	-3.929642e+03
290014	1.9433	3.36957	0.24643	3.12141	0.631726	0.432255	0.00461337	0.00633058	0.069691	2.11723	0.332454	3.71412	0.0681237	4.86794	0.224722	-2.398774e+01	-3.903749e+03	-3.927737e+03
290015	1.69612	3.36957	0.24643	2.76897	0.631726	0.459406	0.00461337	0.00633058	0.069691	2.11723	0.328548	4.05335	0.0681237	4.86794	0.224722	-2.405081e+01	-3.902192e+03	-3.926243e+03
290016	1.69612	3.36957	0.24643	3.05106	0.631726	0.459406	0.0138126	0.0218768	0.069691	2.11723	0.401032	4.95699	0.0681237	7.06357	0.224722	-2.470817e+01	-3.904927e+03	-3.929636e+03
290017	1.9221	2.73247	0.24643	2.39409	0.631726	0.484167	0.0138126	0.0218768	0.119806	2.11723	0.43009	3.23642	0.0681237	7.06357	0.224722	-2.319586e+01	-3.903898e+03	-3.927093e+03
290018	1.9221	3.02136	0.24643	2.21878	0.631726	0.484167	0.0138126	0.0378585	0.119806	2.11723	0.480456	3.16697	0.0681237	7.06357	0.224722	-2.312735e+01	-3.904388e+03	-3.927515e+03
