iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
0	0.263121	0.0188889	426.373	10.0759	27.1868	0.107376	-6.687688e+00	-6.142108e+04	-6.142777e+04
90001	0.382437	0.813385	8.70558	2.82776	0.94684	0.00175284	-1.921141e+02	-1.071378e+03	-1.263492e+03
90002	0.347495	0.813385	8.70558	2.82776	0.951215	0.00175284	-1.921679e+02	-1.071626e+03	-1.263794e+03
90003	0.347495	0.813385	8.94546	2.82776	0.960715	0.00175284	-1.921489e+02	-1.072883e+03	-1.265032e+03
90004	0.347495	0.822523	8.94546	2.82776	0.960715	0.00175284	-1.949815e+02	-1.069167e+03	-1.264148e+03
90005	0.349227	0.822523	8.67876	2.82776	0.982539	0.00175284	-1.949752e+02	-1.067953e+03	-1.262928e+03
90006	0.358706	0.822523	8.67876	2.81598	1.02039	0.00141409	-1.952676e+02	-1.068128e+03	-1.263395e+03
90007	0.358706	0.822523	8.2369	2.95312	1.02039	0.00141409	-1.952502e+02	-1.068940e+03	-1.264190e+03
90008	0.358706	0.822523	8.2369	2.95312	1.02039	0.00141409	-1.952502e+02	-1.068940e+03	-1.264190e+03
90009	0.358706	0.793893	8.2369	2.95312	0.988876	0.00141409	-1.865110e+02	-1.074988e+03	-1.261499e+03
90010	0.386565	0.793893	8.2369	2.95312	0.988876	0.00141409	-1.864657e+02	-1.076125e+03	-1.262591e+03
90011	0.372647	0.793893	8.32512	2.95312	0.984499	0.00141409	-1.864872e+02	-1.074541e+03	-1.261028e+03
90012	0.379374	0.799488	8.32512	2.95312	0.984108	0.00124869	-1.883265e+02	-1.073046e+03	-1.261372e+03
90013	0.382789	0.799488	8.32512	3.00042	0.959864	0.00124869	-1.883261e+02	-1.073088e+03	-1.261415e+03
90014	0.367173	0.799488	8.32512	3.00042	0.959864	0.00124869	-1.883515e+02	-1.072494e+03	-1.260845e+03
90015	0.367173	0.799488	8.47345	3.00042	0.959864	0.00124869	-1.883442e+02	-1.072247e+03	-1.260591e+03
90016	0.367173	0.799488	8.47345	3.00042	0.959864	0.00124869	-1.883442e+02	-1.072247e+03	-1.260591e+03
90017	0.367173	0.799488	8.47345	3.17271	0.959864	0.00124869	-1.882966e+02	-1.073184e+03	-1.261481e+03
90018	0.367173	0.799488	8.47345	3.17271	0.959864	0.00124869	-1.882966e+02	-1.073184e+03	-1.261481e+03
90019	0.367173	0.799488	8.47345	3.17271	0.928766	0.00124869	-1.883203e+02	-1.073174e+03	-1.261494e+03
90020	0.367173	0.799488	8.47345	3.17271	0.928766	0.00124869	-1.883203e+02	-1.073174e+03	-1.261494e+03
90021	0.391863	0.799488	8.47345	3.18817	0.928766	0.00124869	-1.882761e+02	-1.073654e+03	-1.261930e+03
90022	0.375438	0.803424	8.47345	3.18817	0.954155	0.00124869	-1.894774e+02	-1.071560e+03	-1.261037e+03
90023	0.369449	0.803424	8.47345	3.18817	0.954155	0.00189938	-1.888467e+02	-1.072974e+03	-1.261820e+03
90024	0.369449	0.803424	8.68442	3.18817	0.954155	0.00189938	-1.888363e+02	-1.074078e+03	-1.262915e+03
