iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	0.548335	14.2111	52.2136	1.40075	-1.121674e+01	-1.164568e+04	-1.165690e+04
90001	0.257896	3.42296	134.647	29.1944	-5.340162e+01	-4.640907e+03	-4.694309e+03
90002	0.257896	3.42296	134.647	29.1944	-5.340162e+01	-4.640907e+03	-4.694309e+03
90003	0.257896	3.42296	134.647	29.1944	-5.340162e+01	-4.640907e+03	-4.694309e+03
90004	0.257896	3.42296	134.647	29.1944	-5.340162e+01	-4.640907e+03	-4.694309e+03
90005	0.257896	3.42296	132.549	29.1944	-5.185764e+01	-4.642582e+03	-4.694439e+03
90006	0.257896	3.42296	134.59	30.4358	-5.459168e+01	-4.640246e+03	-4.694838e+03
90007	0.254533	3.40472	134.59	26.7544	-5.114712e+01	-4.642747e+03	-4.693894e+03
90008	0.26701	3.40472	134.59	25.8249	-5.035588e+01	-4.645197e+03	-4.695553e+03
90009	0.26701	3.48076	134.59	25.8249	-5.023122e+01	-4.646124e+03	-4.696356e+03
90010	0.26701	3.48076	136.655	25.8249	-5.179249e+01	-4.643804e+03	-4.695596e+03
90011	0.26701	3.48076	136.655	25.8249	-5.179249e+01	-4.643804e+03	-4.695596e+03
90012	0.26701	3.48076	136.655	25.8249	-5.179249e+01	-4.643804e+03	-4.695596e+03
90013	0.26701	3.48076	136.655	25.8249	-5.179249e+01	-4.643804e+03	-4.695596e+03
90014	0.26701	3.45729	136.655	25.8249	-5.183082e+01	-4.643727e+03	-4.695558e+03
90015	0.26701	3.46448	136.655	25.8249	-5.181907e+01	-4.643738e+03	-4.695557e+03
90016	0.270863	3.46448	137.66	28.3951	-5.486777e+01	-4.642503e+03	-4.697371e+03
90017	0.270863	3.46693	135.038	29.4762	-5.389696e+01	-4.644224e+03	-4.698121e+03
90018	0.250225	3.46693	135.038	30.9272	-5.535922e+01	-4.639629e+03	-4.694988e+03
90019	0.256733	3.45707	135.038	28.5438	-5.301728e+01	-4.640832e+03	-4.693849e+03
90020	0.256733	3.45707	135.038	28.5438	-5.301728e+01	-4.640832e+03	-4.693849e+03
90021	0.256733	3.45707	135.038	28.5438	-5.301728e+01	-4.640832e+03	-4.693849e+03
90022	0.256733	3.45707	135.45	23.2641	-4.891307e+01	-4.644696e+03	-4.693609e+03
90023	0.256733	3.39196	135.45	23.0329	-4.885224e+01	-4.646006e+03	-4.694859e+03
90024	0.248905	3.39196	132.099	23.0329	-4.637942e+01	-4.647572e+03	-4.693952e+03
90025	0.249886	3.39196	132.099	23.0329	-4.637944e+01	-4.647429e+03	-4.693809e+03
90026	0.249886	3.39196	133.195	23.0329	-4.717610e+01	-4.646904e+03	-4.694080e+03
90027	0.25761	3.39196	133.195	23.0329	-4.717627e+01	-4.646705e+03	-4.693882e+03
90028	0.25761	3.44382	134.146	24.1346	-4.861041e+01	-4.644930e+03	-4.693540e+03
90029	0.25761	3.39141	131.206	24.1346	-4.656011e+01	-4.647348e+03	-4.693908e+03
90030	0.25761	3.39141	131.206	24.1346	-4.656011e+01	-4.647348e+03	-4.693908e+03
90031	0.247806	3.32952	131.206	24.1346	-4.666263e+01	-4.648156e+03	-4.694819e+03
90032	0.247806	3.32952	131.206	27.7057	-4.965099e+01	-4.645575e+03	-4.695226e+03
90033	0.247806	3.34898	131.206	26.8327	-4.884094e+01	-4.645675e+03	-4.694516e+03
90034	0.247806	3.35913	130.877	19.6993	-4.337795e+01	-4.652450e+03	-4.695828e+03
90035	0.247806	3.35913	130.877	22.1685	-4.495168e+01	-4.649585e+03	-4.694536e+03
90036	0.247806	3.40712	130.877	25.6927	-4.754090e+01	-4.646459e+03	-4.694000e+03
90037	0.251329	3.40712	133.875	31.9089	-5.562866e+01	-4.640242e+03	-4.695870e+03
90038	0.251329	3.40712	133.875	31.9089	-5.562866e+01	-4.640242e+03	-4.695870e+03
90039	0.251329	3.40712	133.875	31.9089	-5.562866e+01	-4.640242e+03	-4.695870e+03
90040	0.251329	3.40712	133.357	31.9089	-5.524739e+01	-4.640477e+03	-4.695725e+03
90041	0.251329	3.40712	133.357	31.9089	-5.524739e+01	-4.640477e+03	-4.695725e+03
90042	0.251329	3.55954	137.244	20.4878	-4.824179e+01	-4.646412e+03	-4.694654e+03
90043	0.251329	3.55954	137.244	20.4878	-4.824179e+01	-4.646412e+03	-4.694654e+03
90044	0.251329	3.55954	137.244	20.4878	-4.824179e+01	-4.646412e+03	-4.694654e+03
90045	0.251329	3.55954	137.244	20.4878	-4.824179e+01	-4.646412e+03	-4.694654e+03
90046	0.251329	3.55954	137.244	20.4878	-4.824179e+01	-4.646412e+03	-4.694654e+03
90047	0.251329	3.55954	134.187	20.4878	-4.592745e+01	-4.650656e+03	-4.696583e+03
90048	0.251329	3.48573	135.261	24.5909	-4.972795e+01	-4.643468e+03	-4.693196e+03
90049	0.251329	3.48573	135.261	24.5909	-4.972795e+01	-4.643468e+03	-4.693196e+03
90050	0.251329	3.48573	135.261	24.5909	-4.972795e+01	-4.643468e+03	-4.693196e+03
90051	0.251329	3.44873	135.261	24.5909	-4.978838e+01	-4.643682e+03	-4.693470e+03
90052	0.251329	3.47902	133.313	23.8606	-4.773002e+01	-4.645993e+03	-4.693723e+03
90053	0.251329	3.47902	133.313	23.8606	-4.773002e+01	-4.645993e+03	-4.693723e+03
90054	0.251329	3.47902	133.313	22.7624	-4.692564e+01	-4.647053e+03	-4.693979e+03
90055	0.251329	3.47902	133.313	22.7624	-4.692564e+01	-4.647053e+03	-4.693979e+03
90056	0.251329	3.47902	133.313	22.7624	-4.692564e+01	-4.647053e+03	-4.693979e+03
90057	0.244696	3.47902	133.313	25.9124	-4.936201e+01	-4.644989e+03	-4.694351e+03
90058	0.244696	3.47902	131.605	25.3409	-4.765278e+01	-4.647487e+03	-4.695140e+03
90059	0.244696	3.49951	134.389	25.3409	-4.965178e+01	-4.644480e+03	-4.694132e+03
90060	0.244696	3.51904	134.389	23.4932	-4.818507e+01	-4.646217e+03	-4.694402e+03
90061	0.244696	3.45752	134.389	23.4932	-4.828523e+01	-4.646084e+03	-4.694370e+03
90062	0.256231	3.45752	134.389	22.6024	-4.764239e+01	-4.646117e+03	-4.693760e+03
90063	0.265128	3.45752	134.389	27.1369	-5.124653e+01	-4.644144e+03	-4.695391e+03
90064	0.249768	3.45752	134.389	27.1369	-5.124617e+01	-4.642344e+03	-4.693590e+03
90065	0.239802	3.45752	134.389	20.6418	-4.633842e+01	-4.650561e+03	-4.696899e+03
90066	0.239802	3.45752	128.885	20.6418	-4.239582e+01	-4.656637e+03	-4.699033e+03
90067	0.239802	3.36039	128.885	20.6418	-4.255585e+01	-4.654668e+03	-4.697224e+03
90068	0.239802	3.35547	128.885	20.3401	-4.237710e+01	-4.655061e+03	-4.697438e+03
90069	0.260191	3.3775	130.836	21.1664	-4.422442e+01	-4.651285e+03	-4.695509e+03
90070	0.260191	3.32119	130.836	21.1664	-4.431805e+01	-4.650987e+03	-4.695306e+03
90071	0.260191	3.32119	130.836	21.1664	-4.431805e+01	-4.650987e+03	-4.695306e+03
90072	0.260191	3.32119	130.836	21.1664	-4.431805e+01	-4.650987e+03	-4.695306e+03
90073	0.260191	3.32119	131.179	27.9513	-4.987004e+01	-4.644698e+03	-4.694568e+03
90074	0.260191	3.34544	131.179	28.0244	-4.989678e+01	-4.644477e+03	-4.694373e+03
90075	0.260191	3.34544	131.179	28.0244	-4.989678e+01	-4.644477e+03	-4.694373e+03
90076	0.263247	3.38267	131.179	26.0167	-4.806667e+01	-4.646896e+03	-4.694963e+03
90077	0.259461	3.29382	131.179	29.2737	-5.116478e+01	-4.644319e+03	-4.695483e+03
90078	0.259461	3.29218	130.983	24.2551	-4.665918e+01	-4.648053e+03	-4.694712e+03
