iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	0.525026	2.18789	0.0618199	64.7796	0.0807252	50.9499	9.85275	-7.742863e+00	-1.029391e+04	-1.030165e+04
90001	0.390129	7.84632	0.0596901	1.34054	0.495889	6.18549	16.7932	-8.548940e+01	-3.671095e+02	-4.525989e+02
90002	0.390129	7.84632	0.0596901	1.34054	0.495889	6.18549	16.7932	-8.548940e+01	-3.671095e+02	-4.525989e+02
90003	0.426616	7.90423	0.0596901	1.34054	0.490152	6.18549	16.7932	-8.479718e+01	-3.640417e+02	-4.488389e+02
90004	0.41291	7.81322	0.0596901	1.34054	0.480073	6.18549	16.7932	-8.248127e+01	-3.670949e+02	-4.495762e+02
90005	0.41291	7.82355	0.0596901	1.34054	0.482967	6.04878	16.7932	-8.312277e+01	-3.661813e+02	-4.493041e+02
90006	0.41291	7.82355	0.0596901	1.34054	0.480258	6.04878	12.7601	-8.107021e+01	-3.676866e+02	-4.487569e+02
90007	0.41291	7.82355	0.0596901	1.29791	0.493148	6.16942	12.7601	-8.329671e+01	-3.647427e+02	-4.480394e+02
90008	0.41291	7.82355	0.0596901	1.33153	0.481816	6.16942	12.7601	-8.127895e+01	-3.673240e+02	-4.486029e+02
90009	0.41291	7.82355	0.0589556	1.30158	0.489189	6.16942	12.7601	-8.268552e+01	-3.654502e+02	-4.481357e+02
90010	0.41291	7.61354	0.0589556	1.29317	0.477819	6.36035	12.7601	-7.937940e+01	-3.718071e+02	-4.511865e+02
90011	0.41291	7.47793	0.0589556	1.28136	0.474573	6.04615	14.4746	-7.882599e+01	-3.702387e+02	-4.490647e+02
90012	0.41291	7.47793	0.059643	1.21355	0.484006	6.04615	14.4746	-8.038515e+01	-3.687675e+02	-4.491527e+02
90013	0.408545	7.47793	0.059643	1.22504	0.484006	6.04615	14.4746	-8.038410e+01	-3.684654e+02	-4.488495e+02
90014	0.408545	7.47793	0.059643	1.26692	0.484006	6.04615	14.4746	-8.038044e+01	-3.686617e+02	-4.490422e+02
90015	0.408545	7.47793	0.0509604	1.26183	0.484006	6.23223	10.7774	-8.075770e+01	-3.697107e+02	-4.504684e+02
90016	0.408545	7.52326	0.0509604	1.26183	0.480873	6.23223	15.0484	-8.180818e+01	-3.699971e+02	-4.518053e+02
90017	0.408545	7.52326	0.0509604	1.26183	0.478477	6.23223	15.0484	-8.138974e+01	-3.709787e+02	-4.523684e+02
90018	0.408545	7.52326	0.0729618	1.28902	0.477972	6.23223	19.5447	-8.093824e+01	-3.709555e+02	-4.518937e+02
90019	0.437945	7.52326	0.0729618	1.28902	0.477972	6.1891	19.5447	-8.096212e+01	-3.706292e+02	-4.515913e+02
90020	0.437945	7.52326	0.0729618	1.24448	0.487736	6.1891	19.5447	-8.268391e+01	-3.693200e+02	-4.520039e+02
