iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	LnPrior	LnData	LnPosterior
0	0.599345	0.0928974	0.0454876	0.0660358	1.73252	9.634945e+00	-1.943033e+02	-1.846683e+02
90001	0.716555	0.0864582	0.0528877	0.0801268	1.83959	8.901121e+00	-1.735015e+02	-1.646004e+02
90002	0.668499	0.0864582	0.0528877	0.0640315	1.83959	9.476742e+00	-1.755268e+02	-1.660501e+02
90003	0.668499	0.0864582	0.0528877	0.0640315	1.83959	9.476742e+00	-1.755268e+02	-1.660501e+02
90004	0.668499	0.083685	0.0528877	0.0556738	1.83959	9.392111e+00	-1.746666e+02	-1.652745e+02
90005	0.668499	0.083685	0.0370049	0.0556738	2.47029	8.491721e+00	-1.748113e+02	-1.663196e+02
90006	0.695426	0.086452	0.0370049	0.0618806	2.18596	8.463159e+00	-1.735368e+02	-1.650736e+02
90007	0.695426	0.086452	0.0370049	0.0618806	0.963932	7.943731e+00	-1.731223e+02	-1.651786e+02
90008	0.695426	0.086452	0.0370049	0.0618806	2.50266	8.354116e+00	-1.736117e+02	-1.652575e+02
90009	0.676167	0.086452	0.0706206	0.0618806	2.56555	7.204087e+00	-1.748291e+02	-1.676250e+02
90010	0.700127	0.086452	0.0337832	0.0618806	2.25732	7.930826e+00	-1.734056e+02	-1.654748e+02
90011	0.700127	0.086452	0.0337832	0.00354904	 3.95	6.178573e+00	-1.720616e+02	-1.658830e+02
90012	0.700127	0.086452	0.0337832	0.0148116	3.71731	6.624279e+00	-1.723499e+02	-1.657256e+02
90013	0.700127	0.086452	0.0638109	0.00183986	3.71731	6.961829e+00	-1.720151e+02	-1.650533e+02
90014	0.700127	0.100601	0.0638109	0.0147451	3.71731	6.486504e+00	-1.732753e+02	-1.667888e+02
90015	0.761952	0.100601	0.0434077	0.00242827	2.09778	7.860598e+00	-1.723416e+02	-1.644810e+02
90016	0.7087	0.100601	0.0434077	0.00242827	2.09778	8.581241e+00	-1.721314e+02	-1.635502e+02
90017	0.7087	0.0895893	0.0603819	0.00242827	2.22652	8.799766e+00	-1.718748e+02	-1.630750e+02
90018	0.681858	0.0854702	0.0699811	0.00550741	2.22652	7.504171e+00	-1.724655e+02	-1.649614e+02
90019	0.681858	0.0854702	0.0699811	0.00550741	0.21829	5.942582e+00	-1.723927e+02	-1.664501e+02
90020	0.704148	0.0854702	0.0699985	0.00550741	1.49806	7.193072e+00	-1.721530e+02	-1.649599e+02
90021	0.704148	0.0854702	0.0699985	0.0532471	1.63671	7.183105e+00	-1.729456e+02	-1.657625e+02
90022	0.704148	0.0854702	0.0699985	0.0141844	1.61866	7.260098e+00	-1.722808e+02	-1.650207e+02
90023	0.704148	0.0854702	0.0699985	0.0200031	1.64784	7.273443e+00	-1.723718e+02	-1.650983e+02
90024	0.704148	0.0991508	0.0674564	0.0200031	1.64784	7.433437e+00	-1.728196e+02	-1.653862e+02
90025	0.704148	0.0991508	0.0674564	0.0200031	1.64784	7.433437e+00	-1.728196e+02	-1.653862e+02
90026	0.733405	0.0991508	0.0400653	0.0153653	2.88776	7.782338e+00	-1.717744e+02	-1.639920e+02
90027	0.733405	0.0991508	0.0552838	0.0153653	1.94533	8.528805e+00	-1.717085e+02	-1.631797e+02
90028	0.733405	0.0991508	0.0495674	0.0153653	1.94533	8.667464e+00	-1.717093e+02	-1.630419e+02
90029	0.748974	0.0991508	0.0495674	0.0321504	1.94533	8.437793e+00	-1.722634e+02	-1.638256e+02
90030	0.748974	0.0991508	0.0694573	0.0321504	0.192412	4.913596e+00	-1.717918e+02	-1.668782e+02
90031	0.748974	0.0991508	0.049236	0.0231588	0.0113563	6.470707e+00	-1.717373e+02	-1.652666e+02
90032	0.745386	0.0991508	0.049236	0.00619743	2.09012	8.482689e+00	-1.717800e+02	-1.632973e+02
90033	0.745386	0.0991508	0.0448457	0.0260818	2.09012	8.364767e+00	-1.720901e+02	-1.637254e+02
90034	0.745386	0.0917533	0.0658447	0.0146134	2.09012	7.646259e+00	-1.731861e+02	-1.655398e+02
90035	0.745386	0.0917533	0.0658447	0.0146134	1.47524	7.512631e+00	-1.731308e+02	-1.656181e+02
90036	0.719188	0.0917533	0.0658447	0.0146134	1.47524	7.859201e+00	-1.719927e+02	-1.641335e+02
90037	0.719188	0.0917533	0.0563848	0.00737483	0.869277	8.398886e+00	-1.718564e+02	-1.634575e+02
90038	0.669586	0.0917533	0.0563848	0.00737483	0.869277	8.867065e+00	-1.743183e+02	-1.654513e+02
90039	0.669586	0.0870058	0.0563848	0.00737483	3.0478	8.927938e+00	-1.735038e+02	-1.645759e+02
90040	0.669586	0.082173	0.0563848	0.00737483	1.98165	9.215226e+00	-1.728877e+02	-1.636725e+02
90041	0.669586	0.082173	0.03388	0.00737483	1.98165	8.119778e+00	-1.728902e+02	-1.647704e+02
90042	0.669586	0.082173	0.0766125	0.00737483	1.98165	5.877935e+00	-1.728854e+02	-1.670075e+02
90043	0.669586	0.082173	0.065643	0.00737483	1.98165	8.195529e+00	-1.728863e+02	-1.646908e+02
90044	0.669586	0.082173	0.065643	0.00737483	1.98165	8.195529e+00	-1.728863e+02	-1.646908e+02
90045	0.669586	0.082173	0.065643	0.00737483	1.98165	8.195529e+00	-1.728863e+02	-1.646908e+02
90046	0.669586	0.082173	0.065643	0.0436233	1.98165	8.164384e+00	-1.739712e+02	-1.658068e+02
90047	0.669586	0.0795845	0.065643	0.0323842	1.98165	7.959901e+00	-1.733608e+02	-1.654009e+02
90048	0.669586	0.0789546	0.065643	0.0323842	1.9177	7.889083e+00	-1.733029e+02	-1.654138e+02
90049	0.669586	0.0789546	0.0555313	0.00391153	2.51906	8.820066e+00	-1.726053e+02	-1.637852e+02
90050	0.669586	0.0789546	0.0555313	0.00493913	2.51906	8.822566e+00	-1.726316e+02	-1.638091e+02
90051	0.669586	0.0789546	0.0586282	0.00879689	0.778213	7.999561e+00	-1.726511e+02	-1.646515e+02
90052	0.669586	0.0789546	0.0586282	0.00415611	0.498714	7.609207e+00	-1.725621e+02	-1.649529e+02
90053	0.669586	0.0862098	0.0586282	0.00415611	2.35444	9.211504e+00	-1.732555e+02	-1.640440e+02
90054	0.679811	0.0862098	0.0520171	0.0229989	2.35444	9.505919e+00	-1.731559e+02	-1.636500e+02
90055	0.679811	0.0862098	0.0520171	0.0229989	2.09646	9.564081e+00	-1.731320e+02	-1.635680e+02
90056	0.679811	0.0862098	0.0520171	0.0229989	2.09365	9.564348e+00	-1.731318e+02	-1.635675e+02
90057	0.679811	0.0862098	0.0469158	0.055255	2.09365	9.440729e+00	-1.741715e+02	-1.647307e+02
90058	0.679811	0.0862098	0.0469158	0.055255	1.40275	9.266762e+00	-1.739912e+02	-1.647244e+02
90059	0.67841	0.0862098	0.0469158	0.0511279	1.40275	9.299248e+00	-1.739775e+02	-1.646782e+02
90060	0.660724	0.0796352	0.0469158	0.0511279	2.46844	9.025593e+00	-1.746358e+02	-1.656103e+02
90061	0.695031	0.0796352	0.0469158	0.0424941	1.10399	8.502895e+00	-1.728989e+02	-1.643960e+02
90062	0.695031	0.0796352	0.0469158	0.0245918	0.236998	7.388110e+00	-1.725191e+02	-1.651310e+02
90063	0.704692	0.078208	0.0469158	0.0837151	0.0287978	6.429284e+00	-1.728512e+02	-1.664219e+02
90064	0.704692	0.10717	0.0469158	0.0837151	2.44415	7.494632e+00	-1.771741e+02	-1.696795e+02
90065	0.721338	0.10717	0.0469158	0.0837151	3.06638	6.836552e+00	-1.753617e+02	-1.685251e+02
90066	0.763803	0.0929718	0.0469158	0.0837151	3.06638	7.661057e+00	-1.751018e+02	-1.674407e+02
90067	0.763803	0.0929718	0.0469158	0.0390389	3.30997	7.660462e+00	-1.747805e+02	-1.671201e+02
90068	0.746494	0.0929718	0.0492885	0.0067775	3.30997	7.988703e+00	-1.729782e+02	-1.649895e+02
90069	0.746494	0.0929718	0.0536782	0.0067775	2.24257	8.752185e+00	-1.729472e+02	-1.641950e+02
90070	0.746494	0.0929718	0.0608911	0.040079	2.07318	8.235660e+00	-1.731955e+02	-1.649598e+02
90071	0.746494	0.0977706	0.0608911	0.0671511	0.684596	6.973250e+00	-1.723119e+02	-1.653386e+02
90072	0.746494	0.0977706	0.0608911	0.0671511	0.393984	6.548752e+00	-1.721194e+02	-1.655707e+02
90073	0.746494	0.0977706	0.0391414	0.060476	1.21661	7.580770e+00	-1.725269e+02	-1.649462e+02
90074	0.746494	0.0977706	0.0409055	0.0185975	2.22877	8.165289e+00	-1.721924e+02	-1.640271e+02
90075	0.746494	0.101326	0.0409055	0.0185975	2.22877	7.825810e+00	-1.717921e+02	-1.639663e+02
90076	0.746494	0.101326	0.0409055	0.0185975	2.22877	7.825810e+00	-1.717921e+02	-1.639663e+02
90077	0.721762	0.0940209	0.0409055	0.016179	1.90794	8.739028e+00	-1.719422e+02	-1.632032e+02
90078	0.721762	0.0940209	0.0369385	0.0165063	1.90794	8.299748e+00	-1.719494e+02	-1.636496e+02
90079	0.721762	0.0940209	0.0369385	0.00278782	1.90794	8.277556e+00	-1.716907e+02	-1.634132e+02
90080	0.721762	0.0940209	0.0369385	0.00278782	1.90794	8.277556e+00	-1.716907e+02	-1.634132e+02
90081	0.721762	0.0940209	0.0369385	0.00278782	2.5072	8.153165e+00	-1.716987e+02	-1.635455e+02
90082	0.697426	0.0940209	0.0582451	0.00278782	2.48421	8.944380e+00	-1.722172e+02	-1.632728e+02
90083	0.749179	0.100531	0.0366744	0.00278782	4.26254	4.842361e+00	-1.717131e+02	-1.668707e+02
90084	0.723951	0.0985184	0.0366744	0.00278782	2.18778	7.920452e+00	-1.715031e+02	-1.635827e+02
90085	0.723951	0.0985184	0.0366744	0.00278782	1.55863	7.840678e+00	-1.714941e+02	-1.636534e+02
90086	0.723951	0.0985184	0.0366744	0.00278782	0.462007	6.755371e+00	-1.714688e+02	-1.647134e+02
90087	0.723951	0.0902506	0.0596161	0.0105593	0.597089	7.758194e+00	-1.721216e+02	-1.643634e+02
90088	0.723951	0.103783	0.0596161	0.0105593	1.65147	7.731954e+00	-1.718071e+02	-1.640751e+02
90089	0.723951	0.103783	0.0415787	0.0105593	1.65147	7.839714e+00	-1.718078e+02	-1.639681e+02
90090	0.723951	0.103783	0.0415787	0.0105593	1.65147	7.839714e+00	-1.718078e+02	-1.639681e+02
90091	0.719402	0.103783	0.0415787	0.0105593	1.65147	7.895070e+00	-1.720353e+02	-1.641403e+02
90092	0.719402	0.103783	0.0415787	0.0312554	2.20343	7.932180e+00	-1.727630e+02	-1.648309e+02
90093	0.719402	0.103783	0.0415787	0.0561438	1.0197	7.380215e+00	-1.732846e+02	-1.659044e+02
90094	0.719402	0.103783	0.0518365	0.0561438	1.0197	7.717941e+00	-1.732786e+02	-1.655606e+02
90095	0.719402	0.0967933	0.0518365	0.00191543	2.54692	8.844534e+00	-1.715682e+02	-1.627237e+02
90096	0.744482	0.101302	0.0518365	0.00191543	0.598337	7.272887e+00	-1.714251e+02	-1.641522e+02
90097	0.744482	0.101302	0.0518365	0.00191543	1.56562	8.160872e+00	-1.714402e+02	-1.632794e+02
90098	0.733782	0.101302	0.0518365	0.00457125	1.56562	8.316697e+00	-1.713864e+02	-1.630697e+02
90099	0.733782	0.101757	0.0518365	0.00457125	0.983038	7.841550e+00	-1.713519e+02	-1.635103e+02
90100	0.733782	0.0908885	0.0518365	0.00457125	0.640369	8.121502e+00	-1.724754e+02	-1.643539e+02
90101	0.733782	0.0973208	0.0415137	0.00457125	2.90244	8.031366e+00	-1.716570e+02	-1.636256e+02
90102	0.733782	0.100942	0.0415137	0.0359051	2.90244	7.699554e+00	-1.722704e+02	-1.645709e+02
90103	0.733782	0.100942	0.0415137	0.0359051	2.90244	7.699554e+00	-1.722704e+02	-1.645709e+02
90104	0.733782	0.100942	0.0415137	0.0627037	2.90244	7.576849e+00	-1.730623e+02	-1.654854e+02
90105	0.733782	0.100942	0.0415137	0.0627037	2.45899	7.878710e+00	-1.729612e+02	-1.650825e+02
90106	0.733782	0.100942	0.0387557	0.00517586	2.45899	7.731919e+00	-1.714354e+02	-1.637035e+02
90107	0.732393	0.100942	0.0387557	0.00517586	2.45899	7.750407e+00	-1.714413e+02	-1.636909e+02
90108	0.732393	0.100942	0.0387557	0.00517586	2.45899	7.750407e+00	-1.714413e+02	-1.636909e+02
90109	0.732393	0.100942	0.0387557	0.00517586	2.45899	7.750407e+00	-1.714413e+02	-1.636909e+02
90110	0.732393	0.100942	0.0387557	0.0437391	2.45899	7.723549e+00	-1.724551e+02	-1.647315e+02
90111	0.732393	0.100942	0.0387557	0.0437391	4.25998	5.275128e+00	-1.726826e+02	-1.674074e+02
90112	0.751107	0.100942	0.0387557	0.0463996	5.1192	2.688480e+00	-1.728365e+02	-1.701481e+02
90113	0.760779	0.100942	0.045114	0.0463996	5.1192	3.050464e+00	-1.731462e+02	-1.700958e+02
90114	0.760779	0.100942	0.045114	0.0463996	5.1336	3.005461e+00	-1.731473e+02	-1.701419e+02
90115	0.760779	0.100942	0.045114	0.0463996	4.39014	5.058797e+00	-1.730755e+02	-1.680167e+02
90116	0.74104	0.0975536	0.0590747	0.0909867	2.82409	7.555214e+00	-1.736997e+02	-1.661445e+02
90117	0.719864	0.0975536	0.0590747	0.0303874	2.82409	8.216706e+00	-1.723582e+02	-1.641415e+02
90118	0.719864	0.0975536	0.0590747	0.0303874	2.82409	8.216706e+00	-1.723582e+02	-1.641415e+02
90119	0.730858	0.0975536	0.0492724	0.00565622	3.0331	8.286253e+00	-1.716226e+02	-1.633364e+02
90120	0.730858	0.0955763	0.0492724	0.0135596	3.13617	8.317107e+00	-1.719540e+02	-1.636369e+02
90121	0.730858	0.0955763	0.0551937	0.0135596	1.63767	8.764677e+00	-1.718613e+02	-1.630966e+02
90122	0.730858	0.0993202	0.0483596	0.0135596	2.50528	8.545226e+00	-1.717060e+02	-1.631608e+02
90123	0.730858	0.0926643	0.0483596	0.0812981	1.82506	8.766106e+00	-1.732852e+02	-1.645191e+02
90124	0.730858	0.0835449	0.0483596	0.0812981	0.893086	7.995927e+00	-1.738315e+02	-1.658356e+02
90125	0.730858	0.0835449	0.0369408	0.0812981	1.5799	7.681064e+00	-1.742404e+02	-1.665594e+02
90126	0.730858	0.0831324	0.0369408	0.0812981	0.605754	6.769867e+00	-1.737094e+02	-1.669396e+02
90127	0.730858	0.0831324	0.0427687	0.0369752	0.325425	7.202013e+00	-1.737549e+02	-1.665529e+02
90128	0.730858	0.0831324	0.0427687	0.131872	1.4284	7.485495e+00	-1.746491e+02	-1.671636e+02
90129	0.730858	0.0831324	0.05766	0.0236166	3.09919	7.989582e+00	-1.743337e+02	-1.663442e+02
90130	0.730858	0.0877215	0.0583944	0.0236166	1.25257	8.465270e+00	-1.730035e+02	-1.645382e+02
90131	0.730858	0.0877215	0.0378441	0.0236166	1.25257	8.078770e+00	-1.730089e+02	-1.649301e+02
90132	0.683868	0.0877215	0.0489695	0.0236166	0.0584909	7.711380e+00	-1.727116e+02	-1.650002e+02
90133	0.683868	0.0714668	0.0489695	0.0636414	0.310336	6.329407e+00	-1.732695e+02	-1.669401e+02
90134	0.683868	0.0948984	0.0489695	0.0636414	1.5426	9.249715e+00	-1.755716e+02	-1.663219e+02
90135	0.683868	0.0948984	0.0489695	0.0636414	2.13217	9.345588e+00	-1.757364e+02	-1.663908e+02
90136	0.720462	0.0993107	0.0489695	0.0636414	1.53559	8.559146e+00	-1.731433e+02	-1.645841e+02
90137	0.735836	0.0789688	0.0489695	0.0754727	1.53559	8.095532e+00	-1.757743e+02	-1.676787e+02
90138	0.735836	0.0946176	0.0489695	0.0754727	0.776631	7.956877e+00	-1.725670e+02	-1.646101e+02
90139	0.735836	0.0946176	0.0489695	0.0188314	0.579261	7.936244e+00	-1.720036e+02	-1.640674e+02
90140	0.735836	0.0946176	0.0489695	0.0296532	2.54778	8.788290e+00	-1.724368e+02	-1.636485e+02
90141	0.719105	0.0946176	0.0489695	0.0296532	0.574892	8.136123e+00	-1.719381e+02	-1.638019e+02
