iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Trc(1)	LnPrior	LnData	LnPosterior
0	1.54876	0.0108447	65.7545	18.6626	0.0402566	-2.868297e+00	-7.580267e+03	-7.583135e+03
90001	0.299868	0.945262	38.4005	33.4824	9.7511e-05	-1.725100e+02	-4.881701e+03	-5.054211e+03
90002	0.302842	0.945262	38.4005	33.4824	9.7511e-05	-1.725049e+02	-4.881873e+03	-5.054378e+03
90003	0.302842	0.945262	38.8791	33.4824	9.7511e-05	-1.724027e+02	-4.881559e+03	-5.053962e+03
90004	0.302842	0.924853	38.8791	33.4824	9.7511e-05	-1.651205e+02	-4.889109e+03	-5.054229e+03
90005	0.302842	0.924853	37.3427	33.4824	1.18335e-05	-1.654568e+02	-4.888295e+03	-5.053752e+03
90006	0.302842	0.924853	38.5774	33.4824	1.18335e-05	-1.651847e+02	-4.888001e+03	-5.053186e+03
90007	0.302842	0.924853	38.5774	33.4824	1.18335e-05	-1.651847e+02	-4.888001e+03	-5.053186e+03
90008	0.302842	0.924853	38.5774	33.4824	1.18335e-05	-1.651847e+02	-4.888001e+03	-5.053186e+03
90009	0.302842	0.941751	38.5774	31.8424	1.18335e-05	-1.703718e+02	-4.882966e+03	-5.053337e+03
90010	0.302842	0.941751	38.1506	31.8424	1.18335e-05	-1.704641e+02	-4.883370e+03	-5.053834e+03
90011	0.302842	0.941751	37.9845	31.8424	1.18335e-05	-1.705005e+02	-4.883697e+03	-5.054198e+03
90012	0.302842	0.941751	37.9845	31.8424	1.18335e-05	-1.705005e+02	-4.883697e+03	-5.054198e+03
90013	0.302842	0.941751	40.0309	31.8424	1.18335e-05	-1.700710e+02	-4.884893e+03	-5.054964e+03
90014	0.302842	0.979203	40.0309	31.8424	1.18335e-05	-1.838156e+02	-4.871343e+03	-5.055158e+03
90015	0.302842	0.979203	40.0309	31.8424	1.18335e-05	-1.838156e+02	-4.871343e+03	-5.055158e+03
90016	0.290402	0.979203	40.0309	31.8424	1.18335e-05	-1.838368e+02	-4.871833e+03	-5.055669e+03
90017	0.290402	0.979203	40.0309	31.8424	1.18335e-05	-1.838368e+02	-4.871833e+03	-5.055669e+03
90018	0.290402	1.01128	40.0309	31.8424	1.18335e-05	-1.960545e+02	-4.863382e+03	-5.059436e+03
90019	0.290402	1.01128	40.8116	31.8424	1.18335e-05	-1.959017e+02	-4.862081e+03	-5.057982e+03
90020	0.28757	0.96699	40.8116	31.8424	1.18335e-05	-1.791448e+02	-4.879549e+03	-5.058694e+03
