iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
0	0.878382	0.167504	696.052	5.65919	20.2881	0.0999643	-9.516454e+00	-3.886654e+04	-3.887605e+04
90001	0.375735	0.761381	8.17427	2.81395	0.947219	0.00239965	-1.760369e+02	-1.086818e+03	-1.262855e+03
90002	0.375735	0.77048	8.17427	2.81395	0.950609	0.00239965	-1.786654e+02	-1.084002e+03	-1.262667e+03
90003	0.375735	0.77048	8.10766	2.81395	0.950609	0.00239965	-1.786687e+02	-1.084307e+03	-1.262975e+03
90004	0.375735	0.77048	8.10766	2.81395	0.972462	0.000742797	-1.802828e+02	-1.080248e+03	-1.260530e+03
90005	0.375735	0.77048	8.10766	2.81395	0.988493	0.00174784	-1.792781e+02	-1.082824e+03	-1.262102e+03
90006	0.375735	0.77048	7.93459	2.81395	0.988493	0.00102144	-1.800030e+02	-1.081258e+03	-1.261261e+03
90007	0.375589	0.760502	7.93459	2.81395	0.929394	0.00276093	-1.754583e+02	-1.090637e+03	-1.266095e+03
90008	0.375589	0.743232	7.93459	3.1896	0.929394	0.00203977	-1.711599e+02	-1.091282e+03	-1.262442e+03
90009	0.375589	0.743232	7.93459	2.91576	0.935578	0.00179402	-1.714723e+02	-1.090819e+03	-1.262291e+03
90010	0.375589	0.743232	7.93459	2.91576	0.935578	0.00179402	-1.714723e+02	-1.090819e+03	-1.262291e+03
90011	0.375589	0.753814	8.02928	2.90284	0.942102	0.00179402	-1.744529e+02	-1.087318e+03	-1.261771e+03
90012	0.375589	0.766422	8.02928	3.23924	0.947827	0.00179402	-1.779718e+02	-1.083541e+03	-1.261513e+03
90013	0.375589	0.766422	8.02928	3.24727	0.947827	0.000740472	-1.790098e+02	-1.081465e+03	-1.260475e+03
90014	0.375589	0.7774	8.02928	3.24727	0.947827	0.000740472	-1.822107e+02	-1.078419e+03	-1.260630e+03
90015	0.375589	0.771367	7.88009	3.24727	0.964819	0.000793699	-1.803873e+02	-1.080783e+03	-1.261171e+03
90016	0.375589	0.771367	7.88009	3.24727	0.964819	0.000793699	-1.803873e+02	-1.080783e+03	-1.261171e+03
90017	0.375589	0.771367	7.86146	3.25289	0.964819	0.000796031	-1.803844e+02	-1.080931e+03	-1.261316e+03
90018	0.362784	0.763942	7.70231	3.25289	0.964819	0.000796031	-1.782607e+02	-1.085289e+03	-1.263550e+03
90019	0.362784	0.747076	7.41236	3.25289	0.978556	0.000796031	-1.734578e+02	-1.091924e+03	-1.265382e+03
90020	0.362784	0.747076	7.41236	3.25289	0.978556	0.000796031	-1.734578e+02	-1.091924e+03	-1.265382e+03
90021	0.362784	0.747076	7.41236	3.1099	0.986323	0.00138521	-1.729082e+02	-1.092359e+03	-1.265267e+03
90022	0.362784	0.740533	7.41236	2.96167	0.986323	0.00231941	-1.701984e+02	-1.095488e+03	-1.265686e+03
90023	0.362784	0.729067	7.41231	2.96167	0.978952	0.00231941	-1.670311e+02	-1.098273e+03	-1.265304e+03
90024	0.355311	0.729067	7.41231	3.21839	0.978952	0.00231941	-1.669724e+02	-1.101545e+03	-1.268517e+03
90025	0.355311	0.730529	7.41231	3.2155	0.978952	0.00282311	-1.668841e+02	-1.102053e+03	-1.268937e+03
90026	0.401913	0.709736	7.14403	3.2155	0.984	0.00292879	-1.610834e+02	-1.107702e+03	-1.268786e+03
90027	0.401913	0.709736	7.14403	3.2155	0.968025	0.00292879	-1.610955e+02	-1.107145e+03	-1.268240e+03
90028	0.397316	0.701085	7.14403	3.51546	0.968025	0.00309042	-1.585743e+02	-1.110677e+03	-1.269251e+03
90029	0.397316	0.701085	7.14403	3.51546	0.968025	0.00223792	-1.594041e+02	-1.109082e+03	-1.268486e+03
90030	0.397316	0.731984	7.46034	3.51546	0.930199	0.00189235	-1.680805e+02	-1.096707e+03	-1.264788e+03
