iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
0	0.175837	1.79433	0.0879801	21.6657	0.025529	55.858	0.633034	-8.377753e+00	-1.704120e+04	-1.704958e+04
90001	0.416223	7.97651	0.0810696	1.34135	0.492335	6.35091	14.9104	-8.373024e+01	-3.669243e+02	-4.506545e+02
90002	0.416223	7.97651	0.0810696	1.34135	0.492335	6.44098	12.7357	-8.291445e+01	-3.676288e+02	-4.505433e+02
90003	0.417163	7.97651	0.0810696	1.34135	0.501424	6.63742	12.7357	-8.445960e+01	-3.664042e+02	-4.508638e+02
90004	0.417163	7.97876	0.0810696	1.36609	0.494957	6.63742	12.7357	-8.329336e+01	-3.682250e+02	-4.515184e+02
90005	0.422605	7.82395	0.0525164	1.36609	0.494957	6.30811	12.0727	-8.458770e+01	-3.656489e+02	-4.502366e+02
90006	0.422605	7.82395	0.0525164	1.36609	0.499371	6.30811	12.0727	-8.538952e+01	-3.651261e+02	-4.505156e+02
90007	0.422605	7.82395	0.0525164	1.3384	0.499371	5.97219	12.0727	-8.557287e+01	-3.656583e+02	-4.512312e+02
90008	0.422605	7.82395	0.0535929	1.27947	0.476518	5.8106	12.0727	-8.136776e+01	-3.666790e+02	-4.480468e+02
90009	0.422605	7.82395	0.0535929	1.31203	0.476518	5.8106	12.0727	-8.136491e+01	-3.665343e+02	-4.478992e+02
90010	0.422605	7.97162	0.0535929	1.31728	0.481205	5.8106	12.0727	-8.305256e+01	-3.648490e+02	-4.479016e+02
90011	0.422605	7.97162	0.0535929	1.31728	0.482309	5.76312	12.0727	-8.327208e+01	-3.649056e+02	-4.481777e+02
90012	0.422605	8.00149	0.0535929	1.31728	0.482309	5.75381	12.0727	-8.345591e+01	-3.647151e+02	-4.481710e+02
90013	0.422605	8.00149	0.0535929	1.30051	0.482309	5.81757	12.0727	-8.342281e+01	-3.647904e+02	-4.482132e+02
90014	0.422605	8.09528	0.0535929	1.34444	0.470759	5.81757	12.0727	-8.198330e+01	-3.659633e+02	-4.479466e+02
90015	0.422605	8.09528	0.060702	1.34444	0.467189	5.81757	12.0727	-8.023174e+01	-3.675599e+02	-4.477917e+02
90016	0.422605	8.01536	0.0580994	1.34444	0.467189	5.47255	12.0727	-8.028425e+01	-3.698185e+02	-4.501027e+02
90017	0.437921	8.1259	0.0580994	1.34444	0.467189	5.47255	12.0727	-8.095578e+01	-3.689092e+02	-4.498649e+02
90018	0.437921	8.23069	0.0468964	1.33298	0.463533	5.47255	10.0245	-8.302839e+01	-3.672493e+02	-4.502777e+02
90019	0.410854	8.23069	0.0594234	1.33298	0.459469	5.47255	10.0245	-7.962345e+01	-3.690071e+02	-4.486305e+02
90020	0.410854	8.18601	0.0513542	1.33298	0.459469	5.47255	10.0245	-8.082589e+01	-3.677361e+02	-4.485620e+02
90021	0.410854	8.09343	0.0513542	1.33298	0.456491	5.4587	10.0245	-7.977065e+01	-3.688120e+02	-4.485826e+02
90022	0.410854	7.75234	0.0513542	1.32781	0.456491	5.87006	10.0245	-7.752733e+01	-3.735240e+02	-4.510513e+02
90023	0.451003	7.97002	0.0513542	1.34653	0.456491	5.87006	13.4541	-7.972735e+01	-3.727046e+02	-4.524320e+02
90024	0.451003	7.48358	0.0513542	1.27298	0.459708	5.87006	13.4541	-7.748230e+01	-3.737154e+02	-4.511977e+02
90025	0.451003	7.48358	0.0628255	1.27298	0.459708	5.87006	13.4541	-7.560675e+01	-3.748052e+02	-4.504120e+02
90026	0.451003	7.48358	0.0628255	1.27298	0.459708	5.87006	13.4541	-7.560675e+01	-3.748052e+02	-4.504120e+02
90027	0.461465	7.32721	0.0628255	1.27298	0.454035	5.87006	13.4541	-7.382295e+01	-3.787365e+02	-4.525595e+02
90028	0.461465	7.32721	0.0628255	1.27298	0.454035	5.92877	13.4541	-7.379119e+01	-3.790966e+02	-4.528878e+02
90029	0.461465	7.32721	0.0628255	1.29348	0.454035	5.92877	13.4541	-7.378940e+01	-3.794892e+02	-4.532786e+02
90030	0.461465	7.32721	0.0628255	1.24168	0.454035	5.92877	13.4541	-7.379393e+01	-3.797364e+02	-4.535303e+02
90031	0.461465	7.32721	0.0628255	1.22942	0.459785	5.92877	13.4541	-7.474700e+01	-3.783962e+02	-4.531432e+02
90032	0.461465	7.32721	0.0628255	1.22942	0.462726	5.92877	13.4541	-7.523902e+01	-3.775314e+02	-4.527704e+02
90033	0.394855	7.32721	0.0628255	1.22942	0.462726	5.821	8.59882	-7.412507e+01	-3.782084e+02	-4.523335e+02
90034	0.395378	7.64385	0.0511192	1.22942	0.477314	5.821	7.95017	-8.020118e+01	-3.701756e+02	-4.503768e+02
90035	0.395378	7.64385	0.0511192	1.22942	0.477314	5.70396	7.95017	-8.026466e+01	-3.700712e+02	-4.503359e+02
90036	0.395378	7.64385	0.0511192	1.22942	0.479843	5.70396	7.95017	-8.070538e+01	-3.697266e+02	-4.504320e+02
90037	0.419121	7.52629	0.0511192	1.22942	0.479843	5.70396	17.6909	-8.309607e+01	-3.668810e+02	-4.499770e+02
90038	0.419121	7.52629	0.0511192	1.22942	0.485245	5.84987	9.01866	-8.106842e+01	-3.679782e+02	-4.490466e+02
90039	0.419121	7.50032	0.0511192	1.22942	0.487537	5.84987	9.01866	-8.133187e+01	-3.679920e+02	-4.493239e+02
90040	0.419121	7.69985	0.061915	1.22942	0.476127	5.84987	9.01866	-7.860855e+01	-3.705888e+02	-4.491974e+02
90041	0.419121	7.69985	0.061915	1.2797	0.476127	5.84987	9.01866	-7.860416e+01	-3.706549e+02	-4.492590e+02
90042	0.419121	7.51632	0.061915	1.21669	0.46904	5.84987	10.7877	-7.670973e+01	-3.720796e+02	-4.487893e+02
90043	0.419121	7.51632	0.061915	1.21669	0.484185	5.84987	10.7877	-7.933642e+01	-3.693530e+02	-4.486894e+02
90044	0.419121	7.51632	0.061915	1.25734	0.484185	6.02413	11.6152	-7.944393e+01	-3.688897e+02	-4.483337e+02
90045	0.419121	7.51632	0.061915	1.22579	0.484185	6.02413	11.6152	-7.944669e+01	-3.688218e+02	-4.482685e+02
90046	0.419121	7.56155	0.061915	1.22579	0.484185	6.02413	11.6152	-7.969718e+01	-3.687505e+02	-4.484477e+02
90047	0.419121	7.56155	0.061915	1.31148	0.484185	6.15005	16.5902	-8.143321e+01	-3.683780e+02	-4.498112e+02
90048	0.419121	7.56155	0.061915	1.31148	0.467746	6.15005	13.496	-7.734335e+01	-3.726154e+02	-4.499588e+02
90049	0.419121	7.56155	0.061915	1.28755	0.467746	6.15005	15.7612	-7.821789e+01	-3.720349e+02	-4.502528e+02
90050	0.419121	7.56155	0.061915	1.28755	0.472836	6.15005	15.7612	-7.908771e+01	-3.703371e+02	-4.494248e+02
90051	0.432627	7.80608	0.061915	1.28755	0.488823	6.15005	15.7612	-8.327788e+01	-3.660704e+02	-4.493483e+02
90052	0.432627	7.80608	0.061915	1.28755	0.488823	6.15005	14.7021	-8.284439e+01	-3.662266e+02	-4.490710e+02
90053	0.432627	7.65732	0.061915	1.28755	0.488823	6.15005	14.7021	-8.199175e+01	-3.666624e+02	-4.486541e+02
90054	0.432627	7.62591	0.061915	1.25196	0.485998	5.98161	14.7021	-8.140636e+01	-3.675086e+02	-4.489149e+02
90055	0.432627	7.62591	0.061915	1.25196	0.485998	5.76343	14.7021	-8.152445e+01	-3.686506e+02	-4.501750e+02
90056	0.432627	7.62591	0.061915	1.25196	0.485998	6.06291	14.7021	-8.136247e+01	-3.676803e+02	-4.490427e+02
90057	0.423547	7.48023	0.061915	1.25196	0.488341	6.06291	14.7021	-8.096953e+01	-3.675431e+02	-4.485127e+02
90058	0.423547	7.48023	0.061915	1.25196	0.488341	6.06291	14.7021	-8.096953e+01	-3.675431e+02	-4.485127e+02
90059	0.423547	7.36715	0.061915	1.24564	0.488341	6.17507	14.7021	-8.029637e+01	-3.684209e+02	-4.487172e+02
90060	0.423547	7.33662	0.061915	1.24564	0.490328	6.17507	15.5692	-8.083921e+01	-3.682646e+02	-4.491038e+02
90061	0.423547	7.33662	0.061915	1.24977	0.490328	6.17507	15.5692	-8.083885e+01	-3.684043e+02	-4.492431e+02
90062	0.423547	7.39443	0.061915	1.25648	0.485368	6.17507	15.5692	-8.026584e+01	-3.686016e+02	-4.488674e+02
90063	0.423547	7.39443	0.061915	1.25648	0.487654	6.17507	13.7527	-7.996930e+01	-3.687631e+02	-4.487324e+02
90064	0.423547	7.39443	0.0617563	1.25648	0.480307	6.10459	13.7527	-7.872870e+01	-3.698453e+02	-4.485740e+02
90065	0.441523	7.39443	0.0617563	1.25648	0.480307	6.10459	13.7527	-7.872929e+01	-3.707450e+02	-4.494743e+02
90066	0.441523	7.39443	0.0617563	1.25648	0.49288	6.39329	13.7527	-8.080505e+01	-3.694940e+02	-4.502990e+02
90067	0.416694	7.39443	0.0646067	1.25648	0.487539	6.2604	13.7527	-7.964458e+01	-3.693307e+02	-4.489753e+02
90068	0.416694	7.39443	0.0646067	1.23466	0.487539	6.17353	13.7527	-7.969321e+01	-3.688620e+02	-4.485552e+02
90069	0.416694	7.46786	0.0646067	1.23466	0.487539	6.17353	13.7527	-8.009207e+01	-3.684267e+02	-4.485187e+02
90070	0.416694	7.46786	0.0646067	1.23466	0.491505	6.17353	13.7527	-8.080042e+01	-3.676739e+02	-4.484744e+02
90071	0.416694	7.46786	0.0646067	1.23466	0.491505	6.17353	13.7527	-8.080042e+01	-3.676739e+02	-4.484744e+02
90072	0.416694	7.46786	0.071787	1.24703	0.491505	6.17353	13.7527	-8.039425e+01	-3.691601e+02	-4.495544e+02
90073	0.416694	7.39187	0.071787	1.24703	0.491505	6.34524	13.7527	-7.988933e+01	-3.696879e+02	-4.495772e+02
90074	0.416694	7.50613	0.071787	1.22257	0.508956	6.27736	13.7527	-8.374235e+01	-3.665442e+02	-4.502866e+02
90075	0.416694	7.50613	0.071787	1.22257	0.499148	6.27736	13.7527	-8.193352e+01	-3.675277e+02	-4.494612e+02
90076	0.416694	7.50613	0.071787	1.22257	0.507895	6.29728	17.1576	-8.495792e+01	-3.659437e+02	-4.509017e+02
90077	0.416694	7.50613	0.0735656	1.22257	0.507895	6.29728	17.1576	-8.491165e+01	-3.662870e+02	-4.511986e+02
90078	0.398531	7.50613	0.0735656	1.22257	0.496308	6.29728	10.0013	-8.032782e+01	-3.700434e+02	-4.503712e+02
90079	0.398531	7.58095	0.0735656	1.19468	0.496308	5.8579	10.0013	-8.098194e+01	-3.718434e+02	-4.528253e+02
90080	0.398531	7.58095	0.0474192	1.19468	0.496308	6.00142	10.0013	-8.447375e+01	-3.667913e+02	-4.512651e+02
90081	0.398531	7.58095	0.0474192	1.23223	0.49872	6.00142	10.0013	-8.490897e+01	-3.652596e+02	-4.501686e+02
90082	0.395544	7.58095	0.0474192	1.20658	0.49872	5.78716	10.0013	-8.502715e+01	-3.661673e+02	-4.511945e+02
90083	0.395544	7.58886	0.0474192	1.20658	0.49872	5.78716	10.0013	-8.507131e+01	-3.660989e+02	-4.511702e+02
90084	0.395544	7.58886	0.0474192	1.21185	0.49872	5.78716	10.0013	-8.507085e+01	-3.661401e+02	-4.512110e+02
90085	0.395544	7.59759	0.0474192	1.21185	0.49872	5.78716	10.0013	-8.511971e+01	-3.660664e+02	-4.511861e+02
90086	0.395544	7.59759	0.0474192	1.21185	0.480088	5.71532	10.0013	-8.183178e+01	-3.686702e+02	-4.505020e+02
90087	0.395544	7.39207	0.0606491	1.21185	0.464043	5.71532	10.0013	-7.523390e+01	-3.749808e+02	-4.502147e+02
90088	0.395544	7.39207	0.0606491	1.21185	0.471393	6.0283	10.0013	-7.631321e+01	-3.745084e+02	-4.508216e+02
90089	0.395544	7.30517	0.061935	1.21185	0.472617	5.88035	16.4536	-7.811462e+01	-3.728948e+02	-4.510095e+02
90090	0.395544	7.28084	0.061935	1.21185	0.472617	5.88035	16.4536	-7.798583e+01	-3.731065e+02	-4.510923e+02
90091	0.436438	7.28084	0.061935	1.21185	0.480593	5.83798	16.4536	-7.939279e+01	-3.707070e+02	-4.500998e+02
90092	0.436438	7.28084	0.0652597	1.21185	0.473042	5.98914	16.3924	-7.766366e+01	-3.721749e+02	-4.498385e+02
90093	0.421219	7.28084	0.0652597	1.21185	0.479515	5.91276	12.7558	-7.743362e+01	-3.716042e+02	-4.490379e+02
90094	0.421219	7.33668	0.0652597	1.21185	0.479515	5.97432	13.4275	-7.791419e+01	-3.706383e+02	-4.485524e+02
90095	0.426676	7.33668	0.0652597	1.2257	0.479515	5.93211	15.1601	-7.858003e+01	-3.705057e+02	-4.490857e+02
90096	0.426676	7.33668	0.0652597	1.2257	0.479515	6.28039	15.1601	-7.839233e+01	-3.718724e+02	-4.502647e+02
